I_Q,I_D,V_Q,V_D,is_startup
2.08064,-0.892489,2.2019,-0.16205,0
2.39466,-0.556428,2.11713,-0.171635,0
2.64992,-0.264441,2.02068,-0.198893,0
2.80969,0.0220368,1.92693,-0.249815,0
2.94374,0.0936562,1.82628,-0.269884,0
2.91987,-0.0459099,1.75409,-0.242027,0
2.9162,0.027546,1.67891,-0.257004,0
2.83723,0.152421,1.6235,-0.291151,0
2.75643,0.38748,1.57527,-0.364238,0
2.6591,0.617029,1.53783,-0.455897,0
2.56545,0.822706,1.50817,-0.561035,0
2.27162,0.910853,1.54472,-0.653592,0
1.81803,0.971454,1.64237,-0.746748,0
1.48565,0.659267,1.7475,-0.749444,0
1.26528,0.411353,1.85234,-0.742255,0
1.30751,0.260768,1.90896,-0.73896,0
1.3167,-0.0257096,1.97066,-0.688039,0
1.17897,-0.0881471,2.06891,-0.669767,0
1.16978,-0.253423,2.14589,-0.620044,0
1.16428,-0.383807,2.22287,-0.565228,0
1.24691,-0.530719,2.27769,-0.495136,0
1.35159,-0.653757,2.31992,-0.418454,0
1.54074,-0.855761,2.3316,-0.31122,0
1.69132,-1.13857,2.33699,-0.165944,0
1.8768,-0.936562,2.32082,-0.120714,0
2.0182,-0.848415,2.29985,-0.063502,0
2.25877,-0.578465,2.24204,-0.0602071,0
2.65727,-0.124875,2.12283,-0.127004,0
2.83172,0.161603,2.02727,-0.189308,0
2.94742,0.163439,1.93172,-0.203386,0
2.98047,0.0569283,1.84725,-0.190207,0
2.96027,-0.13773,1.77386,-0.145276,0
2.98231,0.0752923,1.69119,-0.18811,0
2.89233,0.27546,1.63578,-0.245621,0
2.92354,0.411353,1.5567,-0.303731,0
2.795,0.650085,1.51566,-0.399883,0
2.46077,1.02104,1.53813,-0.549952,0
2.13206,0.991654,1.58755,-0.629329,0
1.67296,0.892489,1.69868,-0.688338,0
1.37179,0.615193,1.80801,-0.69343,0
1.30201,0.240568,1.88439,-0.650297,0
1.18815,0.0330551,1.95898,-0.617647,0
1.34975,0.0752923,1.98534,-0.631126,0
1.31119,0.0312187,2.04914,-0.626334,0
1.24324,-0.0771287,2.12342,-0.601472,0
1.31486,-0.143239,2.16806,-0.578108,0
1.35342,0.018364,2.21538,-0.607163,0
1.54441,-0.238732,2.22018,-0.543062,0
1.62888,-0.771287,2.23605,-0.386703,0
1.57012,0.110184,2.24444,-0.644007,0
1.68949,-0.0881471,2.26091,-0.60267,0
1.70234,-0.684976,2.29446,-0.443017,0
1.92638,-0.925544,2.27259,-0.323201,0
2.0384,-0.965945,2.26061,-0.233939,0
2.33406,-0.778632,2.19202,-0.199792,0
2.58748,-0.488482,2.10935,-0.20758,0
2.83356,-0.159767,2.0066,-0.249815,0
3.04658,0.0220368,1.89158,-0.282764,0
3.02455,0.0367279,1.81849,-0.288155,0
2.99516,0.00367279,1.7493,-0.283063,0
2.94191,-0.0881471,1.6882,-0.259699,0
2.93273,0.134057,1.6208,-0.309123,0
2.83723,0.398498,1.57587,-0.387902,0
2.76929,0.738232,1.53244,-0.508615,0
2.5985,0.934726,1.52075,-0.621841,0
2.20551,1.01553,1.58036,-0.722186,0
1.73723,0.872289,1.69299,-0.771909,0
1.50768,0.528882,1.75409,-0.75843,0
1.25977,0.284642,1.85983,-0.741057,0
1.19733,0.194658,1.93921,-0.742255,0
1.18999,-0.0514191,2.0096,-0.696126,0
1.08531,-0.0716195,2.10545,-0.686541,0
1.08715,-0.247914,2.18303,-0.63562,0
1.15509,-0.418699,2.24414,-0.57062,0
1.2763,-0.508682,2.28517,-0.51191,0
1.41953,-0.72354,2.31034,-0.413662,0
1.56277,-0.960436,2.32382,-0.29175,0
1.65643,-1.09449,2.33729,-0.175529,0
1.81803,-1.01736,2.32561,-0.102142,0
2.08615,-0.74925,2.27289,-0.0841702,0
2.52137,-0.301169,2.15458,-0.134792,0
2.66461,0.0661103,2.074,-0.202787,0
2.82622,0.145075,1.97635,-0.228847,0
2.94007,0.110184,1.8772,-0.232142,0
2.94925,-0.0110184,1.79513,-0.210575,0
2.94007,-0.145075,1.71695,-0.175529,0
2.90334,0.18364,1.64656,-0.247119,0
2.88865,0.268114,1.57377,-0.284261,0
2.77296,0.506846,1.52794,-0.368132,0
2.58748,0.927381,1.50997,-0.5188,0
2.2551,0.989818,1.54502,-0.613454,0
1.76661,0.995327,1.64836,-0.699122,0
1.47463,0.629884,1.74301,-0.690734,0
1.28731,0.314024,1.83617,-0.663477,0
1.25793,0.018364,1.90446,-0.614652,0
1.27079,-0.0440735,1.96467,-0.600274,0
1.29833,0.134057,2.02008,-0.642209,0
1.16795,0.0110184,2.08568,-0.62214,0
1.27446,-0.134057,2.12043,-0.585896,0
1.30751,0.0569283,2.16506,-0.623338,0
1.30201,-0.0514191,2.21628,-0.600574,0
1.50034,-0.580301,2.21628,-0.461288,0
1.68581,-0.877798,2.2025,-0.335482,0
1.77947,-0.969618,2.19621,-0.237534,0
1.96494,-0.77496,2.15877,-0.204584,0
2.31386,-0.52521,2.06352,-0.202488,0
2.59483,-0.213022,1.95628,-0.237234,0
2.75092,0.0752923,1.85684,-0.292948,0
2.76194,-0.0238732,1.78135,-0.274077,0
2.77296,0.0018364,1.70437,-0.27887,0
2.74541,-0.0312187,1.63668,-0.270483,0
2.67747,0.143239,1.58186,-0.312119,0
2.64992,0.396662,1.52225,-0.3891,0
2.56361,0.650085,1.48032,-0.487648,0
2.34692,0.835561,1.47852,-0.59009,0
2.00167,0.964108,1.52824,-0.694329,0
1.59767,0.831888,1.6223,-0.742555,0
1.30568,0.488482,1.72234,-0.72578,0
1.14591,0.325042,1.8131,-0.725481,0
1.11286,0.15793,1.88529,-0.710504,0
1.10367,-0.0404007,1.95419,-0.673661,0
1.01185,-0.128548,2.04524,-0.647301,0
1.05776,-0.231386,2.10875,-0.610159,0
0.980636,-0.466445,2.19951,-0.530482,0
1.14591,-0.468281,2.23515,-0.490344,0
1.25059,-0.694158,2.27229,-0.392694,0
1.41035,-0.923708,2.28637,-0.274976,0
1.68398,-0.982472,2.22497,-0.18122,0
1.74274,-0.885143,2.21718,-0.122511,0
1.83272,-0.780469,2.19621,-0.0739859,0
2.17797,-0.38748,2.10246,-0.107834,0
2.4167,-0.117529,2.0063,-0.143778,0
2.56177,0.113857,1.91375,-0.192902,0
2.67012,0.104675,1.81849,-0.200391,0
2.62421,-0.0606011,1.7532,-0.166843,0
2.68481,-0.0018364,1.66483,-0.176727,0
2.61503,0.150585,1.60433,-0.215667,0
2.55626,0.179967,1.54741,-0.236036,0
2.60401,0.561937,1.46774,-0.348962,0
2.4167,0.800669,1.44437,-0.457694,0
2.0182,0.971454,1.4908,-0.569422,0
1.56645,0.956763,1.58456,-0.6482,0
1.28181,0.686812,1.67442,-0.660781,0
1.13306,0.303006,1.75379,-0.621541,0
0.986145,0.0202004,1.84515,-0.574813,0
1.11653,-0.0367279,1.8784,-0.562233,0
1.02104,0.119366,1.95808,-0.598776,0
1.07613,-0.0330551,2.0075,-0.570021,0
1.15693,-0.139566,2.04554,-0.540067,0
1.15877,0.0477463,2.09706,-0.576011,0
1.10735,-0.00550919,2.16206,-0.566426,0
1.30384,-0.506846,2.16806,-0.437924,0
1.45994,-0.859434,2.16746,-0.30463,0
1.67847,-0.901671,2.1378,-0.220759,0
1.82905,-0.817197,2.10695,-0.165644,0
2.12471,-0.567447,2.02607,-0.159654,0
2.32671,-0.258932,1.944,-0.190207,0
2.49199,-0.0716195,1.88619,-0.216266,0
2.64074,0.15793,1.79753,-0.268386,0
2.72338,0.0422371,1.71276,-0.25251,0
2.72521,-0.0771287,1.64177,-0.225852,0
2.61136,0.123039,1.59983,-0.269884,0
2.60585,0.332388,1.53992,-0.333985,0
2.57463,0.52521,1.48721,-0.411565,0
2.32671,0.940235,1.4926,-0.562233,0
2.10635,0.866779,1.51207,-0.623638,0
1.66561,0.874125,1.60642,-0.699122,0
1.31853,0.699667,1.71456,-0.729075,0
1.07429,0.336061,1.82598,-0.696126,0
1.16795,0.222204,1.87181,-0.695527,0
1.09266,-0.00918198,1.95269,-0.655089,0
1.11469,-0.0899835,2.01529,-0.633822,0
1.03206,-0.168949,2.10246,-0.605965,0
0.997164,-0.471954,2.18483,-0.514307,0
1.12755,-0.462772,2.22796,-0.476265,0
1.29282,-0.620702,2.25073,-0.396888,0
1.32404,-0.894325,2.29386,-0.273778,0
1.57196,-1.05409,2.27918,-0.156958,0
1.71336,-1.0192,2.2705,-0.0760826,0
1.897,-0.754759,2.23875,-0.0569122,0
2.15777,-0.490318,2.17195,-0.0602071,0
2.44975,-0.11202,2.0746,-0.115023,0
2.62238,0.126711,1.98324,-0.166543,0
2.77663,0.126711,1.8817,-0.177326,0
2.79316,0.0110184,1.80232,-0.158456,0
2.8152,-0.0330551,1.71995,-0.148271,0
2.78949,0.0440735,1.64836,-0.165345,0
2.68849,0.260768,1.65075,-0.224354,0
2.80601,0.503173,1.57078,-0.308524,0
2.78214,0.822706,1.51686,-0.432832,0
2.43139,1.00451,1.54861,-0.549353,0
2.02004,0.991654,1.62529,-0.631426,0
1.65643,0.899835,1.72504,-0.692532,0
1.38832,0.550919,1.83137,-0.679951,0
1.40484,0.115693,1.88769,-0.61555,0
1.34608,-0.0165276,1.96227,-0.591887,0
1.34792,0.102838,2.02607,-0.620942,0
1.33506,0.0348915,2.09317,-0.612256,0
1.35893,-0.128548,2.15218,-0.573316,0
1.37546,-0.115693,2.21119,-0.565827,0
1.58297,0.0881471,2.22018,-0.608062,0
1.61603,-0.317697,2.25552,-0.51191,0
1.7409,-0.808015,2.26511,-0.359446,0
1.88414,-0.940235,2.25911,-0.257004,0
2.0182,-0.868616,2.24324,-0.195299,0
2.35242,-0.727213,2.16476,-0.157257,0
2.63156,-0.411353,2.0722,-0.176428,0
2.86662,-0.108347,1.96707,-0.218663,0
2.93824,0.0202004,1.88349,-0.242326,0
2.92905,0.0202004,1.8146,-0.243824,0
2.96945,-0.102838,1.73373,-0.21417,0
2.9768,0.0,1.65824,-0.231543,0
2.84091,0.238732,1.6181,-0.292649,0
2.81152,0.448081,1.56239,-0.366335,0
2.76194,0.760268,1.51476,-0.484353,0
2.4773,0.971454,1.53094,-0.60297,0
2.08798,1.02655,1.59863,-0.699721,0
