I_Q,I_D,V_Q,V_D,is_startup
2.61687,-0.0422371,1.76787,-0.248616,0
2.57096,0.0110184,1.71216,-0.258801,0
2.60401,0.0661103,1.65555,-0.273778,0
2.50301,0.161603,1.6202,-0.303731,0
2.54525,0.4995,1.5567,-0.403777,0
2.4167,0.727213,1.53333,-0.504422,0
2.22204,0.842906,1.53753,-0.59608,0
1.82538,1.01002,1.61002,-0.710504,0
1.48381,0.760268,1.70227,-0.73267,0
1.19366,0.431553,1.81041,-0.713499,0
1.201,0.238732,1.86762,-0.700919,0
1.25059,0.0569283,1.91315,-0.674859,0
1.09633,-0.101002,2.0063,-0.639214,0
1.04307,-0.0954926,2.08718,-0.632025,0
1.06511,-0.246077,2.15308,-0.585597,0
1.06695,-0.4793,2.22227,-0.505021,0
1.21569,-0.488482,2.25372,-0.461887,0
1.37179,-0.710686,2.2708,-0.36334,0
1.56461,-0.95309,2.26511,-0.241128,0
1.66194,-0.971454,2.2675,-0.155161,0
1.80885,-0.896162,2.24893,-0.0916586,0
2.00167,-0.639066,2.2061,-0.0811748,0
2.32121,-0.220368,2.11444,-0.133594,0
2.56728,0.0606011,2.01439,-0.186612,0
2.62605,0.0954926,1.94131,-0.20069,0
2.74174,0.141403,1.84845,-0.220759,0
2.74541,-0.0293824,1.77476,-0.189008,0
2.74541,0.0550919,1.70138,-0.208179,0
2.64441,0.154257,1.65375,-0.238133,0
2.59483,0.426044,1.60163,-0.320805,0
2.65543,0.642739,1.52555,-0.412464,0
2.31202,0.936562,1.54771,-0.542164,0
1.96127,0.947581,1.6199,-0.624537,0
1.58848,0.888816,1.71515,-0.690435,0
1.39383,0.541737,1.79633,-0.677255,0
1.26344,0.178131,1.8778,-0.630527,0
1.22488,-0.0293824,1.947,-0.592786,0
1.28364,0.0532555,1.99462,-0.611357,0
1.16795,0.190985,2.08149,-0.650896,0
1.21386,-0.0679467,2.1372,-0.601173,0
1.34057,-0.097329,2.16835,-0.587693,0
1.39933,0.0899835,2.2061,-0.627532,0
1.51135,-0.235059,2.22527,-0.552048,0
1.65092,-0.684976,2.22766,-0.416957,0
1.75009,-0.942072,2.22886,-0.293248,0
1.88965,-0.877798,2.21089,-0.229147,0
2.13573,-0.743741,2.15368,-0.189008,0
2.40935,-0.517864,2.06921,-0.183317,0
2.6591,-0.134057,1.96707,-0.236934,0
1.66561,0.929217,1.63368,-0.707808,0
1.29833,0.672121,1.74361,-0.721287,0
1.26895,0.244241,1.79873,-0.668868,0
1.03389,0.27546,1.90836,-0.697624,0
1.13306,0.0771287,1.95299,-0.670366,0
1.04858,-0.117529,2.03596,-0.627532,0
1.05409,-0.22955,2.10336,-0.588892,0
1.0798,-0.392989,2.16476,-0.527486,0
1.12387,-0.471954,2.21958,-0.473869,0
1.2616,-0.532555,2.21628,-0.418155,0
1.38648,-0.765778,2.22467,-0.313317,0
1.46544,-1.00451,2.23425,-0.186912,0
1.61419,-0.945744,2.21898,-0.11652,0
1.69499,-0.802505,2.20849,-0.0724882,0
1.998,-0.543573,2.13481,-0.0703914,0
2.2955,-0.18364,2.03656,-0.116221,0
2.47546,0.174458,1.9428,-0.192004,0
2.48648,0.0881471,1.8772,-0.184815,0
2.58014,0.0146912,1.78914,-0.173432,0
2.57096,-0.0495827,1.71965,-0.158156,0
2.53239,0.0348915,1.65824,-0.175529,0
2.46812,0.227713,1.60672,-0.227948,0
2.44792,0.482972,1.54951,-0.312418,0
2.39833,0.626211,1.50158,-0.389998,0
2.16144,1.02655,1.50548,-0.545758,0
1.69683,0.934726,1.58785,-0.609859,0
1.37362,0.791487,1.67382,-0.652693,0
1.18264,0.420535,1.7535,-0.625435,0
1.04675,0.115693,1.83527,-0.5832,0
1.05593,-0.00550919,1.89158,-0.562233,0
1.02655,0.0697831,1.95688,-0.580804,0
1.11837,-0.00734559,1.99372,-0.567025,0
0.916362,-0.117529,2.09796,-0.538569,0
1.13489,-0.0642739,2.11174,-0.542164,0
1.27446,0.130384,2.12732,-0.586495,0
1.24875,-0.242404,2.17315,-0.502325,0
1.51319,-0.670285,2.14709,-0.372026,0
1.57747,-0.831888,2.14948,-0.274077,0
1.67112,-0.885143,2.139,-0.189308,0
2.00351,-0.681303,2.06681,-0.166244,0
2.21653,-0.42788,1.99193,-0.172833,0
2.39833,-0.161603,1.90656,-0.204584,0
2.58197,0.0642739,1.80561,-0.248317,0
2.55443,0.121202,1.74301,-0.268386,0
2.51403,0.00918198,1.6861,-0.250114,0
2.46812,0.102838,1.63398,-0.274976,0
2.46812,0.181803,1.57377,-0.303731,0
2.36161,0.462772,1.54082,-0.391197,0
2.28815,0.745577,1.50877,-0.502625,0
2.12471,0.852088,1.50578,-0.593385,0
1.7611,0.923708,1.56778,-0.684444,0
1.34057,0.697831,1.67532,-0.705112,0
1.03573,0.442572,1.78914,-0.699421,0
1.03206,0.31586,1.85204,-0.704513,0
1.13489,0.027546,1.88799,-0.657785,0
0.960436,-0.0312187,1.98594,-0.645205,0
0.969618,-0.176294,2.05183,-0.605366,0
0.976963,-0.31586,2.11743,-0.554744,0
0.896162,-0.488482,2.2052,-0.484053,0
1.15142,-0.582138,2.21388,-0.418454,0
1.33139,-0.662939,2.21988,-0.348363,0
1.44892,-0.969618,2.22647,-0.213271,0
1.61419,-0.934726,2.21119,-0.139585,0
1.73723,-0.84107,2.19232,-0.0838706,0
1.88965,-0.598665,2.15547,-0.0742854,0
2.13022,-0.31586,2.08359,-0.0955526,0
2.44975,0.0477463,1.97036,-0.16175,0
2.59483,0.117529,1.87511,-0.183317,0
2.56177,0.146912,1.8125,-0.20099,0
2.56912,0.0477463,1.78435,-0.188409,0
2.60585,0.0146912,1.72025,-0.183916,0
2.6389,0.280969,1.65405,-0.25311,0
2.69032,0.358097,1.58006,-0.296842,0
2.56177,0.664776,1.54801,-0.405574,0
2.36161,0.903507,1.54502,-0.522993,0
1.98698,0.969618,1.60373,-0.617048,0
1.52788,0.883307,1.71575,-0.677555,0
1.36077,0.550919,1.79243,-0.66797,0
1.23039,0.18364,1.87391,-0.620942,0
1.15693,-0.0330551,1.95179,-0.581104,0
1.27262,0.0220368,1.98773,-0.592486,0
1.24324,0.123039,2.05094,-0.620044,0
1.21386,-0.0697831,2.11683,-0.581403,0
1.22304,-0.106511,2.17494,-0.566127,0
1.3167,0.0514191,2.21089,-0.597279,0
1.45626,-0.172621,2.22736,-0.54426,0
1.61787,-0.635393,2.22587,-0.411266,0
1.70969,-0.894325,2.22886,-0.291151,0
1.92822,-0.850252,2.19142,-0.226451,0
2.06595,-0.771287,2.15607,-0.174032,0
2.38548,-0.47379,2.06262,-0.184515,0
2.68849,-0.134057,1.9461,-0.230944,0
2.72889,0.0238732,1.87091,-0.259699,0
2.6591,-0.00918198,1.82029,-0.253409,0
2.78214,0.0661103,1.72654,-0.27198,0
2.67563,-0.139566,1.68101,-0.224953,0
2.6389,0.174458,1.62649,-0.293547,0
2.58381,0.495827,1.58006,-0.389998,0
2.55076,0.758432,1.53244,-0.499629,0
2.37262,0.868616,1.52764,-0.592187,0
1.96862,0.962272,1.59384,-0.690135,0
1.64725,0.758432,1.67292,-0.720089,0
1.201,0.5197,1.8119,-0.723684,0
1.25242,0.317697,1.86133,-0.716195,0
1.17529,0.194658,1.93951,-0.711702,0
1.12571,-0.0330551,2.01709,-0.670366,0
1.13673,-0.0881471,2.08329,-0.653292,0
1.09266,-0.220368,2.16266,-0.611956,0
1.16795,-0.426044,2.21538,-0.540666,0
1.28731,-0.4793,2.25043,-0.490943,0
1.43606,-0.782305,2.2675,-0.372925,0
1.5793,-0.984309,2.27379,-0.254607,0
1.68949,-0.97329,2.27589,-0.173432,0
1.77029,-0.905344,2.27649,-0.108133,0
2.07146,-0.593156,2.21388,-0.110529,0
2.31202,-0.299333,2.1411,-0.135092,0
2.50668,-0.0477463,2.05962,-0.174032,0
2.76378,0.207513,1.9455,-0.235137,0
2.7748,0.0716195,1.87211,-0.218064,0
2.80418,0.0312187,1.79333,-0.21387,0
2.75276,0.0587647,1.73283,-0.223455,0
2.72889,0.194658,1.66962,-0.263294,0
2.70318,0.391153,1.60852,-0.330091,0
2.6995,0.606011,1.54412,-0.418155,0
2.42221,0.93289,1.55041,-0.553247,0
1.98147,1.04675,1.6214,-0.661979,0
1.69683,0.820869,1.69029,-0.693131,0
1.36995,0.528882,1.79453,-0.688638,0
1.15877,0.258932,1.89667,-0.664675,0
1.20651,-0.0220368,1.92064,-0.614951,0
1.23039,0.0587647,1.96707,-0.633822,0
1.17897,0.0881471,2.03027,-0.646403,0
1.23773,-0.134057,2.06951,-0.596979,0
1.22304,-0.152421,2.12312,-0.580804,0
1.29099,0.018364,2.15637,-0.611357,0
1.38832,-0.168949,2.17674,-0.564929,0
1.39933,-0.747414,2.21089,-0.403178,0
1.65092,-0.877798,2.18243,-0.305828,0
1.74274,-0.923708,2.17315,-0.219561,0
1.93924,-0.785978,2.12971,-0.176428,0
2.37079,-0.367279,2.009,-0.216266,0
2.48097,-0.190985,1.93412,-0.230045,0
2.50301,-0.0991654,1.87211,-0.237234,0
2.62054,0.027546,1.78375,-0.260898,0
2.64808,-0.0110184,1.70886,-0.253409,0
2.52688,-0.101002,1.66932,-0.229746,0
2.51954,0.253423,1.61091,-0.311819,0
2.51219,0.392989,1.5531,-0.368731,0
2.49934,0.688649,1.49739,-0.477763,0
2.17246,0.909016,1.52315,-0.592786,0
1.88231,0.90718,1.56718,-0.669467,0
1.48932,0.819033,1.66214,-0.724283,0
1.22488,0.541737,1.75799,-0.723085,0
1.15877,0.238732,1.82538,-0.691933,0
1.02471,0.159767,1.91614,-0.691933,0
1.08164,-0.0734559,1.96916,-0.646403,0
1.00818,-0.134057,2.05094,-0.624237,0
0.97329,-0.214858,2.12882,-0.592187,0
1.10735,-0.431553,2.16686,-0.5188,0
1.24691,-0.437062,2.15158,-0.480459,0
1.24508,-0.688649,2.18782,-0.379215,0
1.44708,-0.918198,2.17195,-0.262096,0
1.46912,-0.95309,2.18453,-0.17493,0
1.54257,-0.846579,2.18243,-0.120714,0
