TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
3870631, 0.0146912, 0.192822, -0.00419353, -0.0494238
3870632, -0.0128548, 0.0404007, 0.00179723, -0.0269584
3870633, 0.0440735, -0.126711, -0.0119815, 0.0122811
3870634, 0.0440735, -0.0257096, -0.015576, -0.00269584
3870635, 0.0146912, -0.00918198, -0.011682, -0.00479261
3870636, 0.0146912, -0.00918198, -0.0128801, -0.00389399
3870637, -0.0128548, 0.00734559, -0.00718891, -0.00748845
3870638, 0.0146912, -0.00918198, -0.0131797, -0.00389399
3870639, 0.0146912, -0.0422371, -0.0143778, 0.00539168
3870640, -0.0422371, -0.00918198, -0.000898614, 0.000599076
3870641, 0.0146912, 0.0569283, -0.0119815, -0.015576
3870642, -0.0422371, 0.0918199, 0.00149769, -0.0293547
3870643, 0.0146912, -0.0422371, -0.00958521, -0.00269584
3870644, 0.0146912, -0.0422371, -0.0110829, 0.000898614
3870645, -0.0422371, -0.00918198, 0.0023963, -0.00419353
3870646, -0.0422371, 0.0238732, 0.00599076, -0.0119815
3870647, -0.0716195, 0.0404007, 0.0170737, -0.0179723
3870648, 0.0146912, -0.0422371, 0.00119815, -0.000299538
3870649, 0.0146912, 0.0238732, -0.000299538, -0.0137787
3870650, 0.0146912, -0.0752923, -0.00149769, 0.00958521
3870651, -0.0128548, 0.00734559, 0.00449307, -0.00539168
3870652, 0.0146912, -0.00918198, -0.00149769, -0.00149769
3870653, -0.0128548, -0.0257096, 0.00419353, 0.00329492
3870654, -0.0128548, -0.0257096, 0.00539168, 0.00569122
3870655, -0.0128548, -0.0257096, 0.00658983, 0.00778799
3870656, 0.0146912, 0.0238732, 0.000299538, -0.00269584
3870657, 0.0146912, 0.0569283, -0.000898614, -0.0131797
3870658, 0.0440735, -0.0587647, -0.00808752, 0.011682
3870659, 0.0440735, -0.0257096, -0.0113824, 0.00808752
3870660, -0.0128548, 0.00734559, 0, 0.00179723
3870661, 0.0734559, -0.0422371, -0.0206681, 0.0140783
3870662, -0.0422371, -0.00918198, 0.00329492, 0.00928568
3870663, 0.0146912, -0.0422371, -0.00748845, 0.0185714
3870664, 0.0146912, -0.00918198, -0.00808752, 0.0134792
3870665, -0.0422371, 0.0238732, 0.00569122, 0.00569122
3870666, -0.0128548, 0.00734559, 0.00209677, 0.00778799
3870667, 0.0146912, -0.00918198, -0.00329492, 0.011682
3870668, 0.0146912, -0.00918198, -0.00419353, 0.0125806
3870669, 0.0440735, -0.0587647, -0.0122811, 0.0257603
3870670, -0.0128548, 0.00734559, -0.00119815, 0.0137787
3870671, 0.0440735, -0.0257096, -0.0140783, 0.0215667
3870672, -0.0128548, 0.0752923, -0.00269584, -0.00179723
3870673, -0.0128548, 0.0404007, -0.00119815, 0.000898614
3870674, 0.0440735, -0.0257096, -0.0140783, 0.0140783
3870675, -0.0128548, 0.00734559, -0.00299538, 0.00778799
3870676, -0.0422371, 0.0238732, 0.0062903, 0.00299538
3870677, 0.0146912, -0.00918198, -0.00449307, 0.00958521
3870678, 0.0440735, -0.0587647, -0.0125806, 0.0227649
3870679, -0.0422371, 0.0918199, 0.0062903, -0.0107834
3870680, 0.0440735, -0.0257096, -0.011682, 0.011682
3870681, -0.0128548, 0.0404007, -0.000599076, -0.00299538
3870682, -0.0128548, 0.00734559, 0.000898614, 0.00179723
3870683, 0.0146912, -0.00918198, -0.00449307, 0.00569122
3870684, -0.0422371, -0.00918198, 0.00928568, 0.0062903
3870685, 0.0440735, 0.00734559, -0.0086866, 0.00269584
3870686, 0.0440735, -0.0257096, -0.0119815, 0.0104838
3870687, 0.0146912, -0.00918198, -0.00778799, 0.0086866
3870688, 0.0440735, -0.0257096, -0.0140783, 0.0134792
3870689, -0.0422371, 0.0238732, 0.00509214, 0.00329492
3870690, -0.0128548, 0.00734559, 0.0023963, 0.00509214
3870691, 0.0440735, -0.0257096, -0.00988475, 0.0131797
3870692, 0.0146912, 0.0569283, -0.00539168, -0.00569122
