TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
1385681, 0.0146912, 0.124875, -0.00419353, -0.0320506
1385682, -0.0128548, 0.00734559, 0.00179723, -0.0128801
1385683, -0.0128548, 0.00734559, 0.00299538, -0.0134792
1385684, 0.0146912, -0.00918198, -0.00329492, -0.00988475
1385685, 0.0440735, 0.00734559, -0.0119815, -0.0134792
1385686, 0.0440735, -0.0936562, -0.0158755, 0.0119815
1385687, 0.0440735, -0.0257096, -0.01947, 0.0023963
1385688, -0.0422371, 0.0238732, -0.000898614, -0.00808752
1385689, 0.0440735, -0.0936562, -0.0197695, 0.020069
1385690, -0.0128548, 0.00734559, -0.0086866, 0.00209677
1385691, -0.0128548, 0.00734559, -0.00748845, 0.00149769
1385692, 0.0734559, -0.0752923, -0.0284561, 0.0218663
1385693, -0.0422371, 0.0238732, -0.00509214, 0.00329492
1385694, 0.0734559, -0.0752923, -0.0311519, 0.0263593
1385695, 0.0146912, -0.00918198, -0.0224653, 0.016175
1385696, -0.0422371, 0.0238732, -0.00898614, 0.00838706
1385697, 0.0440735, -0.0587647, -0.027857, 0.027258
1385698, -0.0128548, 0.00734559, -0.0167741, 0.0152764
1385699, -0.0128548, 0.00734559, -0.015576, 0.0146774
1385700, 0.0440735, -0.0257096, -0.0293547, 0.0227649
1385701, -0.0128548, 0.00734559, -0.0182718, 0.0164746
1385702, 0.0146912, -0.00918198, -0.0245621, 0.020069
1385703, 0.0734559, -0.110184, -0.0404376, 0.0464284
1385704, -0.0422371, 0.0918199, -0.0170737, 0.00419353
1385705, 0.0146912, -0.00918198, -0.0284561, 0.0224653
1385706, 0.0146912, -0.00918198, -0.0296543, 0.023364
1385707, -0.0422371, 0.0238732, -0.016175, 0.015576
1385708, 0.0146912, -0.0422371, -0.0257603, 0.0305529
1385709, 0.0146912, 0.0238732, -0.0266589, 0.0170737
1385710, -0.0422371, 0.0238732, -0.0125806, 0.0149769
1385711, 0.0146912, -0.0422371, -0.023364, 0.0299538
1385712, 0.0146912, 0.0238732, -0.0242626, 0.0164746
1385713, -0.0128548, 0.00734559, -0.0176727, 0.0185714
1385714, -0.0128548, 0.00734559, -0.016175, 0.0179723
1385715, 0.0440735, 0.00734559, -0.0290552, 0.0173732
1385716, 0.0146912, -0.00918198, -0.0251612, 0.0212672
1385717, -0.0422371, 0.0238732, -0.0110829, 0.0134792
1385718, 0.0440735, -0.0936562, -0.0290552, 0.0416358
1385719, 0.0146912, -0.00918198, -0.0251612, 0.027857
1385720, -0.0128548, -0.0257096, -0.0188709, 0.0329492
1385721, -0.0422371, 0.124875, -0.00958521, -0.00329492
1385722, 0.0146912, -0.110184, -0.0203686, 0.0458293
1385723, -0.0422371, 0.0238732, -0.0062903, 0.0212672
1385724, 0.0440735, -0.0257096, -0.0242626, 0.031751
1385725, 0.0440735, -0.0257096, -0.0275575, 0.0338478
1385726, -0.0128548, 0.0404007, -0.0164746, 0.01947
1385727, 0.0146912, 0.0238732, -0.0218663, 0.020069
1385728, -0.0128548, 0.0752923, -0.015576, 0.00509214
1385729, -0.0128548, -0.0257096, -0.0140783, 0.0242626
1385730, 0.0440735, 0.00734559, -0.0269584, 0.0179723
1385731, -0.0128548, 0.00734559, -0.0158755, 0.0173732
1385732, 0.0146912, -0.00918198, -0.0212672, 0.0209677
1385733, 0.0146912, -0.0422371, -0.0221658, 0.0302533
1385734, -0.0128548, -0.0587647, -0.0158755, 0.0380413
1385735, -0.0716195, 0.0404007, 0.000599076, 0.0176727
1385736, -0.0128548, 0.00734559, -0.00748845, 0.0224653
1385737, 0.0440735, -0.0257096, -0.0203686, 0.0305529
1385738, 0.0440735, -0.0587647, -0.0218663, 0.0410367
1385739, 0.0146912, -0.00918198, -0.0173732, 0.0335482
1385740, -0.0422371, 0.124875, -0.00269584, 0.000299538
1385741, 0.0440735, -0.0257096, -0.020069, 0.027857
1385742, -0.0128548, -0.0257096, -0.00838706, 0.0299538
1385743, -0.0128548, 0.00734559, -0.00599076, 0.0236635
1385744, 0.0440735, -0.0257096, -0.0182718, 0.0314515
1385745, -0.0422371, 0.0569283, 0.000898614, 0.0125806
1385746, 0.0734559, -0.00918198, -0.023963, 0.0248616
1385747, -0.0128548, -0.0257096, -0.00718891, 0.0296543
1385748, 0.0440735, -0.0257096, -0.0191704, 0.031751
1385749, -0.0128548, 0.00734559, -0.00748845, 0.0254607
1385750, -0.0128548, -0.0257096, -0.00539168, 0.0335482
1385751, -0.0422371, 0.0569283, 0.00449307, 0.0143778
1385752, 0.0440735, -0.0257096, -0.0128801, 0.0308524
1385753, -0.0422371, 0.0569283, 0.00658983, 0.0119815
1385754, 0.0734559, -0.00918198, -0.0185714, 0.023963
1385755, 0.0146912, -0.00918198, -0.0086866, 0.0248616
1385756, 0.0146912, -0.00918198, -0.00898614, 0.0254607
1385757, 0.0734559, -0.0422371, -0.023963, 0.0347464
1385758, 0.0146912, -0.00918198, -0.0140783, 0.0299538
1385759, 0.0146912, 0.0569283, -0.0143778, 0.0137787
1385760, 0.0734559, -0.0752923, -0.0293547, 0.0425344
1385761, 0.0146912, -0.00918198, -0.0197695, 0.0323501
1385762, 0.0146912, -0.00918198, -0.0197695, 0.0329492
1385763, -0.0128548, 0.00734559, -0.0128801, 0.0293547
1385764, -0.0128548, -0.0257096, -0.0107834, 0.0374422
1385765, -0.0422371, 0.0238732, -0.000898614, 0.0269584
1385766, 0.132221, -0.0752923, -0.0407372, 0.0500228
