I_Q,I_D,V_Q,V_D,is_startup
0.0954926,-0.0146912,1.73462,-0.247418,0
0.167112,-0.141403,1.72744,-0.213571,0
0.214858,-0.110184,1.72055,-0.209677,0
0.190985,-0.128548,1.72744,-0.195598,0
0.266278,-0.00550919,1.71156,-0.215967,0
0.290151,0.0808015,1.70197,-0.237534,0
0.211186,0.13773,1.71695,-0.2591,0
0.192822,0.163439,1.72294,-0.277372,0
0.231386,0.0661103,1.71605,-0.266289,0
0.222204,-0.110184,1.71815,-0.22705,0
0.202004,-0.179967,1.72384,-0.199792,0
0.240568,-0.209349,1.71186,-0.176727,0
0.337897,0.0202004,1.6843,-0.217764,0
0.301169,0.110184,1.6831,-0.242326,0
0.271787,0.214858,1.6831,-0.27857,0
0.18364,0.141403,1.70018,-0.278271,0
0.167112,0.0165276,1.70707,-0.258202,0
0.135893,0.146912,1.68879,-0.247718,0
0.202004,0.13773,1.67831,-0.257902,0
0.189149,-0.0752923,1.68191,-0.215368,0
0.172621,-0.150585,1.6879,-0.189608,0
0.293824,0.0146912,1.66004,-0.218962,0
0.290151,0.0495827,1.65405,-0.229147,0
0.231386,0.233222,1.66214,-0.280367,0
0.152421,0.211186,1.68041,-0.294745,0
0.113857,0.0238732,1.69509,-0.264792,0
0.126711,-0.0495827,1.69958,-0.247718,0
0.178131,-0.146912,1.69359,-0.218962,0
0.139566,-0.108347,1.70617,-0.216266,0
0.240568,-0.0844743,1.6864,-0.212971,0
0.24975,-0.0220368,1.68161,-0.221958,0
0.240568,0.11202,1.68041,-0.254308,0
0.178131,0.216695,1.69359,-0.290552,0
0.126711,0.213022,1.70916,-0.308225,0
0.126711,0.108347,1.71635,-0.299238,0
0.124875,-0.0514191,1.72414,-0.267787,0
0.202004,-0.202004,1.70437,-0.224953,0
0.242404,-0.22955,1.69239,-0.20069,0
0.36177,-0.154257,1.65674,-0.200391,0
0.343406,-0.0257096,1.64626,-0.22016,0
0.240568,0.0844743,1.65854,-0.24622,0
0.108347,0.11202,1.6873,-0.260298,0
0.154257,0.0606011,1.68191,-0.256704,0
0.0661103,-0.0697831,1.70677,-0.228547,0
0.115693,-0.113857,1.70377,-0.211474,0
0.13773,-0.189149,1.70407,-0.182419,0
0.202004,-0.0550919,1.69119,-0.200391,0
0.207513,-0.0642739,1.6882,-0.193502,0
0.258932,0.0697831,1.67292,-0.222257,0
0.15793,0.0954926,1.69209,-0.234838,0
0.167112,0.143239,1.69179,-0.255206,0
0.143239,-0.0716195,1.69898,-0.212672,0
0.190985,-0.108347,1.68999,-0.197096,0
0.22955,-0.198331,1.67951,-0.164746,0
0.251586,-0.168949,1.66992,-0.155161,0
0.36177,-0.0569283,1.63578,-0.169538,0
0.29566,0.152421,1.63727,-0.218064,0
0.242404,0.198331,1.64117,-0.242925,0
0.113857,0.15793,1.66873,-0.249515,0
0.167112,0.018364,1.66124,-0.227349,0
0.0863107,-0.110184,1.6831,-0.196197,0
0.165276,-0.178131,1.67082,-0.169239,0
0.209349,-0.178131,1.66124,-0.153962,0
0.268114,-0.0716195,1.64356,-0.166244,0
0.244241,0.0128548,1.64237,-0.18182,0
0.227713,0.143239,1.64117,-0.215967,0
0.231386,0.192822,1.65255,-0.240828,0
0.13773,0.231386,1.67741,-0.267188,0
0.22404,0.15793,1.66453,-0.268086,0
0.178131,-0.0257096,1.67801,-0.234838,0
0.216695,-0.0844743,1.67382,-0.217465,0
0.262605,-0.0110184,1.66423,-0.228847,0
0.262605,0.0550919,1.66274,-0.245022,0
0.323206,0.282805,1.64596,-0.307625,0
0.159767,0.205676,1.68101,-0.312119,0
0.121202,0.167112,1.69778,-0.319607,0
0.126711,0.00367279,1.70677,-0.292349,0
0.168949,-0.0936562,1.70617,-0.267787,0
0.20384,-0.185476,1.70347,-0.236335,0
0.192822,-0.0146912,1.71006,-0.264192,0
0.247914,-0.0624375,1.70018,-0.250713,0
0.244241,0.104675,1.70108,-0.288155,0
0.216695,0.202004,1.70767,-0.321704,0
0.165276,0.202004,1.72324,-0.339077,0
0.0954926,0.106511,1.7478,-0.331888,0
0.194658,-0.108347,1.73522,-0.286059,0
0.22955,-0.288314,1.73043,-0.230944,0
0.24975,-0.323206,1.72654,-0.197396,0
0.319533,-0.244241,1.70826,-0.190207,0
0.370952,-0.0165276,1.6885,-0.227349,0
0.24975,0.0459099,1.70886,-0.242027,0
0.242404,0.0771287,1.71036,-0.253709,0
0.156094,0.0550919,1.73253,-0.254907,0
0.148748,-0.101002,1.74211,-0.219561,0
0.179967,-0.108347,1.74211,-0.209077,0
0.123039,-0.22404,1.76188,-0.170437,0
0.280969,-0.123039,1.73223,-0.177326,0
0.266278,-0.0385643,1.71665,-0.188409,0
0.268114,-0.00550919,1.70886,-0.193202,0
0.218531,0.104675,1.71456,-0.221059,0
0.192822,0.161603,1.71785,-0.244423,0
0.179967,0.0385643,1.72025,-0.22675,0
0.216695,-0.0550919,1.71096,-0.206082,0
0.233222,-0.174458,1.70377,-0.171036,0
0.310351,-0.156094,1.67951,-0.160852,0
0.326879,-0.117529,1.66453,-0.157557,0
0.391153,0.0954926,1.63548,-0.201889,0
0.222204,0.168949,1.66124,-0.228847,0
0.124875,0.242404,1.6825,-0.261796,0
0.220368,0.0367279,1.66303,-0.229746,0
0.0991654,-0.0844743,1.69059,-0.201889,0
0.124875,-0.187312,1.69119,-0.16864,0
0.251586,-0.233222,1.66363,-0.141082,0
0.22404,-0.159767,1.66453,-0.139884,0
0.332388,-0.0495827,1.63338,-0.154262,0
0.233222,0.134057,1.64596,-0.197096,0
0.214858,0.161603,1.64626,-0.215368,0
0.213022,0.213022,1.64386,-0.242626,0
0.130384,0.152421,1.66244,-0.245022,0
0.132221,0.0826379,1.66633,-0.240229,0
0.168949,-0.0422371,1.66124,-0.215368,0
0.198331,-0.0422371,1.65465,-0.211773,0
0.258932,-0.0220368,1.63787,-0.213271,0
0.284642,0.130384,1.62469,-0.250713,0
0.148748,0.143239,1.65045,-0.264792,0
0.0991654,0.258932,1.66603,-0.306727,0
0.0440735,0.0348915,1.6873,-0.271381,0
0.113857,-0.134057,1.6882,-0.231243,0
0.139566,-0.174458,1.68969,-0.209377,0
0.143239,-0.101002,1.69479,-0.213271,0
0.185476,-0.0679467,1.68939,-0.213271,0
0.24975,0.0918199,1.67532,-0.248317,0
0.236895,0.123039,1.67502,-0.263893,0
0.135893,0.233222,1.69838,-0.302533,0
0.178131,0.150585,1.69389,-0.301335,0
0.104675,0.0257096,1.71545,-0.282464,0
0.0679467,-0.113857,1.73373,-0.248916,0
0.271787,-0.297496,1.69359,-0.192303,0
0.194658,-0.211186,1.70797,-0.189008,0
0.279132,-0.119366,1.6876,-0.1947,0
0.277296,0.0844743,1.68221,-0.236635,0
0.198331,0.13773,1.69658,-0.257303,0
0.113857,0.0844743,1.71905,-0.255506,0
0.167112,0.0367279,1.71366,-0.250114,0
0.202004,-0.0569283,1.70826,-0.229446,0
0.121202,-0.198331,1.72953,-0.188709,0
0.15793,-0.115693,1.72773,-0.192902,0
0.202004,-0.0808015,1.72085,-0.192004,0
0.29566,-0.0018364,1.69748,-0.204884,0
0.255259,0.0808015,1.70048,-0.225852,0
0.225877,0.178131,1.70407,-0.257902,0
0.194658,0.145075,1.71066,-0.264492,0
0.213022,-0.0661103,1.70707,-0.222856,0
0.216695,-0.126711,1.70587,-0.201589,0
0.253423,-0.123039,1.69568,-0.192004,0
0.347079,-0.154257,1.66813,-0.173732,0
0.306678,0.0606011,1.66693,-0.215368,0
0.253423,0.211186,1.67861,-0.2591,0
0.24975,0.143239,1.67801,-0.259699,0
0.0863107,0.13773,1.71875,-0.270483,0
0.146912,-0.0018364,1.71605,-0.24622,0
0.178131,-0.126711,1.71545,-0.21417,0
0.185476,-0.225877,1.71845,-0.178225,0
0.244241,-0.190985,1.70737,-0.168041,0
0.330551,-0.0624375,1.6846,-0.184515,0
0.330551,0.0459099,1.67651,-0.206981,0
0.310351,0.154257,1.67382,-0.238432,0
0.222204,0.205676,1.68969,-0.264492,0
0.27546,0.194658,1.67741,-0.279469,0
0.20384,0.0789651,1.69209,-0.266289,0
0.189149,-0.0734559,1.69868,-0.234239,0
0.179967,-0.115693,1.70467,-0.217165,0
0.314024,-0.0716195,1.67532,-0.218663,0
0.348915,0.0532555,1.65944,-0.244423,0
0.291987,0.209349,1.66423,-0.289054,0
0.189149,0.293824,1.6858,-0.328294,0
0.108347,0.115693,1.71036,-0.307625,0
0.143239,-0.0789651,1.71216,-0.267787,0
0.167112,-0.174458,1.71396,-0.236635,0
0.178131,-0.187312,1.71695,-0.218663,0
0.277296,-0.0367279,1.69628,-0.241128,0
0.279132,-0.00367279,1.69209,-0.24622,0
0.271787,0.0991654,1.69059,-0.27228,0
0.150585,0.196494,1.71845,-0.305529,0
0.247914,0.134057,1.70048,-0.306427,0
0.174458,0.0789651,1.71845,-0.303731,0
0.205676,-0.161603,1.71545,-0.249216,0
0.170785,-0.205676,1.71336,-0.224054,0
0.240568,-0.260768,1.69628,-0.192303,0
0.303006,-0.145075,1.67562,-0.199792,0
0.255259,-0.0110184,1.67741,-0.221658,0
0.20384,0.132221,1.6843,-0.257303,0
0.251586,0.141403,1.67022,-0.271082,0
0.0808015,0.00918198,1.70797,-0.249216,0
0.113857,-0.0385643,1.70797,-0.237833,0
0.0936562,-0.176294,1.71905,-0.199193,0
0.179967,-0.143239,1.70467,-0.192603,0
0.200167,-0.0863107,1.69928,-0.194999,0
0.264441,0.108347,1.68161,-0.237534,0
0.209349,-0.0018364,1.6885,-0.218363,0
0.189149,0.0899835,1.69119,-0.242027,0
0.156094,0.0863107,1.69898,-0.248616,0
0.161603,0.0165276,1.69988,-0.238133,0
0.218531,-0.0440735,1.6873,-0.223755,0
0.222204,-0.227713,1.6831,-0.173432,0
0.286478,-0.152421,1.66303,-0.173133,0
0.304842,-0.0495827,1.64956,-0.186313,0
0.326879,0.110184,1.63338,-0.223156,0
0.156094,0.168949,1.66453,-0.247718,0
0.0771287,0.167112,1.687,-0.261197,0
0.113857,-0.00367279,1.6864,-0.231842,0
0.0881471,-0.108347,1.69898,-0.204884,0
0.0679467,-0.194658,1.71186,-0.173732,0
0.238732,-0.198331,1.67801,-0.156359,0
0.266278,-0.0991654,1.66603,-0.164446,0
0.244241,-0.0165276,1.66453,-0.177326,0
0.139566,0.115693,1.6861,-0.209677,0
0.161603,0.214858,1.69119,-0.245022,0
0.200167,0.225877,1.6855,-0.26599,0
0.205676,0.132221,1.6849,-0.261497,0
0.174458,-0.11202,1.69299,-0.210276,0
0.227713,-0.0477463,1.68221,-0.216865,0
0.247914,-0.106511,1.67562,-0.197995,0
0.321369,0.0587647,1.65375,-0.231243,0
0.29566,0.233222,1.65045,-0.280667,0
0.117529,0.128548,1.68879,-0.273778,0
0.101002,0.0532555,1.70078,-0.265391,0
0.145075,0.0348915,1.69868,-0.265091,0
0.168949,-0.0936562,1.69808,-0.235437,0
0.181803,-0.159767,1.69838,-0.210575,0
0.231386,-0.124875,1.6879,-0.206082,0
0.27546,-0.0808015,1.67472,-0.206681,0
0.211186,0.152421,1.6855,-0.2591,0
0.216695,0.202004,1.684,-0.284861,0
0.255259,0.213022,1.67352,-0.30493,0
0.115693,0.134057,1.70527,-0.302833,0
0.106511,-0.027546,1.71575,-0.272879,0
0.161603,-0.211186,1.71036,-0.223455,0
0.179967,-0.22404,1.70976,-0.202488,0
0.29566,-0.192822,1.6825,-0.191405,0
0.34157,-0.0348915,1.66333,-0.215368,0
0.271787,0.0991654,1.67022,-0.24652,0
0.207513,0.0844743,1.68131,-0.251312,0
0.0018364,0.0459099,1.73373,-0.248616,0
0.097329,-0.0128548,1.72714,-0.237534,0
0.227713,-0.0734559,1.70347,-0.221059,0
0.192822,-0.0844743,1.71096,-0.211773,0
0.185476,-0.161603,1.71186,-0.185114,0
0.207513,0.0312187,1.70737,-0.22046,0
0.264441,0.0293824,1.69209,-0.222557,0
0.196494,0.205676,1.70407,-0.270183,0
0.170785,0.13773,1.71096,-0.270483,0
0.128548,0.0128548,1.72414,-0.250114,0
0.178131,0.00550919,1.71755,-0.249515,0
0.236895,-0.260768,1.70467,-0.18182,0
0.301169,-0.218531,1.6849,-0.170437,0
0.273623,-0.0404007,1.6834,-0.197396,0
0.392989,0.0330551,1.64686,-0.212672,0
0.238732,0.227713,1.66992,-0.265091,0
0.225877,0.101002,1.66962,-0.252211,0
0.0844743,0.0532555,1.70347,-0.248616,0
0.185476,-0.108347,1.6876,-0.211773,0
0.170785,-0.236895,1.69269,-0.169838,0
0.198331,-0.214858,1.6882,-0.155161,0
0.231386,-0.123039,1.67981,-0.160552,0
0.303006,0.00734559,1.65884,-0.183317,0
0.290151,0.11202,1.65345,-0.210575,0
0.227713,0.222204,1.66184,-0.248317,0
0.308515,0.202004,1.63877,-0.261796,0
0.176294,0.124875,1.66333,-0.2594,0
0.15793,0.0,1.67022,-0.238133,0
0.211186,0.176294,1.63488,-0.266589,0
0.154257,0.211186,1.64746,-0.290552,0
0.0330551,0.0642739,1.6879,-0.270782,0
0.110184,0.0385643,1.6834,-0.269584,0
0.110184,-0.154257,1.69209,-0.224054,0
0.161603,-0.132221,1.6879,-0.216266,0
0.202004,-0.132221,1.68191,-0.204884,0
0.251586,0.0110184,1.67022,-0.230644,0
0.211186,0.124875,1.67741,-0.260298,0
0.244241,0.194658,1.66903,-0.288755,0
0.128548,0.213022,1.69598,-0.310321,0
0.126711,0.106511,1.70347,-0.301036,0
0.148748,-0.139566,1.70527,-0.247418,0
0.11202,-0.190985,1.71995,-0.222257,0
0.306678,-0.211186,1.67891,-0.20069,0
0.26995,-0.167112,1.68041,-0.1944,0
0.24975,0.0532555,1.68071,-0.236335,0
0.29566,0.126711,1.66603,-0.259699,0
0.165276,0.128548,1.69209,-0.270782,0
0.135893,0.0312187,1.70347,-0.256704,0
0.198331,-0.00734559,1.69419,-0.249515,0
0.0697831,-0.152421,1.72833,-0.212073,0
0.128548,-0.222204,1.72564,-0.18122,0
0.194658,-0.123039,1.71575,-0.18781,0
0.207513,-0.0991654,1.71426,-0.183317,0
0.251586,0.135893,1.70347,-0.234838,0
