I_Q,I_D,V_Q,V_D,is_startup
0.179967,0.189149,1.67412,-0.307625,0
0.143239,0.154257,1.6858,-0.314515,0
0.121202,0.0532555,1.69688,-0.302234,0
0.148748,-0.0752923,1.69688,-0.273778,0
0.209349,-0.192822,1.6861,-0.237234,0
0.172621,-0.156094,1.69538,-0.230345,0
0.310351,-0.0679467,1.66303,-0.23963,0
0.306678,0.0716195,1.65495,-0.269285,0
0.179967,0.0844743,1.67861,-0.27887,0
0.146912,0.0808015,1.68939,-0.284861,0
0.0954926,-0.018364,1.70737,-0.266589,0
0.218531,-0.0238732,1.67861,-0.263593,0
0.11202,-0.139566,1.70227,-0.231842,0
0.128548,-0.124875,1.70377,-0.224054,0
0.235059,-0.027546,1.68071,-0.238133,0
0.156094,-0.0881471,1.69598,-0.22016,0
0.170785,0.0550919,1.69419,-0.249515,0
0.150585,0.106511,1.69988,-0.267188,0
0.0936562,0.0110184,1.71695,-0.251911,0
0.146912,-0.0624375,1.71036,-0.233939,0
0.176294,-0.0679467,1.70557,-0.227349,0
0.235059,-0.214858,1.69059,-0.183916,0
0.266278,-0.115693,1.67771,-0.191105,0
0.303006,0.0716195,1.66094,-0.228847,0
0.244241,0.0330551,1.66543,-0.225253,0
0.187312,0.13773,1.67412,-0.254907,0
0.167112,0.0110184,1.67861,-0.234239,0
0.200167,-0.141403,1.67112,-0.196197,0
0.0826379,-0.135893,1.69928,-0.185414,0
0.227713,-0.211186,1.67022,-0.154562,0
0.22955,-0.126711,1.66543,-0.158156,0
0.18364,-0.0642739,1.67292,-0.163548,0
0.301169,0.0385643,1.64267,-0.184216,0
0.277296,0.141403,1.63817,-0.21387,0
0.181803,0.128548,1.65405,-0.222856,0
0.264441,0.146912,1.63248,-0.238133,0
0.123039,-0.00734559,1.66154,-0.211174,0
0.146912,-0.106511,1.66004,-0.185414,0
0.22404,-0.0661103,1.64297,-0.186612,0
0.257096,-0.0569283,1.63068,-0.183317,0
0.257096,0.0771287,1.62409,-0.212672,0
0.227713,0.209349,1.63638,-0.253409,0
0.097329,0.168949,1.66962,-0.260898,0
0.0899835,0.148748,1.68221,-0.269884,0
0.176294,-0.0146912,1.67142,-0.240828,0
0.163439,-0.11202,1.67891,-0.214769,0
0.190985,-0.0238732,1.67681,-0.227649,0
0.189149,-0.0348915,1.68011,-0.222856,0
0.189149,0.159767,1.6831,-0.269584,0
0.264441,0.113857,1.64327,-0.221059,0
0.22404,0.123039,1.64566,-0.233041,0
0.0752923,0.0789651,1.67921,-0.232142,0
0.113857,0.0,1.67741,-0.218663,0
0.225877,-0.240568,1.65375,-0.157557,0
0.174458,-0.168949,1.66214,-0.155161,0
0.218531,-0.167112,1.65045,-0.141382,0
0.211186,-0.0532555,1.64866,-0.156059,0
0.216695,-0.027546,1.64356,-0.158156,0
0.347079,0.110184,1.60642,-0.191105,0
0.152421,0.130384,1.64117,-0.205783,0
0.097329,0.0918199,1.65674,-0.206981,0
0.218531,0.108347,1.63188,-0.218962,0
0.101002,-0.0606011,1.65794,-0.184815,0
0.20384,-0.018364,1.63757,-0.190506,0
0.255259,-0.0679467,1.6214,-0.176428,0
0.348915,0.0495827,1.59055,-0.20069,0
0.227713,0.266278,1.60642,-0.260298,0
0.0716195,0.172621,1.65734,-0.2591,0
0.0954926,0.145075,1.66513,-0.266589,0
0.0587647,0.0679467,1.6861,-0.2591,0
0.130384,-0.0330551,1.6828,-0.239331,0
0.190985,-0.0330551,1.67621,-0.236335,0
0.198331,0.0238732,1.67741,-0.248017,0
0.251586,0.0146912,1.66693,-0.247718,0
0.268114,0.132221,1.66124,-0.279169,0
0.13773,0.260768,1.69149,-0.323201,0
0.20384,0.170785,1.6828,-0.322602,0
0.0918199,0.110184,1.71396,-0.321404,0
0.161603,-0.0495827,1.70797,-0.289953,0
0.192822,-0.231386,1.70617,-0.239331,0
0.220368,-0.205676,1.70287,-0.226451,0
0.273623,-0.161603,1.69029,-0.22016,0
0.339733,0.0459099,1.66992,-0.2594,0
0.240568,0.0881471,1.6861,-0.274077,0
0.181803,0.0679467,1.70048,-0.276174,0
0.0954926,-0.0220368,1.72684,-0.2591,0
0.134057,-0.0661103,1.72893,-0.245921,0
0.152421,-0.106511,1.73253,-0.230045,0
0.172621,-0.176294,1.73432,-0.203087,0
0.262605,-0.0569283,1.71635,-0.218663,0
0.235059,0.0587647,1.72085,-0.243225,0
0.214858,-0.0330551,1.72594,-0.224953,0
0.213022,0.115693,1.72803,-0.259999,0
0.189149,0.0826379,1.73582,-0.261197,0
0.178131,-0.0697831,1.74241,-0.229446,0
0.273623,-0.0642739,1.72294,-0.224953,0
0.22404,-0.225877,1.73193,-0.178225,0
0.26995,-0.0624375,1.70976,-0.20069,0
0.363607,-0.0477463,1.67891,-0.199193,0
0.391153,0.0514191,1.65704,-0.22046,0
0.282805,0.130384,1.66753,-0.245022,0
0.167112,0.0918199,1.68909,-0.24622,0
0.130384,-0.0348915,1.70048,-0.221658,0
0.108347,-0.13773,1.71096,-0.192303,0
0.192822,-0.198331,1.69628,-0.165345,0
0.18364,-0.18364,1.69838,-0.152165,0
0.238732,-0.0789651,1.6846,-0.163248,0
0.332388,0.00550919,1.65644,-0.178225,0
0.291987,0.0918199,1.65465,-0.20069,0
0.268114,0.159767,1.65225,-0.225552,0
0.187312,0.110184,1.66603,-0.22675,0
0.222204,0.0459099,1.65734,-0.219861,0
0.211186,-0.0165276,1.65704,-0.20758,0
0.284642,-0.0624375,1.63638,-0.1944,0
0.257096,-0.0385643,1.63548,-0.195299,0
0.290151,0.0771287,1.6211,-0.221359,0
0.247914,0.126711,1.6235,-0.240828,0
0.156094,0.0863107,1.64177,-0.241428,0
