TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
20955091, 0.0440735, 0.108347, -0.011682, -0.027857
20955092, 0.0440735, -0.0257096, -0.015576, -0.00299538
20955093, 0.0440735, -0.0257096, -0.0191704, -0.000898614
20955094, -0.0128548, -0.0257096, -0.00808752, 0.00149769
20955095, -0.0128548, 0.0404007, -0.00718891, -0.0131797
20955096, 0.0440735, -0.0257096, -0.0206681, 0
20955097, -0.0128548, 0.00734559, -0.00988475, -0.0062903
20955098, -0.0128548, 0.00734559, -0.0086866, -0.00688937
20955099, 0.0146912, -0.0422371, -0.0146774, 0.00539168
20955100, -0.0128548, -0.0257096, -0.00898614, 0.00479261
20955101, 0.0734559, -0.0752923, -0.0296543, 0.01947
20955102, 0.0146912, -0.00918198, -0.0212672, 0.00928568
20955103, -0.0422371, 0.0238732, -0.00778799, 0.00149769
20955104, 0.0146912, 0.0238732, -0.0188709, -0.000599076
20955105, 0.0440735, -0.0587647, -0.0275575, 0.0185714
20955106, -0.0128548, 0.00734559, -0.0167741, 0.00658983
20955107, -0.0128548, 0.00734559, -0.015576, 0.00599076
20955108, -0.0716195, 0.143239, 0.000299538, -0.0293547
20955109, 0.0440735, -0.0936562, -0.0230644, 0.0188709
20955110, 0.0146912, 0.0238732, -0.0191704, -0.00299538
20955111, -0.0422371, 0.0569283, -0.00569122, -0.0137787
20955112, -0.0128548, -0.0257096, -0.00988475, 0.00269584
20955113, -0.0128548, 0.0404007, -0.0086866, -0.0119815
20955114, -0.0128548, -0.0257096, -0.00748845, 0.00149769
20955115, -0.0128548, 0.00734559, -0.00658983, -0.00479261
20955116, 0.0146912, -0.00918198, -0.0125806, -0.00119815
20955117, 0.0146912, -0.0422371, -0.0122811, 0.00808752
20955118, -0.0128548, 0.00734559, -0.00599076, -0.00119815
20955119, 0.0146912, -0.00918198, -0.011682, 0.00269584
20955120, 0.0146912, -0.00918198, -0.0122811, 0.00329492
20955121, 0.0440735, 0.00734559, -0.0203686, -0.000299538
20955122, -0.0128548, 0.0404007, -0.00928568, -0.00898614
20955123, 0.0734559, -0.0752923, -0.0299538, 0.0167741
20955124, -0.0128548, 0.00734559, -0.0134792, 0.00209677
20955125, -0.0716195, 0.0404007, 0.00299538, -0.00658983
20955126, -0.0128548, -0.0257096, -0.00539168, 0.00658983
20955127, 0.0734559, -0.00918198, -0.0257603, 0.00449307
20955128, -0.0422371, 0.0918199, -0.00209677, -0.0206681
20955129, 0.0146912, -0.00918198, -0.0128801, -0.0023963
20955130, 0.0440735, -0.0257096, -0.0206681, 0.0023963
20955131, 0.0146912, -0.0422371, -0.0167741, 0.00898614
20955132, 0.0146912, -0.0422371, -0.0176727, 0.0125806
20955133, -0.0422371, 0.0238732, -0.00359446, -0.000599076
20955134, -0.0422371, 0.0569283, 0.000299538, -0.0113824
20955135, 0.0440735, -0.0257096, -0.0176727, 0.00509214
20955136, -0.0128548, -0.0257096, -0.0062903, 0.00718891
20955137, 0.0146912, 0.0238732, -0.0119815, -0.00329492
20955138, 0.0146912, -0.0422371, -0.0128801, 0.011682
20955139, -0.0128548, 0.00734559, -0.0062903, 0.0023963
20955140, 0.0440735, -0.0587647, -0.0191704, 0.0188709
20955141, 0.0146912, -0.00918198, -0.0152764, 0.0110829
20955142, 0.0146912, 0.0238732, -0.0158755, 0.00359446
20955143, -0.0422371, 0.0238732, -0.00209677, 0.00149769
20955144, 0.0146912, 0.0569283, -0.0128801, -0.00898614
20955145, 0.0734559, -0.0422371, -0.0284561, 0.011682
20955146, 0.0146912, 0.0238732, -0.0191704, -0.00179723
20955147, -0.0128548, 0.00734559, -0.0110829, 0.000299538
