TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
22935769, 0.0440735, 0.143239, -0.011682, -0.0368432
22935770, 0.0146912, -0.00918198, -0.00778799, -0.0101843
22935771, 0.0146912, 0.0238732, -0.00898614, -0.0176727
22935772, -0.0128548, 0.0752923, -0.00329492, -0.0329492
22935773, -0.0128548, 0.00734559, -0.00209677, -0.0221658
22935774, -0.0128548, 0.00734559, -0.000898614, -0.0227649
22935775, -0.0128548, 0.0404007, 0, -0.0314515
22935776, -0.0128548, -0.0257096, 0.00119815, -0.0182718
22935777, 0.0440735, 0.00734559, -0.0125806, -0.0245621
22935778, -0.0128548, 0.0404007, -0.00149769, -0.0335482
22935779, 0.0146912, -0.00918198, -0.00748845, -0.0242626
22935780, -0.0128548, -0.0257096, -0.00179723, -0.01947
22935781, -0.0128548, -0.0257096, -0.000599076, -0.0170737
22935782, 0.102838, -0.0587647, -0.0290552, -0.00658983
22935783, 0.0440735, -0.0587647, -0.0230644, -0.00149769
22935784, -0.0128548, 0.00734559, -0.0119815, -0.0134792
22935785, -0.0128548, 0.00734559, -0.0107834, -0.0140783
22935786, 0.0146912, 0.0238732, -0.0167741, -0.0188709
22935787, 0.0146912, -0.00918198, -0.0182718, -0.0122811
22935788, -0.0128548, 0.00734559, -0.0122811, -0.016175
22935789, -0.0128548, 0.00734559, -0.0110829, -0.0167741
22935790, 0.0440735, -0.0587647, -0.0248616, -0.000299538
22935791, -0.0422371, 0.0918199, -0.0062903, -0.0338478
22935792, -0.0128548, 0.00734559, -0.0101843, -0.020069
22935793, -0.0422371, -0.0422371, -0.00149769, -0.00778799
22935794, -0.0128548, 0.00734559, -0.00569122, -0.0170737
22935795, 0.0146912, 0.0918199, -0.0101843, -0.0392395
22935796, 0.0146912, -0.0422371, -0.0110829, -0.0125806
22935797, 0.0146912, -0.0422371, -0.011682, -0.00898614
22935798, -0.0128548, 0.00734559, -0.00539168, -0.0182718
22935799, -0.0128548, -0.0257096, -0.00389399, -0.0104838
22935800, 0.0146912, -0.00918198, -0.00958521, -0.0122811
22935801, 0.0146912, -0.00918198, -0.0101843, -0.011682
22935802, -0.0422371, -0.00918198, 0.00359446, -0.0107834
22935803, 0.0146912, -0.00918198, -0.00688937, -0.0101843
22935804, 0.0146912, -0.0422371, -0.00778799, -0.000898614
22935805, -0.0716195, 0.108347, 0.0134792, -0.035645
22935806, 0.0146912, -0.0422371, -0.00179723, -0.0062903
22935807, -0.0128548, -0.0257096, 0.00449307, -0.00718891
22935808, -0.0128548, 0.00734559, 0.00599076, -0.0134792
22935809, 0.0440735, -0.0257096, -0.00688937, -0.00569122
22935810, 0.0146912, -0.0422371, -0.00299538, 0.000898614
22935811, -0.0128548, 0.0752923, 0.00359446, -0.0254607
22935812, 0.0440735, -0.0587647, -0.00928568, 0.00209677
22935813, -0.0422371, 0.0918199, 0.00928568, -0.0314515
22935814, -0.0422371, 0.0238732, 0.0134792, -0.0215667
22935815, 0.0440735, -0.0257096, -0.00449307, -0.0110829
22935816, -0.0128548, 0.00734559, 0.00658983, -0.0173732
22935817, 0.0146912, -0.0752923, 0.000898614, 0.00299538
22935818, -0.0128548, 0.0404007, 0.00748845, -0.0197695
22935819, 0.0146912, -0.00918198, 0.00179723, -0.0107834
22935820, 0.0734559, -0.00918198, -0.0137787, -0.00988475
22935821, -0.101002, 0.0569283, 0.0248616, -0.0260598
22935822, -0.0422371, 0.124875, 0.0191704, -0.0482256
22935823, 0.0440735, -0.0936562, 0.00119815, -0.00299538
22935824, 0.0440735, -0.0257096, -0.00209677, -0.0125806
22935825, -0.0716195, 0.0752923, 0.0260598, -0.0359446
22935826, 0.0440735, -0.0587647, 0.00359446, -0.00838706
22935827, 0.0146912, -0.00918198, 0.00808752, -0.0158755
22935828, -0.0128548, 0.00734559, 0.0152764, -0.01947
22935829, -0.0128548, 0.00734559, 0.0173732, -0.020069
22935830, -0.0128548, 0.00734559, 0.01947, -0.0206681
22935831, 0.0440735, -0.0936562, 0.00718891, 0.00449307
22935832, 0.0440735, -0.0587647, 0.00449307, 0.00359446
22935833, 0.0146912, 0.0238732, 0.00928568, -0.0125806
22935834, 0.0146912, -0.0422371, 0.00898614, 0.0023963
22935835, -0.0128548, 0.0752923, 0.016175, -0.023963
22935836, 0.0440735, -0.0257096, 0.00389399, -0.00479261
22935837, -0.0128548, -0.0257096, 0.015576, -0.0023963
22935838, -0.0422371, 0.124875, 0.0254607, -0.0386404
22935839, 0.0146912, 0.0238732, 0.0152764, -0.0236635
22935840, 0.0440735, -0.0587647, 0.00778799, -0.00449307
22935841, -0.0128548, 0.0404007, 0.0197695, -0.0245621
22935842, 0.0146912, -0.00918198, 0.0146774, -0.015576
22935843, 0.0146912, -0.00918198, 0.0146774, -0.0146774
22935844, 0.0440735, -0.0257096, 0.00718891, -0.00988475
22935845, 0.0146912, -0.0422371, 0.011682, -0.00329492
22935846, 0.0146912, 0.0238732, 0.011682, -0.0167741
22935847, 0.0440735, 0.0404007, 0.00419353, -0.0227649
22935848, 0.0146912, -0.0422371, 0.0086866, -0.00509214
22935849, -0.0128548, 0.0752923, 0.0158755, -0.031751
22935850, -0.0128548, 0.0404007, 0.0179723, -0.0290552
22935851, 0.0734559, -0.0422371, -0.00179723, -0.0113824
22935852, 0.0440735, 0.00734559, 0.000599076, -0.0206681
22935853, -0.0128548, 0.00734559, 0.0122811, -0.0212672
22935854, -0.0422371, 0.0238732, 0.0221658, -0.0260598
22935855, 0.0146912, -0.00918198, 0.0137787, -0.01947
22935856, 0.102838, -0.0257096, -0.0086866, -0.0146774
22935857, -0.0422371, -0.00918198, 0.0212672, -0.0167741
22935858, 0.0146912, -0.0422371, 0.0119815, -0.00748845
22935859, 0.0146912, 0.0569283, 0.0122811, -0.0293547
22935860, -0.0128548, 0.00734559, 0.01947, -0.0215667
22935861, 0.0146912, -0.00918198, 0.0152764, -0.0176727
22935862, 0.0734559, -0.0422371, 0.000299538, -0.00838706
22935863, -0.0128548, 0.0404007, 0.0176727, -0.0260598
22935864, 0.0146912, 0.0238732, 0.0134792, -0.0251612
22935865, 0.0440735, -0.0257096, 0.0062903, -0.0146774
22935866, -0.0128548, 0.00734559, 0.0185714, -0.0209677
22935867, 0.0440735, -0.0936562, 0.00688937, 0.00419353
22935868, -0.0128548, 0.0752923, 0.0188709, -0.0308524
22935869, 0.0146912, -0.0422371, 0.0149769, -0.00718891
22935870, 0.0734559, -0.0422371, 0, -0.00359446
22935871, 0.0440735, 0.0752923, 0.00299538, -0.0299538
22935872, 0.0440735, 0.00734559, 0.000599076, -0.0191704
22935873, 0.0146912, -0.00918198, 0.00599076, -0.015576
22935874, 0.0146912, 0.0238732, 0.0062903, -0.023364
22935875, 0.0440735, -0.0936562, -0.000898614, 0.00479261
22935876, 0.0440735, 0.0404007, -0.00299538, -0.0215667
22935877, 0.0146912, -0.00918198, 0.0023963, -0.0122811
22935878, 0.0440735, -0.0257096, -0.00509214, -0.00748845
22935879, -0.0128548, 0.0752923, 0.00718891, -0.0308524
22935880, 0.0734559, -0.0422371, -0.0119815, -0.00718891
22935881, -0.0128548, -0.0257096, 0.00539168, -0.00808752
22935882, -0.0422371, 0.124875, 0.015576, -0.0440321
22935883, 0.0146912, -0.0422371, 0.0062903, -0.0119815
22935884, 0.0146912, -0.00918198, 0.00658983, -0.0170737
22935885, -0.0422371, 0.0569283, 0.0230644, -0.0332487
22935886, 0.0440735, -0.0257096, 0.00688937, -0.0167741
22935887, 0.0146912, 0.0238732, 0.0128801, -0.027258
22935888, -0.0128548, 0.00734559, 0.0206681, -0.0251612
22935889, 0.0146912, -0.0422371, 0.0170737, -0.0128801
22935890, 0.0146912, 0.0569283, 0.0179723, -0.0347464
22935891, 0.0146912, -0.00918198, 0.0188709, -0.0227649
22935892, -0.0128548, 0.00734559, 0.0266589, -0.0263593
22935893, -0.0128548, 0.0752923, 0.0299538, -0.0440321
22935894, 0.0734559, -0.0752923, 0.0113824, -0.0122811
22935895, 0.0146912, -0.00918198, 0.0224653, -0.0224653
22935896, 0.0146912, -0.00918198, 0.023364, -0.0218663
22935897, 0.0440735, -0.0257096, 0.0167741, -0.0167741
22935898, -0.0128548, 0.0404007, 0.0296543, -0.0314515
22935899, 0.0146912, -0.00918198, 0.0260598, -0.0221658
22935900, 0.0440735, -0.0257096, 0.01947, -0.0173732
22935901, 0.0146912, 0.0238732, 0.0254607, -0.027857
22935902, 0.0734559, -0.0752923, 0.0110829, -0.00449307
22935903, 0.0734559, 0.0918199, 0.00718891, -0.0407372
22935904, -0.0128548, 0.00734559, 0.0251612, -0.027258
22935905, 0.0440735, 0.00734559, 0.0137787, -0.027857
22935906, 0.0440735, -0.0257096, 0.0122811, -0.0197695
22935907, -0.0422371, 0.0238732, 0.0329492, -0.0302533
22935908, 0.0146912, -0.00918198, 0.0242626, -0.023963
22935909, 0.0146912, -0.00918198, 0.0251612, -0.0230644
22935910, 0.0146912, 0.0238732, 0.0260598, -0.0308524
