I_Q,I_D,V_Q,V_D,is_startup
2.66645,1.17713,1.76727,-0.767716,0
2.16695,1.27079,1.85534,-0.891724,0
1.4985,0.976963,2.02967,-0.924973,0
1.22855,0.578465,2.15907,-0.906102,0
1.27446,0.255259,2.23066,-0.873153,0
1.21569,-0.0202004,2.32501,-0.824328,0
1.2212,-0.0991654,2.40799,-0.802462,0
1.28181,-0.312187,2.47658,-0.739559,0
1.42137,-0.552755,2.51971,-0.651495,0
1.63623,-0.870452,2.53169,-0.523592,0
1.88047,-1.2763,2.51792,-0.345667,0
2.06227,-1.29833,2.51073,-0.231243,0
2.31753,-0.976963,2.4616,-0.202787,0
2.59299,-0.716195,2.38552,-0.186313,0
2.94191,-0.170785,2.2675,-0.264492,0
3.07229,-0.0110184,2.17524,-0.290851,0
3.19349,0.00367279,2.0746,-0.293847,0
3.22288,0.104675,1.98654,-0.319907,0
3.13106,0.192822,1.92723,-0.351358,0
3.07229,0.471954,1.86762,-0.439123,0
3.12738,0.782305,1.78375,-0.558339,0
2.896,1.07613,1.76817,-0.70002,0
2.16511,1.3369,1.89997,-0.858176,0
1.61236,1.06695,2.04854,-0.903107,0
1.41586,0.550919,2.15308,-0.86237,0
1.32404,0.104675,2.24773,-0.795273,0
1.34792,-0.027546,2.32052,-0.770412,0
1.4379,0.0918199,2.37444,-0.798568,0
1.4783,-0.0789651,2.43345,-0.762923,0
1.63072,0.0606011,2.4601,-0.791679,0
1.80701,-0.194658,2.46819,-0.731472,0
1.91903,-0.828215,2.47718,-0.553247,0
2.16878,-1.22671,2.44183,-0.380713,0
2.3359,-1.21937,2.40619,-0.278271,0
2.66461,-0.852088,2.31513,-0.268386,0
2.98415,-0.528882,2.19831,-0.278271,0
3.14024,-0.0532555,2.09587,-0.354653,0
3.12738,0.0330551,2.02368,-0.372026,0
3.13657,-0.00734559,1.9467,-0.364538,0
3.10718,0.0477463,1.879,-0.378316,0
2.95293,0.286478,1.84545,-0.443017,0
3.00618,0.692322,1.77446,-0.571219,0
2.77847,1.08347,1.76907,-0.729974,0
2.22388,1.29833,1.86642,-0.877347,0
1.77763,1.1,1.98384,-0.937254,0
1.35342,0.679467,2.13331,-0.923475,0
1.21753,0.372789,2.24504,-0.902807,0
1.29282,0.0569283,2.31483,-0.853983,0
1.21937,-0.121202,2.41577,-0.813545,0
2.98598,0.642739,1.8131,-0.500827,0
2.90702,0.987982,1.76727,-0.643707,0
2.45526,1.34792,1.82359,-0.819835,0
1.79049,1.23222,1.97246,-0.905204,0
1.48014,0.754759,2.08748,-0.88813,0
1.26895,0.205676,2.2037,-0.812047,0
1.23773,-0.0587647,2.29176,-0.762025,0
1.41035,0.124875,2.3307,-0.80366,0
1.36444,-0.0514191,2.41068,-0.769513,0
1.48381,-0.0238732,2.45202,-0.772209,0
1.72621,0.00367279,2.45202,-0.777301,0
1.79049,-0.65743,2.47718,-0.608661,0
2.1192,-1.18631,2.42895,-0.417556,0
2.25693,-1.29833,2.4014,-0.287856,0
2.44241,-1.08164,2.35017,-0.233041,0
