I_Q,I_D,V_Q,V_D,is_startup
0.134057,0.0367279,1.94969,-0.357049,0
0.196494,-0.0808015,1.944,-0.33039,0
0.172621,-0.18364,1.95478,-0.297142,0
0.290151,-0.113857,1.93172,-0.299238,0
0.321369,0.185476,1.92064,-0.366035,0
0.290151,0.231386,1.92303,-0.393593,0
0.18364,0.284642,1.9467,-0.426842,0
0.0661103,0.134057,1.98294,-0.412763,0
0.159767,-0.196494,1.97485,-0.339676,0
0.205676,-0.348915,1.97126,-0.283962,0
0.352588,-0.20384,1.93771,-0.29145,0
0.396662,0.0367279,1.91614,-0.335183,0
0.207513,0.0918199,1.95149,-0.352556,0
0.213022,0.148748,1.95329,-0.375021,0
0.150585,0.00367279,1.97216,-0.350759,0
0.134057,-0.242404,1.98444,-0.288155,0
0.233222,-0.200167,1.96886,-0.278271,0
0.198331,-0.192822,1.97875,-0.262994,0
0.273623,-0.0238732,1.96377,-0.289653,0
0.293824,0.227713,1.95598,-0.351957,0
0.22404,0.0954926,1.96976,-0.337579,0
0.222204,0.0991654,1.97216,-0.346565,0
0.189149,-0.135893,1.98264,-0.295045,0
0.247914,-0.308515,1.97246,-0.239331,0
0.282805,-0.0477463,1.96347,-0.279469,0
0.402171,0.0330551,1.92992,-0.296243,0
0.334224,0.236895,1.93382,-0.351058,0
0.119366,0.167112,1.98144,-0.353455,0
0.20384,-0.0257096,1.97066,-0.318409,0
0.242404,-0.286478,1.96437,-0.249815,0
0.240568,-0.290151,1.96527,-0.224354,0
0.345243,-0.190985,1.93861,-0.224953,0
0.363607,-0.00550919,1.92573,-0.256105,0
0.36177,0.20384,1.91614,-0.309123,0
0.339733,0.312187,1.91165,-0.354054,0
0.213022,0.187312,1.93621,-0.348662,0
0.220368,0.0146912,1.93711,-0.320805,0
0.251586,-0.154257,1.93142,-0.27887,0
0.290151,-0.20384,1.92094,-0.25311,0
0.42788,0.113857,1.882,-0.316612,0
0.260768,0.321369,1.90925,-0.379515,0
0.108347,0.200167,1.95179,-0.375621,0
0.104675,0.0954926,1.96587,-0.366335,0
0.179967,-0.117529,1.96048,-0.319907,0
0.209349,-0.146912,1.96018,-0.302234,0
0.260768,-0.101002,1.95179,-0.301635,0
0.297496,0.0918199,1.9425,-0.342372,0
0.284642,0.290151,1.9431,-0.400482,0
0.170785,0.343406,1.97036,-0.439123,0
0.220368,-0.135893,1.96737,-0.273478,0
0.306678,-0.297496,1.9476,-0.22046,0
0.405844,-0.257096,1.91704,-0.205483,0
0.431553,0.0422371,1.89667,-0.260298,0
0.314024,0.20384,1.91075,-0.30493,0
0.146912,0.277296,1.9473,-0.341174,0
0.15793,0.0587647,1.95299,-0.308824,0
0.0826379,-0.130384,1.97935,-0.265391,0
0.323206,-0.303006,1.93172,-0.210276,0
0.314024,-0.179967,1.92753,-0.215967,0
0.304842,-0.0146912,1.92363,-0.242925,0
0.394825,0.214858,1.89578,-0.300437,0
0.359934,0.26995,1.89188,-0.332787,0
0.22404,0.240568,1.91644,-0.348063,0
0.211186,0.126711,1.92154,-0.339676,0
0.181803,-0.176294,1.93202,-0.272879,0
0.299333,-0.110184,1.90716,-0.274976,0
0.400335,0.119366,1.8769,-0.3241,0
0.31586,0.202004,1.89188,-0.355252,0
