I_Q,I_D,V_Q,V_D,is_startup
2.00718,1.22488,1.95478,-0.971102,0
1.61236,0.866779,2.09856,-0.983683,0
1.3369,0.370952,2.24594,-0.930964,0
1.34057,0.185476,2.34568,-0.915388,0
1.49115,-0.0330551,2.40709,-0.87525,0
1.45626,-0.0606011,2.50324,-0.865365,0
1.53523,-0.5197,2.57333,-0.742854,0
1.90067,-0.752923,2.56345,-0.638914,0
1.95576,-1.23406,2.60179,-0.452302,0
2.26979,-1.43974,2.56914,-0.294446,0
2.44975,-1.25426,2.54428,-0.219262,0
2.84091,-0.784142,2.45951,-0.232741,0
3.12738,-0.402171,2.36156,-0.263593,0
3.44692,-0.0514191,2.23096,-0.318708,0
3.56445,0.0110184,2.12462,-0.33039,0
3.65076,-0.0367279,2.01649,-0.319307,0
3.60117,-0.0110184,1.93561,-0.322602,0
3.50568,0.350752,1.87091,-0.413961,0
3.61219,0.727213,1.76248,-0.540067,0
3.40835,1.09817,1.72444,-0.696725,0
2.77296,1.47279,1.8137,-0.886033,0
2.16695,1.31486,1.94999,-0.970802,0
1.74825,0.921871,2.08958,-0.982484,0
1.50585,0.301169,2.22018,-0.902508,0
1.46177,0.0514191,2.32052,-0.864466,0
1.51503,0.242404,2.3996,-0.917485,0
1.72989,0.018364,2.43315,-0.880941,0
1.80701,-0.0459099,2.48347,-0.865964,0
1.82905,-0.0789651,2.54128,-0.853683,0
2.04391,-0.77496,2.54817,-0.669168,0
2.35977,-1.29833,2.51073,-0.469376,0
2.50668,-1.3773,2.48976,-0.339077,0
2.87212,-1.05226,2.4002,-0.304331,0
3.21737,-0.688649,2.28488,-0.307925,0
3.4561,-0.262605,2.16716,-0.357948,0
3.58465,-0.0679467,2.05753,-0.385505,0
3.52588,-0.102838,1.98444,-0.370828,0
3.50752,-0.0532555,1.90656,-0.374422,0
3.45243,0.242404,1.83916,-0.445413,0
3.44141,0.598665,1.76518,-0.557141,0
3.2945,1.10918,1.72744,-0.738661,0
2.83172,1.34608,1.76398,-0.893522,0
2.18348,1.23222,1.89967,-0.97919,0
1.6197,0.881471,2.06891,-0.994466,0
1.37179,0.416862,2.2055,-0.950733,0
1.34057,0.20384,2.30824,-0.931863,0
1.38464,-0.0110184,2.39391,-0.894121,0
1.52237,-0.00550919,2.45202,-0.89472,0
1.42504,-0.411353,2.55865,-0.79078,0
3.48732,0.640903,1.7484,-0.520896,0
3.37346,1.08898,1.69209,-0.689836,0
2.6591,1.3975,1.79902,-0.861471,0
2.05493,1.38464,1.93921,-0.977093,0
1.68398,0.806178,2.07071,-0.947139,0
1.36628,0.330551,2.22018,-0.894121,0
1.35893,0.0587647,2.31782,-0.853084,0
1.55176,0.179967,2.36455,-0.889029,0
1.55359,0.0587647,2.44393,-0.873453,0
1.71519,0.0532555,2.48227,-0.877047,0
1.86394,-0.0661103,2.50983,-0.850987,0
2.0384,-0.86127,2.51851,-0.642209,0
2.2955,-1.35159,2.49126,-0.443616,0
2.44608,-1.29833,2.46939,-0.342072,0
2.82438,-1.13122,2.37623,-0.274377,0
3.23022,-0.613357,2.24414,-0.310321,0
3.42855,-0.244241,2.13001,-0.352556,0
3.54792,0.0257096,2.01948,-0.400482,0
3.45794,-0.130384,1.95658,-0.36274,0
3.3955,-0.108347,1.89128,-0.357349,0
3.38448,0.22955,1.8182,-0.43463,0
3.36795,0.718031,1.7478,-0.579007,0
3.2394,1.10735,1.70707,-0.73926,0
2.69216,1.3975,1.78435,-0.907899,0
2.10451,1.2616,1.91854,-0.99207,0
1.56645,0.828215,2.08988,-0.988775,0
1.31486,0.47379,2.23425,-0.968706,0
1.4985,0.15793,2.28877,-0.928268,0
1.49115,-0.0459099,2.37623,-0.889628,0
1.42688,-0.0532555,2.47868,-0.883936,0
1.44341,-0.554592,2.56644,-0.751241,0
1.70601,-0.741904,2.5898,-0.656288,0
1.93556,-1.21569,2.59909,-0.472072,0
2.27897,-1.42137,2.55985,-0.316013,0
2.43874,-1.20468,2.53828,-0.250414,0
2.71419,-0.914526,2.47328,-0.222257,0
3.13106,-0.370952,2.34928,-0.283063,0
3.44692,-0.101002,2.21508,-0.320206,0
3.56445,0.00550919,2.10485,-0.339077,0
3.62137,-0.159767,2.00031,-0.297441,0
3.51486,-0.0348915,1.93232,-0.315713,0
3.50752,0.279132,1.84845,-0.392694,0
3.61219,0.624375,1.73612,-0.504422,0
3.36244,1.12755,1.70557,-0.686241,0
2.73072,1.52605,1.79393,-0.884236,0
2.11369,1.32955,1.93232,-0.963913,0
1.64541,0.971454,2.08538,-0.985779,0
1.44524,0.358097,2.20969,-0.911793,0
1.50034,-0.00918198,2.28158,-0.848291,0
1.59583,0.198331,2.34119,-0.900411,0
1.58481,0.0477463,2.41997,-0.879144,0
1.65643,0.0257096,2.47838,-0.877347,0
1.79049,-0.0404007,2.51522,-0.862969,0
2.04207,-0.776796,2.51043,-0.671265,0
2.29366,-1.35526,2.48407,-0.457394,0
2.51219,-1.28364,2.44483,-0.360344,0
2.76378,-1.11286,2.37863,-0.294446,0
3.12004,-0.751086,2.26391,-0.292349,0
3.33857,-0.291987,2.15458,-0.345667,0
3.46344,-0.0477463,2.05034,-0.382809,0
3.49283,-0.0936562,1.95958,-0.367234,0
3.49283,-0.018364,1.87391,-0.378616,0
3.36795,0.218531,1.82029,-0.437625,0
3.40468,0.604175,1.73642,-0.554445,0
3.2339,1.13122,1.70197,-0.740757,0
2.7399,1.3773,1.76458,-0.899512,0
2.08431,1.28181,1.91045,-0.992669,0
1.5995,0.835561,2.06891,-0.987577,0
1.40301,0.424208,2.19471,-0.954028,0
1.2763,0.148748,2.31962,-0.919581,0
1.36077,0.0238732,2.4008,-0.900411,0
1.43423,-0.00367279,2.47838,-0.895319,0
1.52054,-0.4793,2.54607,-0.773706,0
1.70969,-0.666612,2.58022,-0.685043,0
1.99249,-1.2359,2.57393,-0.482855,0
2.18715,-1.52054,2.56674,-0.30493,0
2.45159,-1.24324,2.52451,-0.24622,0
2.60768,-0.960436,2.48826,-0.212672,0
