I_Q,I_D,V_Q,V_D,is_startup
0.258932,-0.139566,1.92213,-0.275874,0
0.310351,-0.0881471,1.90776,-0.277073,0
0.378298,-0.00918198,1.88439,-0.289653,0
0.321369,0.227713,1.88769,-0.349561,0
0.152421,0.304842,1.92393,-0.388501,0
0.097329,0.0606011,1.9458,-0.351957,0
0.124875,0.018364,1.95089,-0.346565,0
0.181803,-0.159767,1.9464,-0.302533,0
0.271787,-0.0734559,1.92872,-0.31092,0
0.280969,0.0679467,1.92393,-0.340874,0
0.284642,0.200167,1.91944,-0.380413,0
0.227713,0.214858,1.93232,-0.401381,0
0.104675,0.225877,1.96557,-0.422348,0
0.165276,-0.108347,1.96257,-0.356151,0
0.235059,-0.310351,1.95179,-0.295344,0
0.277296,-0.271787,1.9425,-0.27887,0
0.400335,-0.0752923,1.90866,-0.305828,0
0.301169,0.0881471,1.92094,-0.341174,0
0.187312,0.154257,1.9458,-0.365436,0
0.167112,0.0330551,1.95598,-0.347764,0
0.174458,-0.117529,1.96137,-0.312119,0
0.159767,-0.187312,1.97156,-0.284261,0
0.222204,-0.113857,1.96317,-0.287257,0
0.238732,-0.148748,1.96137,-0.268386,0
0.299333,0.187312,1.9467,-0.341473,0
0.246077,0.20384,1.95628,-0.361542,0
0.194658,0.00550919,1.96976,-0.328593,0
0.172621,0.0642739,1.97995,-0.34387,0
0.220368,-0.231386,1.97425,-0.273778,0
0.359934,-0.277296,1.94131,-0.242626,0
0.363607,0.0312187,1.93112,-0.297741,0
0.350752,0.117529,1.92453,-0.322303,0
0.174458,0.172621,1.96078,-0.346565,0
0.0808015,-0.00367279,1.99133,-0.316013,0
0.161603,-0.161603,1.98504,-0.275575,0
0.202004,-0.282805,1.98234,-0.230944,0
0.218531,-0.194658,1.98204,-0.229147,0
0.303006,-0.0606011,1.96317,-0.246819,0
0.350752,0.0936562,1.9464,-0.281266,0
0.385643,0.282805,1.92872,-0.33728,0
0.347079,0.247914,1.92723,-0.352556,0
0.0936562,-0.0697831,1.98354,-0.292649,0
0.227713,-0.146912,1.96257,-0.266888,0
0.330551,-0.143239,1.93831,-0.255206,0
0.380134,0.0936562,1.91854,-0.303731,0
0.347079,0.247914,1.91614,-0.350759,0
0.194658,0.264441,1.9467,-0.376519,0
0.135893,0.115693,1.96647,-0.360644,0
0.143239,-0.0110184,1.97425,-0.338178,0
0.141403,0.156094,1.96766,-0.35645,0
0.0624375,-0.027546,1.99642,-0.322902,0
0.202004,-0.236895,1.97575,-0.267188,0
0.24975,-0.260768,1.96707,-0.240828,0
0.376461,-0.178131,1.93412,-0.23963,0
0.332388,0.00918198,1.93382,-0.27258,0
0.391153,0.190985,1.91135,-0.319607,0
0.213022,0.213022,1.9443,-0.341473,0
0.293824,0.152421,1.92603,-0.344169,0
0.165276,-0.0550919,1.95449,-0.304031,0
0.260768,-0.156094,1.93681,-0.273778,0
0.339733,-0.123039,1.91495,-0.268985,0
0.402171,0.134057,1.89098,-0.3241,0
0.22955,0.178131,1.92124,-0.346565,0
