I_Q,I_D,V_Q,V_D,is_startup
0.154257,-0.167112,1.98923,-0.297741,0
0.279132,-0.301169,1.96497,-0.248916,0
0.231386,-0.258932,1.97396,-0.234239,0
0.268114,-0.121202,1.96527,-0.247418,0
0.446244,0.0716195,1.91764,-0.286059,0
0.299333,0.172621,1.93771,-0.318409,0
0.247914,0.189149,1.9461,-0.33698,0
0.255259,0.108347,1.9437,-0.332487,0
0.222204,-0.156094,1.95119,-0.274377,0
0.301169,-0.132221,1.93262,-0.266888,0
0.378298,-0.0220368,1.90776,-0.283962,0
0.257096,0.0550919,1.93202,-0.301934,0
0.20384,0.257096,1.9461,-0.358247,0
0.146912,0.167112,1.96527,-0.35675,0
0.165276,-0.163439,1.97036,-0.286957,0
0.242404,-0.156094,1.95868,-0.274676,0
0.211186,-0.0734559,1.96826,-0.282464,0
0.282805,0.0569283,1.95419,-0.309722,0
0.286478,0.251586,1.95149,-0.364238,0
0.310351,0.27546,1.9431,-0.391496,0
0.168949,0.242404,1.97515,-0.406473,0
0.172621,-0.0257096,1.98204,-0.358846,0
0.198331,-0.205676,1.98294,-0.31092,0
0.277296,-0.218531,1.96796,-0.289653,0
0.306678,-0.141403,1.95898,-0.290851,0
0.391153,0.0991654,1.93352,-0.340275,0
0.218531,0.168949,1.96677,-0.366634,0
0.22955,0.106511,1.96737,-0.365137,0
0.181803,-0.0367279,1.98204,-0.337579,0
0.152421,-0.194658,1.99642,-0.294146,0
0.257096,-0.0808015,1.97905,-0.306727,0
0.264441,-0.0422371,1.97725,-0.309423,0
0.308515,0.174458,1.96557,-0.361542,0
0.279132,0.218531,1.96916,-0.387602,0
0.194658,0.145075,1.98923,-0.387303,0
0.264441,-0.0293824,1.97695,-0.355252,0
0.200167,-0.181803,1.99313,-0.313616,0
0.297496,-0.247914,1.97366,-0.281266,0
0.422371,-0.0514191,1.93861,-0.310321,0
0.330551,0.0514191,1.94819,-0.332188,0
0.227713,0.216695,1.96826,-0.378915,0
0.00550919,0.0899835,2.02098,-0.365137,0
0.156094,-0.165276,2.00181,-0.307625,0
0.236895,-0.339733,1.98773,-0.248616,0
0.290151,-0.268114,1.97396,-0.238133,0
0.358097,-0.104675,1.95179,-0.257004,0
0.385643,0.0697831,1.93412,-0.292649,0
0.328715,0.167112,1.93561,-0.323201,0
0.246077,0.190985,1.94849,-0.34387,0
0.244241,-0.139566,1.96407,-0.296543,0
0.34157,-0.167112,1.93981,-0.277672,0
0.336061,0.0367279,1.93412,-0.315413,0
0.345243,0.174458,1.92453,-0.354054,0
0.135893,0.209349,1.97006,-0.377717,0
0.167112,0.0146912,1.97246,-0.345667,0
0.192822,-0.163439,1.97306,-0.301635,0
0.181803,-0.22955,1.98084,-0.270483,0
0.202004,-0.268114,1.98204,-0.241128,0
0.330551,-0.0863107,1.95359,-0.264792,0
0.326879,0.0642739,1.9479,-0.295943,0
0.367279,0.24975,1.93142,-0.348662,0
0.312187,0.185476,1.93561,-0.353754,0
0.220368,0.0514191,1.95389,-0.335183,0
0.244241,-0.0881471,1.95089,-0.303731,0
0.323206,-0.18364,1.93142,-0.27198,0
