TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
5167072, 0.0642739, 0.0495827, -0.0167741, -0.0131797
5167073, 0.00550919, 0.0844743, -0.00718891, -0.0263593
5167074, -0.0220368, 0.101002, -0.000599076, -0.0374422
5167075, -0.0808015, 0.0679467, 0.016175, -0.0377418
5167076, 0.0642739, 0.0495827, -0.0137787, -0.0389399
5167077, -0.0514191, 0.0165276, 0.0101843, -0.0344469
5167078, 0.0642739, -0.0165276, -0.0149769, -0.0275575
5167079, 0.0642739, -0.0844743, -0.0203686, -0.0086866
5167080, -0.0220368, 0.0330551, -0.00389399, -0.0314515
5167081, 0.00550919, -0.0495827, -0.00928568, -0.0131797
5167082, -0.0220368, 0.0330551, -0.0023963, -0.0299538
5167083, -0.0220368, 0.0679467, -0.000599076, -0.0419353
5167084, 0.0348915, -0.0661103, -0.0131797, -0.0134792
5167085, 0.0348915, -0.0330551, -0.016175, -0.0164746
5167086, -0.0220368, 0.0330551, -0.00479261, -0.0302533
5167087, 0.0348915, 0.0330551, -0.0173732, -0.0329492
5167088, -0.0220368, 0.0330551, -0.00569122, -0.0359446
5167089, 0.0348915, -0.0330551, -0.0182718, -0.0218663
5167090, -0.0514191, -0.0165276, 0.000599076, -0.023364
5167091, 0.0348915, 0.0330551, -0.0170737, -0.0344469
5167092, -0.0220368, 0, -0.00539168, -0.0287556
5167093, -0.0220368, 0.0679467, -0.00359446, -0.0461288
5167094, -0.0220368, 0.0330551, -0.00179723, -0.0431335
5167095, 0.0348915, -0.0330551, -0.0143778, -0.0290552
5167096, -0.0514191, 0.0495827, 0.00479261, -0.047327
5167097, 0.00550919, 0.0165276, -0.00569122, -0.0431335
5167098, 0.0642739, -0.0844743, -0.01947, -0.0185714
5167099, -0.0220368, 0.0330551, -0.0023963, -0.0416358
5167100, -0.0220368, -0.0330551, -0.000299538, -0.0275575
5167101, 0.0642739, -0.0165276, -0.0197695, -0.0287556
5167102, -0.0220368, 0, -0.00299538, -0.0314515
5167103, 0.00550919, 0.0165276, -0.00748845, -0.0359446
5167104, 0.00550919, -0.0165276, -0.00748845, -0.0287556
5167105, 0.0348915, -0.0330551, -0.0149769, -0.023364
5167106, -0.0220368, 0.0330551, -0.00299538, -0.0371427
5167107, -0.0220368, 0.0330551, -0.000599076, -0.0401381
5167108, 0.0642739, -0.0844743, -0.0203686, -0.0128801
5167109, -0.0220368, 0, -0.00329492, -0.027258
5167110, -0.0220368, 0.0679467, -0.000898614, -0.0446312
5167111, 0.0348915, 0, -0.0131797, -0.0329492
5167112, -0.0220368, 0.0330551, -0.00119815, -0.0416358
5167113, -0.0514191, 0.0495827, 0.0086866, -0.0488247
5167114, 0.0348915, -0.0661103, -0.00838706, -0.023364
5167115, 0.00550919, -0.0165276, -0.00329492, -0.0302533
5167116, -0.0514191, 0.0165276, 0.0110829, -0.0374422
5167117, 0.0642739, -0.0495827, -0.0134792, -0.0218663
5167118, 0.00550919, -0.0165276, -0.00329492, -0.0260598
5167119, 0.00550919, 0.0165276, -0.00329492, -0.0332487
5167120, 0.0348915, 0, -0.0110829, -0.0302533
5167121, -0.0514191, 0.0495827, 0.00838706, -0.0431335
5167122, 0.0642739, -0.0844743, -0.016175, -0.0128801
5167123, 0.0348915, -0.0661103, -0.0137787, -0.0104838
5167124, -0.0514191, 0.0495827, 0.00569122, -0.0344469
5167125, -0.0220368, 0, 0.00299538, -0.0257603
5167126, 0.0348915, -0.0661103, -0.00898614, -0.00898614
5167127, -0.0220368, 0.0330551, 0.00299538, -0.0287556
5167128, 0.0348915, -0.0661103, -0.00718891, -0.0062903
5167129, 0.0642739, 0.0165276, -0.0167741, -0.0218663
5167130, -0.0514191, 0.0165276, 0.00838706, -0.0230644
5167131, 0.00550919, 0.0495827, -0.000599076, -0.0329492
5167132, 0.00550919, 0.0165276, 0, -0.0287556
5167133, 0.0642739, -0.0165276, -0.0143778, -0.0215667
5167134, 0.0348915, 0, -0.0113824, -0.0242626
5167135, 0.00550919, -0.0165276, -0.00539168, -0.0203686
5167136, 0.00550919, 0.0165276, -0.00479261, -0.027258
5167137, 0.00550919, 0.0495827, -0.00419353, -0.0371427
5167138, -0.0220368, 0, 0.00329492, -0.0284561
5167139, 0.0348915, -0.101002, -0.00838706, -0.00299538
5167140, 0.00550919, 0.0495827, -0.00269584, -0.0329492
5167141, 0.0348915, -0.0330551, -0.00958521, -0.0158755
5167142, 0.0348915, -0.0661103, -0.0113824, -0.00479261
5167143, 0.00550919, 0.0495827, -0.00569122, -0.0287556
5167144, 0.0642739, -0.0495827, -0.0203686, -0.00748845
5167145, -0.0220368, 0, -0.00269584, -0.0158755
5167146, -0.0220368, 0.101002, 0.000299538, -0.0416358
5167147, 0.0348915, -0.0661103, -0.0110829, -0.00778799
5167148, 0.00550919, -0.0165276, -0.00539168, -0.0146774
5167149, 0.0348915, 0, -0.0122811, -0.0173732
5167150, 0.0348915, -0.0661103, -0.0140783, -0.000599076
5167151, -0.0220368, 0.0330551, -0.00179723, -0.0203686
5167152, 0.00550919, 0.0165276, -0.00539168, -0.0188709
5167153, 0.0348915, -0.0330551, -0.0125806, -0.00778799
5167154, 0.0348915, 0.0330551, -0.0143778, -0.0215667
5167155, 0.0348915, 0, -0.016175, -0.0158755
5167156, -0.0220368, 0.0679467, -0.00359446, -0.0335482
5167157, -0.0220368, 0.0679467, -0.000599076, -0.0392395
5167158, 0.0642739, -0.0844743, -0.0182718, -0.00599076
5167159, 0.00550919, -0.0165276, -0.00718891, -0.016175
5167160, 0.0348915, 0, -0.0134792, -0.0188709
5167161, 0.00550919, -0.0165276, -0.00748845, -0.0146774
5167162, 0.00550919, 0.0165276, -0.0062903, -0.0218663
5167163, 0.0348915, 0, -0.0128801, -0.0188709
5167164, -0.0220368, 0.0679467, 0.000299538, -0.0362441
5167165, 0.00550919, -0.0165276, -0.00329492, -0.0206681
5167166, 0.0642739, -0.0844743, -0.0173732, -0.00179723
5167167, 0.00550919, 0.0495827, -0.00599076, -0.0290552
5167168, -0.0220368, 0.0330551, 0.00179723, -0.0287556
5167169, 0.00550919, -0.0165276, -0.00149769, -0.0191704
5167170, -0.0514191, 0.0495827, 0.0140783, -0.0347464
5167171, 0.0348915, 0, -0.00209677, -0.0260598
5167172, 0.0348915, -0.0661103, -0.00359446, -0.00928568
