TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
4413776, 0.0348915, 0.168949, -0.00898614, -0.0437325
4413777, -0.0808015, 0.0330551, 0.0173732, -0.0230644
4413778, 0.0642739, 0.0165276, -0.0128801, -0.0218663
4413779, 0.00550919, -0.0495827, -0.00329492, -0.0062903
4413780, 0.00550919, 0.0165276, -0.00389399, -0.0188709
4413781, 0.00550919, -0.0165276, -0.00419353, -0.0119815
4413782, 0.0348915, 0, -0.0119815, -0.0146774
4413783, 0.00550919, 0.0165276, -0.00778799, -0.0188709
4413784, 0.0348915, -0.0330551, -0.015576, -0.00778799
4413785, -0.0220368, -0.0330551, -0.00419353, -0.00479261
4413786, 0.00550919, 0.0495827, -0.00928568, -0.023364
4413787, 0.0348915, -0.0661103, -0.0170737, 0.00209677
4413788, -0.0220368, 0, -0.00569122, -0.00898614
4413789, -0.0514191, 0.0165276, 0.00389399, -0.0131797
4413790, 0.0348915, -0.0330551, -0.0137787, -0.00209677
4413791, 0.00550919, 0.0165276, -0.00958521, -0.0119815
4413792, -0.0220368, 0.0679467, -0.00269584, -0.0263593
4413793, 0.00550919, -0.0495827, -0.00808752, -0.00209677
4413794, 0.0348915, 0, -0.0158755, -0.0104838
4413795, -0.0514191, 0.0165276, 0.00329492, -0.0149769
4413796, 0.00550919, 0.0495827, -0.00718891, -0.0248616
4413797, 0.00550919, -0.0165276, -0.00748845, -0.0119815
4413798, 0.00550919, 0.0165276, -0.00808752, -0.0191704
4413799, -0.0220368, 0.101002, -0.00149769, -0.0419353
4413800, 0.0348915, 0, -0.0140783, -0.0245621
4413801, 0.0936562, -0.0661103, -0.0320506, -0.00808752
4413802, -0.0220368, -0.0330551, -0.00898614, -0.0107834
4413803, 0.0348915, 0, -0.0212672, -0.016175
4413804, -0.0808015, 0, 0.00599076, -0.016175
4413805, 0.0348915, 0.0679467, -0.0164746, -0.0338478
4413806, 0.00550919, -0.0844743, -0.0113824, -0.000599076
4413807, 0.0348915, 0.0330551, -0.0188709, -0.023364
4413808, 0.00550919, 0.0165276, -0.0137787, -0.0221658
4413809, 0.00550919, -0.0165276, -0.0137787, -0.0149769
4413810, 0.00550919, -0.0165276, -0.0137787, -0.0134792
4413811, 0.00550919, -0.0165276, -0.0137787, -0.0122811
4413812, 0.0348915, -0.0330551, -0.0212672, -0.00658983
4413813, -0.0220368, 0.0330551, -0.00928568, -0.0206681
4413814, 0.00550919, -0.0165276, -0.0137787, -0.0107834
4413815, 0.00550919, 0.0495827, -0.0137787, -0.0263593
4413816, -0.0514191, 0.0495827, 0.000599076, -0.0305529
4413817, 0.0348915, -0.0661103, -0.0167741, -0.00509214
4413818, -0.0220368, 0.0679467, -0.00479261, -0.0338478
4413819, -0.0220368, 0.0330551, -0.0023963, -0.0305529
4413820, 0.00550919, -0.0165276, -0.00688937, -0.0206681
4413821, 0.00550919, -0.0165276, -0.00688937, -0.01947
4413822, 0.0642739, -0.0495827, -0.0221658, -0.00928568
4413823, -0.0220368, 0, -0.00509214, -0.0176727
4413824, -0.0220368, 0.0330551, -0.00269584, -0.0263593
4413825, -0.0220368, 0, -0.000299538, -0.0206681
4413826, 0.0642739, -0.0495827, -0.020069, -0.00808752
4413827, -0.0220368, 0.0679467, -0.00299538, -0.0338478
4413828, 0.00550919, -0.0165276, -0.00748845, -0.0179723
4413829, 0.00550919, 0.0495827, -0.00748845, -0.0335482
4413830, 0.0348915, 0, -0.0149769, -0.0248616
4413831, 0.0348915, -0.0330551, -0.0176727, -0.0167741
4413832, 0.0348915, -0.101002, -0.0182718, 0.00359446
4413833, -0.0220368, 0.0679467, -0.00569122, -0.0311519
4413834, -0.0220368, 0.0330551, -0.00269584, -0.027857
4413835, -0.0220368, 0.0679467, 0.000299538, -0.039539
4413836, 0.0642739, -0.0165276, -0.0188709, -0.023963
4413837, -0.0220368, 0.0679467, -0.00119815, -0.0440321
4413838, 0.00550919, 0.0165276, -0.00509214, -0.0368432
4413839, 0.00550919, -0.0165276, -0.00449307, -0.0296543
4413840, 0.0348915, -0.0330551, -0.0113824, -0.0242626
4413841, 0.00550919, 0.0495827, -0.00569122, -0.0425344
4413842, -0.0220368, -0.0330551, 0.00179723, -0.0254607
4413843, 0.00550919, 0.0495827, -0.00209677, -0.0437325
4413844, 0.00550919, 0.0495827, -0.00149769, -0.0482256
4413845, 0.0936562, -0.0661103, -0.023364, -0.0227649
4413846, 0.00550919, -0.0165276, -0.00778799, -0.0296543
4413847, 0.00550919, 0.0165276, -0.00718891, -0.0368432
4413848, 0.0348915, 0, -0.0140783, -0.0338478
4413849, -0.0220368, 0, -0.00149769, -0.0338478
4413850, 0.00550919, -0.0495827, -0.00539168, -0.0212672
4413851, 0.0348915, -0.0330551, -0.0122811, -0.0212672
4413852, -0.0514191, -0.0495827, 0.00778799, -0.0140783
4413853, 0.0936562, -0.0661103, -0.0236635, -0.00569122
4413854, -0.0808015, 0.0679467, 0.0140783, -0.0344469
4413855, 0.00550919, 0.0495827, 0, -0.035645
