TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
1506144, 0.0642739, 0.152421, -0.0167741, -0.0392395
1506145, -0.0220368, 0, -0.000299538, -0.0131797
1506146, 0.0348915, 0, -0.0125806, -0.0131797
1506147, -0.0220368, 0, -0.00119815, -0.0131797
1506148, 0.00550919, 0.0495827, -0.00658983, -0.0260598
1506149, 0.00550919, -0.0165276, -0.00688937, -0.0131797
1506150, 0.0348915, 0, -0.0146774, -0.0158755
1506151, 0.00550919, 0.0165276, -0.0104838, -0.0203686
1506152, 0.00550919, -0.0495827, -0.0107834, -0.00479261
1506153, 0.00550919, 0.0495827, -0.0113824, -0.0260598
1506154, -0.0220368, 0.0330551, -0.00479261, -0.0257603
1506155, 0.0642739, -0.0844743, -0.0248616, 0.00149769
1506156, -0.0220368, -0.0661103, -0.00838706, 0.00359446
1506157, -0.0514191, 0.0844743, 0.00119815, -0.0293547
1506158, -0.0220368, -0.0330551, -0.00209677, -0.0062903
1506159, 0.0348915, 0.0330551, -0.0146774, -0.0203686
1506160, 0.00550919, -0.0165276, -0.0101843, -0.0104838
1506161, 0.0348915, -0.0661103, -0.0179723, 0.00359446
1506162, 0.00550919, 0.0844743, -0.0137787, -0.0293547
1506163, -0.0220368, 0, -0.00688937, -0.0146774
1506164, 0.00550919, -0.0495827, -0.0122811, -0.00209677
1506165, 0.00550919, -0.0495827, -0.0128801, 0.00209677
1506166, 0.0348915, 0, -0.0206681, -0.0062903
1506167, 0.00550919, 0.0495827, -0.016175, -0.0191704
1506168, -0.0514191, 0.0495827, -0.00179723, -0.023364
1506169, 0.0642739, -0.0165276, -0.027258, -0.0104838
1506170, 0.0348915, -0.0661103, -0.0251612, 0.00329492
1506171, -0.0514191, 0.0495827, -0.00449307, -0.0206681
1506172, -0.0220368, 0, -0.00748845, -0.0119815
1506173, -0.0220368, 0.0330551, -0.00509214, -0.0203686
1506174, 0.0348915, -0.0330551, -0.0170737, -0.00658983
1506175, -0.0220368, 0.0679467, -0.00509214, -0.0293547
1506176, -0.0514191, 0.0495827, 0.00479261, -0.0305529
1506177, 0.00550919, 0.0495827, -0.00479261, -0.0347464
1506178, 0.00550919, -0.0165276, -0.00479261, -0.0218663
1506179, 0.00550919, 0.0165276, -0.00479261, -0.0290552
1506180, -0.0220368, 0, 0.00209677, -0.0260598
1506181, -0.0220368, 0, 0.00449307, -0.0260598
1506182, 0.0348915, -0.0661103, -0.00778799, -0.00928568
1506183, 0.00550919, 0.0165276, -0.00269584, -0.0248616
1506184, -0.0220368, 0.0330551, 0.00419353, -0.0302533
1506185, 0.0936562, -0.101002, -0.0230644, 0.000898614
1506186, -0.0808015, 0, 0.0140783, -0.016175
1506187, 0.0348915, 0.0330551, -0.00808752, -0.0245621
1506188, 0.0348915, -0.0661103, -0.0104838, -0.00209677
1506189, 0.00550919, -0.0495827, -0.00539168, -0.000599076
1506190, -0.0220368, 0, 0.00149769, -0.00898614
1506191, 0.00550919, -0.0495827, -0.00299538, 0.00359446
1506192, -0.0220368, 0.0679467, 0.00359446, -0.0221658
1506193, 0.0348915, -0.0330551, -0.00838706, -0.0023963
1506194, 0.0642739, -0.0165276, -0.0185714, -0.00359446
