TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
775201, 0.0348915, 0.101002, -0.00898614, -0.0260598
775202, -0.0220368, 0.0679467, 0.0023963, -0.0263593
775203, 0.00550919, -0.0165276, -0.00299538, -0.0104838
775204, 0.00550919, -0.0165276, -0.00329492, -0.00898614
775205, 0.0348915, -0.0661103, -0.0110829, 0.00509214
775206, -0.0220368, 0.0330551, 0.000299538, -0.0146774
775207, 0.00550919, -0.0495827, -0.00509214, 0.00359446
775208, 0.0642739, -0.0165276, -0.0203686, -0.000599076
775209, -0.0514191, 0.0165276, 0.00389399, -0.00778799
775210, 0.00550919, -0.0495827, -0.00658983, 0.00778799
775211, 0.00550919, 0.0495827, -0.00688937, -0.0134792
775212, -0.0220368, 0.0679467, -0.000299538, -0.0221658
775213, 0.0348915, -0.0661103, -0.0128801, 0.0062903
775214, 0.00550919, 0.0165276, -0.0086866, -0.00928568
775215, 0.00550919, -0.0165276, -0.00898614, -0.00209677
775216, 0.00550919, -0.0165276, -0.00958521, -0.000599076
775217, -0.0514191, 0.0495827, 0.00479261, -0.0164746
775218, 0.00550919, -0.0165276, -0.00569122, -0.00359446
775219, 0.0936562, -0.0330551, -0.0284561, 0.00209677
775220, 0.00550919, -0.0165276, -0.0140783, 0.000599076
775221, -0.0220368, 0, -0.00748845, -0.00209677
775222, 0.00550919, -0.0165276, -0.0125806, 0.00209677
775223, -0.0220368, 0.0330551, -0.00599076, -0.00898614
775224, 0.00550919, 0.0165276, -0.0110829, -0.00778799
775225, -0.0220368, 0, -0.00449307, -0.00479261
775226, 0.0642739, -0.0165276, -0.0245621, -0.000599076
775227, 0.00550919, -0.0495827, -0.0134792, 0.00928568
775228, -0.0220368, 0.0679467, -0.00688937, -0.0167741
775229, -0.0220368, 0, -0.00449307, -0.00509214
775230, -0.0220368, -0.0330551, -0.00209677, 0.00329492
775231, -0.0808015, 0.0679467, 0.015576, -0.0197695
775232, 0.0348915, -0.0661103, -0.00688937, 0.0086866
775233, 0.00550919, 0.0165276, -0.00179723, -0.00688937
775234, -0.0220368, 0, 0.00509214, -0.00389399
775235, 0.0642739, -0.0165276, -0.0146774, 0.000299538
775236, 0.00550919, 0.0165276, -0.00449307, -0.00688937
775237, 0.0642739, 0.0165276, -0.01947, -0.00808752
775238, 0.00550919, -0.0844743, -0.00928568, 0.0164746
775239, -0.0514191, 0.0165276, 0.00509214, -0.0023963
775240, 0.0348915, 0, -0.0119815, 0.000599076
775241, -0.0220368, 0.101002, -0.000299538, -0.0254607
775242, -0.0220368, 0.0330551, 0.00209677, -0.0164746
775243, 0.00550919, 0.0165276, -0.0023963, -0.0152764
775244, -0.0220368, 0, 0.00449307, -0.0122811
775245, 0.0348915, 0, -0.00748845, -0.0122811
775246, 0.0348915, -0.0661103, -0.0101843, 0.00449307
775247, -0.0220368, -0.0330551, 0.00179723, 0.00149769
775248, 0.0348915, 0, -0.0101843, -0.00389399
775249, 0.00550919, 0.0165276, -0.00509214, -0.00808752
775250, 0.00550919, -0.0165276, -0.00509214, -0.00119815
775251, 0.0348915, -0.0330551, -0.0128801, 0.00449307
775252, 0.00550919, 0.0165276, -0.00778799, -0.00539168
775253, -0.0220368, 0.0330551, -0.000898614, -0.0107834
775254, 0.0348915, 0, -0.0128801, -0.00509214
775255, -0.0220368, 0.0330551, -0.000898614, -0.0137787
775256, 0.00550919, 0.0165276, -0.00539168, -0.0122811
775257, 0.00550919, 0.0165276, -0.00359446, -0.0137787
775258, 0.0642739, -0.0165276, -0.0182718, -0.00658983
775259, 0.00550919, 0.0165276, -0.00748845, -0.0137787
775260, 0.0348915, 0, -0.0143778, -0.0107834
775261, 0.00550919, 0.0495827, -0.0086866, -0.0236635
775262, 0.00550919, -0.0165276, -0.00808752, -0.0107834
775263, 0.00550919, -0.0165276, -0.00748845, -0.00958521
775264, -0.0220368, 0.0330551, 0, -0.0206681
775265, 0.00550919, 0.0165276, -0.00389399, -0.01947
775266, 0.00550919, -0.0165276, -0.00329492, -0.0122811
775267, -0.0220368, 0, 0.00419353, -0.0149769
775268, 0.0348915, -0.0330551, -0.00718891, -0.00688937
775269, -0.0220368, -0.0330551, 0.00539168, -0.00389399
775270, 0.00550919, -0.0495827, 0.00149769, 0.00329492
775271, 0.00550919, 0.0165276, 0.00209677, -0.00958521
775272, 0.0348915, 0, -0.00479261, -0.00658983
775273, 0.0348915, 0, -0.00658983, -0.00658983
775274, 0.0348915, -0.101002, -0.0086866, 0.0191704
775275, -0.0220368, 0, 0.00389399, 0.00209677
775276, 0.00550919, 0.0165276, 0, -0.0023963
775277, 0.0348915, 0.0330551, -0.00688937, -0.00778799
775278, 0.0348915, 0, -0.0086866, -0.00209677
775279, 0.0936562, -0.0661103, -0.0254607, 0.0146774
775280, -0.0220368, 0, -0.00299538, 0.00359446
775281, 0.0348915, 0, -0.0143778, 0.00359446
775282, 0.00550919, -0.0495827, -0.0086866, 0.016175
775283, 0.00550919, -0.0165276, -0.00808752, 0.011682
775284, -0.0220368, 0, -0.000599076, 0.00898614
775285, 0.0348915, -0.0330551, -0.0122811, 0.0173732
775286, 0.00550919, 0.117529, -0.00658983, -0.0182718
775287, 0.0348915, -0.0330551, -0.0119815, 0.0101843
775288, 0.0348915, 0.0330551, -0.0134792, -0.00389399
775289, 0.00550919, 0.0165276, -0.00718891, -0.0023963
775290, 0.0642739, -0.117529, -0.0212672, 0.0302533
775291, -0.0514191, 0.0495827, 0.00419353, -0.0023963
775292, 0.00550919, 0.0165276, -0.00419353, 0.00179723
775293, 0.00550919, 0.0165276, -0.00299538, 0.000599076
775294, 0.00550919, 0.0495827, -0.00209677, -0.00958521
775295, 0.00550919, -0.0165276, -0.000898614, 0.00329492
775296, 0.0348915, -0.0661103, -0.00748845, 0.0173732
775297, 0.00550919, 0.0844743, -0.00119815, -0.015576
775298, 0.0642739, -0.0844743, -0.0152764, 0.0206681
775299, -0.0808015, 0.101002, 0.0179723, -0.0197695
775300, 0.0348915, 0, -0.00299538, -0.0023963
775301, -0.0220368, -0.0330551, 0.00988475, 0.00599076
775302, -0.0220368, 0.0679467, 0.0131797, -0.0170737
775303, 0.0348915, -0.0330551, 0.0023963, 0.00299538
775304, -0.0220368, 0.0330551, 0.0152764, -0.0110829
775305, -0.0220368, 0.0679467, 0.0188709, -0.0227649
775306, 0.0642739, 0.0165276, 0.000299538, -0.015576
775307, 0.0348915, 0, 0.00389399, -0.0125806
775308, -0.0220368, 0.0679467, 0.0167741, -0.0299538
775309, 0.0348915, -0.0330551, 0.00599076, -0.0101843
775310, 0.0642739, -0.0495827, -0.00299538, -0.00299538
775311, -0.0220368, 0.0330551, 0.0149769, -0.0197695
775312, 0.0936562, -0.101002, -0.0107834, 0.011682
775313, 0.0348915, 0, -0.0023963, -0.00539168
775314, 0.0348915, 0, -0.00389399, -0.00539168
775315, -0.0220368, 0, 0.00928568, -0.00539168
775316, -0.0220368, 0.0330551, 0.0125806, -0.0140783
775317, 0.00550919, 0.0165276, 0.0110829, -0.0125806
775318, 0.0348915, 0.0330551, 0.00539168, -0.0182718
775319, 0.00550919, 0.0165276, 0.0119815, -0.0167741
775320, 0.0348915, -0.0661103, 0.0062903, 0.00269584
775321, 0.00550919, 0.0165276, 0.0128801, -0.0125806
