TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
33, 0.0348915, 0, -0.00898614, 0
34, 0.0642739, -0.0495827, -0.0197695, 0.0125806
35, -0.0220368, 0.0330551, -0.00299538, -0.00449307
36, 0.0348915, -0.0330551, -0.015576, 0.00958521
37, 0.00550919, 0.0165276, -0.0113824, -0.000299538
38, 0.0348915, -0.0661103, -0.0191704, 0.01947
39, -0.0220368, 0.0330551, -0.00778799, -0.000299538
40, 0.00550919, 0.0165276, -0.0128801, 0.00119815
41, -0.0514191, 0.0495827, 0.00119815, -0.0086866
42, 0.00550919, -0.0165276, -0.00898614, 0.00389399
43, -0.0220368, 0, -0.0023963, 0.00119815
44, 0.0348915, -0.0661103, -0.0149769, 0.0179723
45, 0.00550919, -0.0165276, -0.0104838, 0.0110829
46, -0.0514191, 0.0844743, 0.00359446, -0.0134792
47, 0.0348915, 0.0330551, -0.0140783, -0.00748845
48, 0.0348915, 0, -0.0170737, -0.00179723
49, -0.0220368, -0.0330551, -0.00539168, 0.00658983
50, 0.00550919, 0.0165276, -0.0107834, -0.00329492
51, 0.123039, -0.0844743, -0.0410367, 0.0212672
52, -0.0220368, 0, -0.0146774, 0.00688937
53, -0.0220368, 0, -0.0125806, 0.00688937
54, -0.0220368, 0.0330551, -0.0107834, -0.00149769
55, 0.00550919, 0.0165276, -0.016175, -0.000299538
56, 0.0642739, -0.0495827, -0.0314515, 0.0152764
57, -0.0808015, 0.0679467, 0, -0.0104838
58, -0.0220368, 0, -0.00808752, 0.00119815
59, 0.00550919, -0.0165276, -0.011682, 0.00509214
60, 0.00550919, 0.0495827, -0.011682, -0.0104838
61, 0.00550919, -0.0165276, -0.011682, 0.0023963
62, -0.0220368, 0.0330551, -0.00479261, -0.0086866
63, -0.0220368, 0, -0.0023963, -0.00299538
64, 0.0642739, -0.0844743, -0.0221658, 0.0185714
65, -0.0220368, 0.0330551, -0.00509214, -0.00449307
66, 0.00550919, 0.0165276, -0.00958521, -0.00299538
67, 0.00550919, 0.0165276, -0.00958521, -0.00449307
68, 0.00550919, -0.0165276, -0.00958521, 0.00269584
69, 0.0348915, 0, -0.0170737, 0
70, -0.0514191, 0.0495827, 0.0023963, -0.0131797
71, -0.0220368, 0.101002, -0.000299538, -0.0302533
72, 0.0642739, -0.0495827, -0.020069, -0.000299538
73, -0.0220368, 0, -0.00299538, -0.0086866
74, -0.0220368, 0, -0.000599076, -0.0086866
75, 0.0642739, -0.0165276, -0.0203686, -0.00479261
76, -0.0220368, -0.0330551, -0.00329492, 0.000898614
77, -0.0220368, 0, -0.000898614, -0.00449307
78, 0.0348915, 0, -0.0131797, -0.00449307
79, 0.00550919, -0.0165276, -0.00808752, -0.000299538
80, -0.0514191, 0.0495827, 0.00658983, -0.016175
81, 0.0642739, -0.0165276, -0.0182718, -0.00329492
82, 0.00550919, 0.0495827, -0.00808752, -0.0188709
83, 0.00550919, -0.0165276, -0.00808752, -0.00599076
84, 0.00550919, 0.0165276, -0.00808752, -0.0131797
85, 0.00550919, -0.0165276, -0.00808752, -0.00599076
86, 0.00550919, -0.0165276, -0.00808752, -0.00479261
87, -0.0514191, 0.0165276, 0.0062903, -0.011682
88, 0.0348915, 0, -0.0107834, -0.0086866
89, 0.0642739, -0.0844743, -0.0191704, 0.0128801
90, -0.0220368, 0.0679467, -0.00149769, -0.0191704
91, 0.00550919, 0.0165276, -0.00539168, -0.011682
92, 0.00550919, 0.0165276, -0.00479261, -0.0131797
93, 0.0348915, -0.0661103, -0.011682, 0.00658983
94, 0.00550919, 0.0165276, -0.00599076, -0.00898614
95, -0.0220368, 0.0679467, 0.00149769, -0.023364
96, -0.0220368, 0.0679467, 0.00449307, -0.0290552
97, 0.0642739, -0.0844743, -0.0146774, 0.00419353
98, 0.0348915, 0, -0.0113824, -0.0101843
99, -0.0220368, 0.0330551, 0.00119815, -0.0188709
100, 0.0642739, -0.0495827, -0.0179723, -0.000599076
101, -0.0220368, 0.0330551, -0.000299538, -0.0173732
102, -0.0220368, -0.0330551, 0.00269584, -0.00359446
103, 0.00550919, -0.0165276, -0.00119815, -0.00479261
104, 0.00550919, -0.0165276, -0.000599076, -0.00329492
105, 0.0348915, 0, -0.00748845, -0.00599076
106, 0.00550919, -0.0165276, -0.00179723, -0.00209677
107, 0.00550919, 0.0844743, -0.00119815, -0.0266589
108, 0.0642739, -0.0165276, -0.015576, -0.00778799
109, 0.00550919, -0.0495827, -0.00479261, 0.00209677
110, -0.0220368, 0.0330551, 0.00269584, -0.0146774
111, 0.0348915, 0, -0.00898614, -0.00898614
112, 0.00550919, 0.0495827, -0.00329492, -0.0218663
113, 0.0642739, -0.0165276, -0.0176727, -0.00928568
114, -0.0220368, 0, 0, -0.0119815
115, -0.0514191, 0.117529, 0.0104838, -0.0419353
116, 0.00550919, -0.0495827, 0.00149769, -0.00928568
117, 0.0642739, -0.0165276, -0.0131797, -0.0134792
118, 0.0348915, -0.0330551, -0.00988475, -0.00808752
119, 0.0348915, -0.0330551, -0.0104838, -0.00509214
120, 0.00550919, 0.0495827, -0.00419353, -0.0236635
121, -0.0220368, -0.0330551, 0.00389399, -0.00658983
122, 0.00550919, 0.0165276, 0.000299538, -0.0164746
123, 0.00550919, 0.0165276, 0.00149769, -0.0179723
124, 0.0348915, -0.0661103, -0.00509214, 0.00179723
125, 0.0348915, 0, -0.0062903, -0.00928568
126, -0.0220368, 0.0330551, 0.00658983, -0.0176727
127, 0.0642739, -0.0495827, -0.0119815, 0.000599076
128, 0.0642739, -0.0495827, -0.0158755, 0.00479261
129, -0.0220368, 0.0330551, 0.00209677, -0.0119815
130, 0.0348915, 0, -0.0086866, -0.0062903
131, -0.0220368, 0.0330551, 0.00419353, -0.0149769
132, 0.00550919, -0.0495827, 0.000898614, 0.00329492
133, 0.0348915, -0.0661103, -0.00569122, 0.011682
134, 0.0348915, 0.0330551, -0.00718891, -0.00778799
135, 0.0348915, 0, -0.00838706, -0.00209677
136, 0.0348915, -0.0330551, -0.00988475, 0.00599076
137, -0.0220368, 0.0679467, 0.00329492, -0.0167741
138, 0.0936562, -0.134057, -0.0227649, 0.0290552
139, -0.0514191, 0.0495827, 0.00778799, -0.00658983
140, 0.00550919, 0.0165276, -0.000599076, -0.0023963
141, 0.0348915, 0, -0.00718891, 0.000599076
142, -0.0220368, 0.0679467, 0.00569122, -0.0167741
143, 0.0642739, -0.0165276, -0.0128801, -0.00119815
144, 0.0348915, 0, -0.00898614, -0.00389399
145, -0.0514191, 0.117529, 0.011682, -0.0338478
146, 0.0642739, -0.0165276, -0.0122811, -0.00958521
147, 0.0348915, 0, -0.00838706, -0.0122811
148, 0.00550919, -0.0165276, -0.0023963, -0.00838706
149, 0.0348915, -0.0330551, -0.00688937, -0.00269584
150, -0.0220368, 0.0679467, 0.00688937, -0.0254607
151, 0.00550919, 0.0165276, 0.00389399, -0.0182718
152, 0.0348915, -0.0330551, -0.00179723, -0.00718891
153, 0.0348915, 0, -0.00269584, -0.0125806
154, 0.00550919, 0.0165276, 0.00419353, -0.0167741
155, 0.0642739, -0.0165276, -0.00898614, -0.00988475
156, -0.0220368, 0.0330551, 0.00958521, -0.0209677
157, 0.0642739, -0.0495827, -0.00838706, -0.00269584
158, -0.0514191, 0.0495827, 0.0176727, -0.023963
159, -0.0220368, 0.0330551, 0.0170737, -0.023963
160, 0.0642739, -0.0844743, -0.000898614, 0.00329492
161, 0.00550919, 0.0165276, 0.0107834, -0.0152764
162, 0.0348915, 0, 0.00479261, -0.0122811
163, 0.0348915, 0.0330551, 0.00389399, -0.0209677
164, 0.0348915, 0, 0.00329492, -0.0152764
165, 0.00550919, -0.0165276, 0.00988475, -0.0110829
166, 0.0348915, 0, 0.00419353, -0.0137787
167, 0.00550919, 0.0844743, 0.0110829, -0.035645
168, 0.0642739, -0.0844743, -0.00209677, 0.000599076
169, 0.0348915, -0.0330551, 0.00179723, -0.00569122
170, 0.0642739, 0.0495827, -0.0062903, -0.023963
171, 0.00550919, -0.0495827, 0.00539168, -0.00269584
172, 0.0348915, 0.0330551, -0.000599076, -0.01947
173, 0.0348915, 0, -0.00119815, -0.0137787
174, 0.0936562, -0.0661103, -0.0170737, 0.00299538
175, 0.00550919, 0.0165276, -0.000299538, -0.0125806
176, 0.00550919, 0.0165276, 0.00149769, -0.0140783
177, 0.00550919, 0.0165276, 0.00329492, -0.0152764
178, 0.0642739, 0.0495827, -0.00988475, -0.0251612
179, 0.0936562, -0.134057, -0.01947, 0.0176727
180, 0.00550919, -0.0165276, -0.0023963, -0.00119815
181, 0.0348915, 0, -0.00778799, -0.00389399
182, -0.0220368, -0.0330551, 0.00658983, 0.00449307
183, -0.0514191, 0.117529, 0.0185714, -0.0311519
184, 0.0348915, -0.0661103, 0.00359446, 0.00569122
185, 0.00550919, -0.0165276, 0.0107834, -0.00119815
186, 0.0348915, 0, 0.00539168, -0.00389399
187, -0.0220368, 0.0330551, 0.0197695, -0.0122811
188, 0.0348915, 0, 0.00958521, -0.00658983
189, 0.0348915, 0.0330551, 0.00928568, -0.0152764
190, 0.0642739, -0.0165276, 0.00179723, -0.00539168
191, 0.0348915, 0.0330551, 0.0062903, -0.0167741
192, -0.0220368, 0.101002, 0.0206681, -0.0368432
193, 0.0348915, -0.0661103, 0.0104838, -0.00269584
194, 0.0348915, 0.0679467, 0.0101843, -0.0314515
195, 0.00550919, -0.0495827, 0.0173732, -0.00718891
196, 0.0642739, -0.0165276, 0.00449307, -0.0113824
197, -0.0220368, 0.0679467, 0.023963, -0.0314515
198, 0.0348915, 0, 0.0137787, -0.0197695
199, 0.0348915, -0.0330551, 0.0134792, -0.011682
200, 0.0642739, -0.0495827, 0.00569122, -0.00449307
201, 0.0642739, -0.0495827, 0.00299538, -0.000299538
202, 0.0642739, -0.0495827, 0, 0.00389399
203, 0.00550919, 0.0165276, 0.0122811, -0.0086866
204, 0.00550919, 0.0165276, 0.0143778, -0.0101843
205, -0.0220368, 0.101002, 0.0236635, -0.0332487
206, 0.0642739, -0.0495827, 0.0062903, -0.00329492
207, 0.0348915, -0.101002, 0.0107834, 0.0140783
208, -0.0220368, 0.0679467, 0.0251612, -0.0203686
209, 0.0348915, 0, 0.0170737, -0.0086866
210, 0.0642739, 0.0165276, 0.00988475, -0.0131797
211, 0.00550919, 0.0495827, 0.0224653, -0.0230644
212, 0.0642739, -0.117529, 0.0104838, 0.0152764
213, 0.0348915, 0, 0.0158755, -0.00449307
214, 0.00550919, 0.0844743, 0.023364, -0.0263593
215, 0.00550919, -0.0495827, 0.0260598, 0.000898614
216, 0.0348915, 0.0330551, 0.0215667, -0.0158755
217, 0.0936562, -0.0330551, 0.00688937, -0.00209677
218, 0.0642739, -0.0495827, 0.00988475, 0.00539168
219, 0.0642739, -0.0165276, 0.00748845, 0.000898614
220, 0.00550919, 0.0165276, 0.0203686, -0.00599076
221, -0.0220368, 0.101002, 0.0302533, -0.0290552
222, 0.0936562, -0.0661103, 0.00569122, 0.00509214
223, 0.0642739, -0.0495827, 0.0086866, 0.00658983
224, 0.00550919, 0.0495827, 0.0212672, -0.0146774
225, 0.0348915, 0.0330551, 0.0167741, -0.0146774
226, 0.0642739, 0.0495827, 0.00958521, -0.0218663
227, 0.0348915, 0, 0.0149769, -0.0131797
228, 0.0348915, 0, 0.0152764, -0.0131797
229, 0.0348915, 0, 0.015576, -0.0131797
230, 0.0936562, -0.0330551, 0.000599076, -0.00479261
231, 0.0348915, 0, 0.0113824, -0.0101843
232, -0.0220368, 0.0679467, 0.0260598, -0.027857
233, 0.00550919, 0.0165276, 0.023963, -0.0203686
234, 0.0348915, 0, 0.01947, -0.0173732
235, 0.0642739, -0.0844743, 0.0122811, 0.00419353
236, 0.00550919, 0.0165276, 0.0248616, -0.0146774
237, 0.0936562, -0.0330551, 0.00539168, -0.00359446
238, 0.0348915, 0.0330551, 0.0158755, -0.0173732
239, 0.123039, -0.117529, -0.00509214, 0.0179723
240, 0.00550919, 0.0165276, 0.0179723, -0.00599076
241, 0.00550919, 0.0165276, 0.0212672, -0.00748845
242, 0.0348915, 0, 0.0173732, -0.00449307
243, 0.0642739, -0.0165276, 0.0104838, -0.000299538
244, 0.0348915, 0, 0.0164746, -0.00299538
245, 0.0348915, -0.0661103, 0.0170737, 0.0134792
246, 0.0348915, -0.0330551, 0.0179723, 0.0107834
247, 0.0348915, 0, 0.0185714, 0.00539168
248, 0.0348915, 0, 0.01947, 0.00539168
249, 0.00550919, 0.0844743, 0.0275575, -0.0164746
250, 0.0348915, 0.0679467, 0.0236635, -0.01947
251, 0.0348915, 0, 0.0242626, -0.00778799
252, 0.0348915, -0.0330551, 0.0251612, 0.000599076
253, 0.0642739, 0.0165276, 0.0182718, -0.00928568
254, 0.0642739, -0.0165276, 0.0164746, -0.00209677
255, -0.0220368, 0.101002, 0.0368432, -0.0308524
256, 0.0936562, -0.0661103, 0.0128801, 0.00329492
257, 0.0348915, 0.0679467, 0.023963, -0.0251612
258, 0.0348915, 0, 0.0245621, -0.0134792
259, 0.0642739, -0.0165276, 0.0179723, -0.00958521
260, 0.00550919, 0.0844743, 0.0308524, -0.0341473
261, -0.0220368, 0, 0.0413362, -0.01947
262, 0.0642739, 0.0165276, 0.0251612, -0.0236635
263, 0.00550919, 0.0495827, 0.0383409, -0.0335482
264, 0.123039, -0.117529, 0.011682, 0.00479261
265, 0.00550919, 0.0165276, 0.0347464, -0.01947
266, 0.00550919, 0.0844743, 0.0380413, -0.0383409
267, 0.0348915, -0.0661103, 0.0341473, -0.00688937
268, 0.0936562, -0.0661103, 0.01947, -0.00119815
269, 0.0348915, 0, 0.0323501, -0.0122811
270, 0.0936562, 0, 0.0185714, -0.0122811
271, 0.0642739, 0.0165276, 0.0227649, -0.0167741
272, 0.00550919, 0.0495827, 0.0368432, -0.0266589
273, 0.0642739, -0.0165276, 0.0254607, -0.0137787
274, 0.0642739, -0.0495827, 0.0242626, -0.00389399
