TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
7751878, 0.0734559, 0.0881471, -0.0188709, -0.0230644
7751879, 0.0146912, -0.0459099, -0.0104838, 0.00389399
7751880, -0.0128548, 0.0367279, -0.00449307, -0.0131797
7751881, -0.0128548, 0.0018364, -0.00329492, -0.00748845
7751882, -0.0128548, -0.0293824, -0.0023963, 0.000299538
7751883, -0.0128548, 0.0018364, -0.00119815, -0.00539168
7751884, -0.0128548, 0.0018364, 0, -0.00539168
7751885, 0.0146912, -0.0459099, -0.00599076, 0.00688937
7751886, 0.0734559, -0.0808015, -0.0221658, 0.01947
7751887, 0.0146912, -0.0459099, -0.0137787, 0.0176727
7751888, -0.0128548, 0.0018364, -0.00778799, 0.00898614
7751889, -0.0128548, 0.0018364, -0.00658983, 0.00898614
7751890, 0.0440735, -0.0293824, -0.0203686, 0.0167741
7751891, -0.0128548, 0.0018364, -0.00928568, 0.0113824
7751892, -0.0422371, 0.0532555, -0.000599076, -0.00179723
7751893, 0.0146912, -0.0459099, -0.011682, 0.0191704
7751894, 0.0146912, 0.0202004, -0.0128801, 0.00599076
7751895, 0.0146912, -0.0128548, -0.0143778, 0.0128801
7751896, -0.0128548, -0.0293824, -0.00838706, 0.0179723
7751897, -0.0422371, 0.0532555, 0.000299538, -0.000599076
7751898, -0.0128548, 0.0018364, -0.00359446, 0.00778799
7751899, 0.0146912, 0.0202004, -0.00958521, 0.00299538
7751900, 0.0146912, -0.0808015, -0.0110829, 0.0269584
7751901, 0.0440735, -0.0642739, -0.0197695, 0.0299538
7751902, -0.0422371, 0.0202004, -0.00119815, 0.0137787
7751903, 0.0440735, 0.0018364, -0.020069, 0.0164746
7751904, 0.0146912, -0.0128548, -0.0146774, 0.0203686
7751905, 0.0734559, -0.0459099, -0.0305529, 0.0299538
7751906, 0.0146912, -0.0128548, -0.0212672, 0.0254607
7751907, -0.0128548, 0.0697831, -0.0149769, 0.00539168
7751908, -0.0128548, 0.0367279, -0.0134792, 0.00808752
7751909, -0.0716195, 0.0018364, 0.00299538, 0.0134792
7751910, 0.0440735, 0.0018364, -0.0197695, 0.0131797
7751911, -0.0716195, 0.0697831, 0.0062903, -0.00389399
7751912, -0.0422371, -0.0128548, 0.00569122, 0.0110829
7751913, -0.0128548, 0.104675, 0.00209677, -0.0176727
7751914, -0.0128548, 0.0367279, 0.00359446, -0.00928568
7751915, 0.102838, -0.097329, -0.0245621, 0.0218663
7751916, -0.0422371, 0.0532555, 0.00449307, -0.00838706
7751917, 0.0146912, 0.0202004, -0.0062903, -0.00449307
7751918, 0.0734559, -0.0459099, -0.0218663, 0.0107834
7751919, -0.0422371, 0.0202004, 0.00209677, -0.0023963
7751920, 0.0146912, -0.0128548, -0.0086866, 0.00449307
7751921, 0.0146912, -0.0459099, -0.00958521, 0.0140783
7751922, -0.0128548, 0.0367279, -0.00299538, -0.00329492
7751923, 0.0440735, -0.0642739, -0.0158755, 0.01947
7751924, 0.0440735, 0.0018364, -0.0191704, 0.00778799
7751925, 0.0146912, -0.0128548, -0.0152764, 0.011682
7751926, 0.0440735, -0.0642739, -0.023364, 0.0257603
7751927, -0.0128548, 0.0018364, -0.0122811, 0.0143778
7751928, -0.0128548, 0.0367279, -0.0104838, 0.00539168
7751929, -0.0422371, 0.0881471, -0.00149769, -0.0110829
7751930, 0.0146912, -0.0128548, -0.0119815, 0.00748845
7751931, 0.0146912, -0.0128548, -0.0128801, 0.00838706
7751932, -0.0422371, 0.0532555, 0.00119815, -0.00748845
7751933, -0.0128548, 0.0367279, -0.0023963, -0.00748845
7751934, -0.0422371, 0.0202004, 0.00838706, -0.00658983
7751935, -0.0128548, 0.0018364, 0.00569122, -0.00359446
7751936, 0.0146912, 0.0202004, 0.000599076, -0.00838706
7751937, 0.0440735, 0.0018364, -0.00688937, -0.00569122
7751938, -0.0128548, 0.0367279, 0.00509214, -0.0143778
7751939, 0.0440735, -0.132221, -0.00718891, 0.0254607
7751940, 0.0146912, -0.0459099, -0.00269584, 0.0149769
7751941, 0.0146912, 0.0532555, -0.00269584, -0.00688937
7751942, 0.0146912, -0.0128548, -0.00299538, 0.00569122
7751943, 0.0440735, -0.0642739, -0.0104838, 0.0197695
7751944, 0.0146912, -0.0459099, -0.00569122, 0.0206681
7751945, -0.0422371, 0.0532555, 0.0086866, -0.000898614
7751946, 0.0146912, -0.0459099, -0.00119815, 0.020069
7751947, 0.0440735, 0.0018364, -0.0086866, 0.011682
7751948, 0.0440735, -0.0293824, -0.0113824, 0.01947
7751949, -0.0128548, 0.0018364, 0.000299538, 0.0140783
7751950, 0.0440735, -0.0293824, -0.011682, 0.0218663
7751951, 0.0146912, 0.0202004, -0.00718891, 0.011682
7751952, 0.0146912, 0.0532555, -0.00718891, 0.00149769
7751953, 0.0440735, -0.0293824, -0.0146774, 0.0179723
7751954, -0.0422371, -0.0128548, 0.00449307, 0.0164746
7751955, 0.0146912, 0.0532555, -0.00539168, 0.000599076
7751956, 0.0146912, -0.0128548, -0.00569122, 0.0131797
7751957, -0.0128548, 0.0018364, 0.00149769, 0.0101843
7751958, -0.0128548, 0.0367279, 0.00359446, 0.00149769
7751959, 0.0146912, -0.0459099, -0.00149769, 0.01947
7751960, -0.0128548, 0.0018364, 0.00569122, 0.0107834
7751961, 0.0146912, 0.0202004, 0.000599076, 0.00599076
7751962, 0.0440735, -0.0293824, -0.00688937, 0.0170737
7751963, -0.0128548, 0.0367279, 0.00509214, 0.00269584
7751964, -0.0128548, 0.0367279, 0.0086866, -0.000299538
7751965, -0.0128548, 0.0367279, 0.0110829, -0.00359446
7751966, 0.0146912, -0.0459099, 0.00688937, 0.0143778
7751967, 0.0146912, -0.0128548, 0.00718891, 0.00988475
7751968, -0.0128548, 0.104675, 0.0143778, -0.0191704
7751969, 0.0440735, -0.0293824, 0.00269584, 0.0062903
7751970, 0.0734559, -0.0459099, -0.00718891, 0.0131797
7751971, -0.0422371, 0.0202004, 0.0179723, 0
7751972, 0.0146912, -0.0128548, 0.0086866, 0.00688937
7751973, 0.0440735, 0.0018364, 0.00119815, 0.00389399
7751974, -0.0716195, 0.0697831, 0.0287556, -0.0134792
7751975, 0.0440735, -0.097329, 0.00688937, 0.023364
7751976, 0.0440735, -0.0293824, 0.00449307, 0.0140783
7751977, 0.0440735, 0.0018364, 0.0023963, 0.0086866
7751978, -0.0128548, -0.0293824, 0.0146774, 0.0164746
7751979, 0.0146912, 0.0202004, 0.0104838, 0.0062903
7751980, 0.0440735, 0.0367279, 0.00329492, 0.000599076
7751981, -0.0128548, 0.0367279, 0.0152764, -0.0023963
7751982, -0.0128548, 0.0018364, 0.0179723, 0.00299538
7751983, 0.0146912, -0.0128548, 0.0137787, 0.00688937
7751984, 0.0734559, -0.0808015, -0.000898614, 0.0251612
7751985, -0.0128548, 0.0697831, 0.0164746, -0.0062903
7751986, 0.0146912, -0.0128548, 0.0122811, 0.0086866
7751987, 0.0146912, -0.0128548, 0.0125806, 0.00988475
7751988, -0.0128548, 0.0697831, 0.0197695, -0.0101843
7751989, 0.0440735, -0.097329, 0.00778799, 0.0266589
7751990, -0.0128548, -0.0293824, 0.020069, 0.0173732
7751991, 0.0146912, 0.0532555, 0.0158755, -0.00119815
7751992, 0.0734559, 0.0202004, 0.00119815, 0.00269584
7751993, -0.0422371, 0.0532555, 0.0260598, -0.00748845
7751994, 0.0146912, -0.0128548, 0.0185714, 0.00509214
7751995, 0.0146912, -0.0128548, 0.01947, 0.0062903
7751996, 0.0734559, 0.0202004, 0.00509214, -0.00119815
7751997, 0.0440735, -0.097329, 0.0086866, 0.027258
7751998, 0.0440735, 0.0018364, 0.00718891, 0.00988475
7751999, 0.0146912, 0.0881471, 0.0131797, -0.0122811
7752000, 0.0440735, -0.0642739, 0.00658983, 0.0191704
7752001, -0.0128548, 0.0697831, 0.01947, -0.00958521
7752002, 0.0146912, 0.0202004, 0.0158755, -0.00269584
7752003, 0.102838, -0.0293824, -0.00569122, 0.00808752
7752004, 0.0146912, -0.0128548, 0.0101843, 0.00658983
7752005, 0.0146912, -0.0459099, 0.0110829, 0.016175
7752006, 0.0146912, 0.0532555, 0.0119815, -0.00539168
7752007, 0.0146912, 0.0202004, 0.0131797, -0.00149769
7752008, 0.0734559, -0.0128548, -0.00119815, 0.00509214
7752009, 0.0146912, 0.0202004, 0.00988475, -0.00209677
7752010, 0.0146912, 0.0202004, 0.0107834, -0.00389399
7752011, 0.0146912, 0.0202004, 0.011682, -0.00569122
7752012, 0.0146912, -0.0459099, 0.0128801, 0.00958521
7752013, 0.0734559, -0.113857, -0.00149769, 0.0308524
7752014, 0.0734559, -0.0128548, -0.00569122, 0.0146774
7752015, -0.0128548, 0.0018364, 0.0122811, 0.0119815
7752016, 0.0440735, 0.0018364, 0.00119815, 0.011682
7752017, 0.0146912, -0.0128548, 0.00718891, 0.015576
7752018, -0.0716195, 0.0367279, 0.0302533, 0.00389399
7752019, 0.0440735, 0.0018364, 0.00898614, 0.00958521
7752020, 0.0146912, 0.0532555, 0.0149769, -0.00359446
7752021, 0.0440735, -0.0293824, 0.00838706, 0.0128801
7752022, 0.0146912, -0.0459099, 0.0143778, 0.0197695
7752023, 0.0440735, 0.0697831, 0.00778799, -0.00599076
7752024, -0.0422371, 0.0532555, 0.0293547, -0.00778799
7752025, 0.0440735, -0.0293824, 0.0137787, 0.00898614
7752026, 0.0146912, 0.0202004, 0.020069, -0.00119815
7752027, 0.0440735, 0.0018364, 0.0140783, 0.00149769
7752028, 0.0734559, -0.0459099, 0.00539168, 0.0137787
7752029, 0.0146912, -0.0459099, 0.0170737, 0.0176727
7752030, 0.0440735, -0.0293824, 0.0107834, 0.0173732
7752031, 0.0146912, 0.0202004, 0.0173732, 0.00718891
7752032, 0.0146912, 0.0202004, 0.0185714, 0.00539168
7752033, 0.0734559, -0.0459099, 0.00479261, 0.0206681
7752034, -0.0128548, 0.0697831, 0.0236635, -0.00479261
7752035, 0.0734559, -0.0128548, 0.00509214, 0.0101843
7752036, 0.0146912, -0.0128548, 0.0164746, 0.0113824
7752037, 0.0146912, 0.0202004, 0.0179723, 0.00389399
7752038, 0.0440735, -0.0293824, 0.0119815, 0.0146774
7752039, 0.0146912, -0.0128548, 0.0182718, 0.0131797
7752040, 0.0146912, 0.0202004, 0.0197695, 0.00569122
7752041, 0.0734559, -0.0128548, 0.00599076, 0.0125806
7752042, 0.0440735, 0.0697831, 0.00988475, -0.00748845
7752043, 0.0440735, 0.0018364, 0.00898614, 0.00389399
7752044, 0.0440735, -0.0293824, 0.00778799, 0.011682
