TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
6219450, 0.0440735, 0.13773, -0.011682, -0.035645
6219451, -0.0422371, -0.0459099, 0.00688937, -0.000299538
6219452, 0.0146912, -0.0128548, -0.00419353, -0.00479261
6219453, 0.0146912, 0.0202004, -0.00539168, -0.0122811
6219454, -0.0128548, 0.0018364, 0.000299538, -0.00928568
6219455, 0.0440735, 0.0018364, -0.0131797, -0.00958521
6219456, -0.0128548, 0.0018364, -0.0023963, -0.00958521
6219457, 0.0440735, -0.0293824, -0.0158755, -0.00179723
6219458, 0.0146912, 0.0202004, -0.0119815, -0.0119815
6219459, -0.0128548, -0.0293824, -0.0062903, -0.000898614
6219460, 0.0146912, -0.0128548, -0.0122811, -0.00269584
6219461, 0.0146912, -0.0459099, -0.0134792, 0.00688937
6219462, 0.0146912, 0.0202004, -0.0146774, -0.00599076
6219463, 0.0146912, -0.0128548, -0.0158755, 0.000599076
6219464, -0.0128548, 0.0018364, -0.0101843, -0.00209677
6219465, -0.0716195, 0.0697831, 0.00599076, -0.01947
6219466, 0.0146912, -0.0459099, -0.0101843, 0.00419353
6219467, -0.0128548, 0.0367279, -0.00419353, -0.0128801
6219468, -0.0128548, -0.0293824, -0.00299538, 0.000599076
6219469, 0.0440735, -0.0293824, -0.0167741, 0.00299538
6219470, 0.0146912, -0.0128548, -0.0128801, 0.00149769
6219471, 0.0146912, 0.0202004, -0.0140783, -0.00599076
6219472, -0.0716195, 0.0367279, 0.00658983, -0.011682
6219473, -0.0422371, 0.0532555, 0.00539168, -0.0191704
6219474, 0.0440735, -0.0642739, -0.0131797, 0.0062903
6219475, -0.0422371, 0.0881471, 0.00539168, -0.027258
6219476, 0.0146912, -0.0459099, -0.00569122, -0.000299538
6219477, 0.0440735, -0.0642739, -0.0128801, 0.00808752
6219478, -0.0422371, 0.0202004, 0.00569122, -0.00808752
6219479, 0.0146912, -0.0128548, -0.00479261, -0.00119815
6219480, -0.0128548, 0.0018364, 0.00149769, -0.00389399
6219481, -0.0128548, 0.0697831, 0.00299538, -0.0212672
6219482, -0.0128548, 0.0018364, 0.00449307, -0.0101843
6219483, -0.0128548, 0.0367279, 0.00599076, -0.0188709
6219484, -0.0422371, 0.0532555, 0.0152764, -0.0263593
6219485, 0.0440735, 0.0018364, -0.00269584, -0.0179723
6219486, 0.0146912, 0.0202004, 0.00119815, -0.0227649
6219487, 0.0146912, 0.0202004, 0.000599076, -0.0242626
6219488, 0.0146912, -0.0128548, -0.000299538, -0.0176727
6219489, 0.0146912, 0.0202004, -0.000898614, -0.0248616
6219490, 0.0146912, -0.0459099, -0.00179723, -0.00958521
6219491, -0.0128548, -0.0293824, 0.00449307, -0.0101843
6219492, 0.0146912, -0.0128548, -0.000898614, -0.011682
6219493, -0.0128548, -0.0293824, 0.00539168, -0.00658983
6219494, -0.0128548, 0.0367279, 0.00688937, -0.0209677
6219495, 0.0146912, 0.0202004, 0.00119815, -0.0197695
6219496, 0.0146912, -0.0128548, 0.000599076, -0.0131797
6219497, 0.0440735, 0.0018364, -0.00748845, -0.0158755
6219498, 0.0146912, 0.0202004, -0.00359446, -0.0206681
6219499, 0.0440735, -0.0293824, -0.011682, -0.00988475
6219500, 0.0146912, -0.0128548, -0.00748845, -0.0113824
6219501, -0.0128548, -0.0293824, -0.00119815, -0.0062903
6219502, -0.0422371, 0.0202004, 0.00808752, -0.016175
6219503, -0.0128548, 0.0018364, 0.00449307, -0.0134792
6219504, 0.0146912, -0.0459099, -0.00119815, -0.00119815
6219505, 0.0440735, 0.0018364, -0.00928568, -0.00958521
6219506, -0.0422371, 0.0532555, 0.00958521, -0.0227649
6219507, 0.0734559, -0.113857, -0.0143778, 0.0152764
6219508, -0.0128548, 0.0018364, 0.00269584, -0.00479261
6219509, -0.0128548, 0.0367279, 0.00479261, -0.0134792
6219510, -0.0128548, 0.0367279, 0.00688937, -0.0164746
6219511, 0.0146912, -0.0128548, 0.00209677, -0.00718891
6219512, 0.0440735, 0.0367279, -0.00539168, -0.0185714
6219513, 0.0146912, 0.0202004, -0.000599076, -0.0176727
6219514, -0.0422371, 0.121202, 0.0137787, -0.0449307
6219515, 0.0440735, -0.0642739, -0.00359446, -0.00808752
6219516, 0.0146912, -0.0459099, 0.00119815, -0.00718891
6219517, -0.0422371, 0.0202004, 0.015576, -0.0203686
6219518, 0.0146912, 0.0881471, 0.00569122, -0.039539
6219519, -0.0128548, -0.0642739, 0.0125806, -0.00808752
6219520, 0.0440735, 0.0018364, 0.000299538, -0.01947
6219521, 0.0734559, -0.0459099, -0.00988475, -0.00718891
6219522, -0.0422371, 0.0532555, 0.0146774, -0.0287556
6219523, -0.0128548, 0.0018364, 0.011682, -0.0203686
6219524, 0.0734559, -0.0459099, -0.00808752, -0.00808752
6219525, -0.0128548, 0.0367279, 0.0086866, -0.0251612
6219526, -0.0128548, 0.0018364, 0.0107834, -0.0197695
6219527, 0.0146912, 0.0202004, 0.00599076, -0.0242626
6219528, 0.0146912, -0.0128548, 0.00569122, -0.0176727
6219529, 0.0734559, -0.0459099, -0.00928568, -0.00808752
6219530, -0.0128548, 0.0367279, 0.00778799, -0.0251612
6219531, 0.0146912, -0.0128548, 0.00269584, -0.015576
6219532, 0.0734559, -0.0459099, -0.0122811, -0.00599076
6219533, -0.0422371, 0.0532555, 0.0119815, -0.027857
6219534, 0.0146912, 0.0202004, 0.00209677, -0.0236635
6219535, 0.0440735, -0.0293824, -0.00539168, -0.0128801
6219536, -0.0422371, -0.0459099, 0.0140783, -0.00599076
6219537, 0.132221, -0.0459099, -0.0245621, -0.00209677
6219538, -0.0716195, 0.0367279, 0.0179723, -0.0191704
6219539, -0.0128548, 0.0018364, 0.0104838, -0.0137787
6219540, 0.0440735, -0.0293824, -0.00149769, -0.00569122
6219541, -0.0128548, 0.0367279, 0.0107834, -0.020069
6219542, 0.0146912, -0.0128548, 0.00658983, -0.0104838
6219543, 0.0146912, -0.0128548, 0.00688937, -0.00958521
6219544, 0.0146912, 0.0202004, 0.00718891, -0.0167741
6219545, 0.0146912, 0.0202004, 0.00778799, -0.0185714
6219546, 0.0146912, 0.0202004, 0.00808752, -0.0203686
6219547, 0.0146912, -0.0128548, 0.00838706, -0.0134792
6219548, 0.0146912, -0.0459099, 0.0086866, -0.00389399
6219549, 0.0440735, -0.0293824, 0.00119815, -0.00449307
6219550, 0.0440735, -0.0293824, -0.000898614, -0.00179723
6219551, 0.0146912, -0.0128548, 0.00449307, -0.00359446
6219552, 0.0146912, 0.0202004, 0.00479261, -0.0110829
6219553, -0.0128548, -0.0293824, 0.0119815, 0
6219554, 0.0146912, -0.0128548, 0.00778799, -0.00179723
6219555, -0.0422371, 0.0532555, 0.0224653, -0.0176727
6219556, 0.0146912, 0.0202004, 0.0131797, -0.0134792
6219557, 0.0146912, 0.0202004, 0.0134792, -0.0152764
6219558, -0.0128548, 0.0018364, 0.0206681, -0.0125806
6219559, 0.102838, -0.0642739, -0.0062903, 0.00449307
6219560, 0.0440735, -0.0293824, 0.00179723, 0.000898614
6219561, 0.0146912, 0.0202004, 0.00718891, -0.00928568
6219562, -0.0128548, -0.0293824, 0.0143778, 0.00179723
6219563, 0.0146912, 0.0202004, 0.0101843, -0.00838706
6219564, 0.0440735, 0.0018364, 0.00299538, -0.00569122
6219565, 0.0440735, 0.0018364, 0.000599076, -0.00569122
6219566, -0.0128548, 0.0367279, 0.0128801, -0.0146774
6219567, 0.0146912, -0.0459099, 0.0104838, 0.00329492
6219568, 0.0440735, -0.0642739, 0.00389399, 0.0119815
6219569, -0.0128548, 0.0367279, 0.0167741, -0.00838706
6219570, 0.0146912, -0.0128548, 0.0131797, 0.00119815
6219571, 0.0440735, 0.0018364, 0.00658983, -0.00179723
6219572, 0.0440735, -0.0293824, 0.00509214, 0.0062903
6219573, 0.0440735, 0.0018364, 0.00329492, 0.000599076
6219574, 0.0146912, 0.0202004, 0.00958521, -0.00419353
6219575, 0.0146912, 0.0202004, 0.0104838, -0.00569122
6219576, 0.0146912, 0.0202004, 0.0113824, -0.00748845
6219577, -0.0128548, 0.13773, 0.0191704, -0.0392395
6219578, 0.0440735, -0.0642739, 0.00808752, 0.000599076
6219579, 0.0440735, -0.0293824, 0.0062903, -0.00299538
6219580, 0.0146912, 0.0202004, 0.0125806, -0.0128801
6219581, 0.0440735, 0.0018364, 0.00569122, -0.0101843
6219582, -0.0128548, 0.0697831, 0.0185714, -0.0275575
6219583, -0.0128548, 0.0367279, 0.0218663, -0.0248616
6219584, 0.0734559, -0.0128548, 0.00329492, -0.0152764
6219585, 0.0440735, 0.0018364, 0.00658983, -0.0182718
6219586, 0.0440735, -0.0642739, 0.00509214, -0.00149769
6219587, -0.0128548, 0.0697831, 0.0179723, -0.0302533
6219588, 0.0146912, -0.0128548, 0.0143778, -0.0149769
6219589, 0.0440735, -0.0293824, 0.00778799, -0.00988475
6219590, 0.0146912, 0.0532555, 0.0137787, -0.0284561
6219591, -0.0422371, 0.0202004, 0.0293547, -0.0242626
6219592, 0.0146912, -0.0459099, 0.0206681, -0.00898614
6219593, 0.0146912, -0.0128548, 0.0215667, -0.0137787
6219594, 0.0734559, -0.0459099, 0.00718891, -0.00419353
6219595, 0.0734559, -0.0128548, 0.00329492, -0.0086866
6219596, 0.0440735, -0.0293824, 0.00658983, -0.00359446
6219597, 0.0146912, -0.0128548, 0.0140783, -0.00509214
6219598, 0.0146912, 0.0202004, 0.015576, -0.0125806
6219599, 0.0146912, -0.0128548, 0.0170737, -0.00569122
6219600, 0.0734559, -0.0128548, 0.00329492, -0.00449307
6219601, -0.0128548, 0.0367279, 0.0218663, -0.016175
6219602, 0.0146912, -0.0808015, 0.0185714, 0.0104838
6219603, 0.0440735, -0.0642739, 0.0122811, 0.0131797
6219604, 0.0440735, 0.0018364, 0.0110829, 0.00179723
6219605, 0.0146912, 0.0881471, 0.0176727, -0.0203686
6219606, 0.0440735, -0.0293824, 0.0113824, 0.00209677
6219607, 0.0146912, 0.0202004, 0.0179723, -0.00808752
6219608, 0.0146912, -0.0459099, 0.01947, 0.00718891
6219609, 0.0440735, -0.0293824, 0.0131797, 0.00688937
6219610, -0.0128548, 0.0367279, 0.0269584, -0.00748845
6219611, 0.0734559, -0.0808015, 0.00838706, 0.0191704
6219612, 0.0440735, 0.0018364, 0.0122811, 0.00509214
6219613, 0.0440735, 0.0367279, 0.0110829, -0.00389399
6219614, 0.0146912, -0.0128548, 0.0176727, 0.00569122
6219615, 0.0440735, 0.0018364, 0.0113824, 0.00299538
6219616, 0.0440735, 0.0018364, 0.0104838, 0.00269584
6219617, 0.0440735, -0.0642739, 0.00928568, 0.01947
6219618, 0.0146912, -0.0128548, 0.0158755, 0.0119815
6219619, 0.0440735, 0.0367279, 0.00958521, 0.000299538
6219620, 0.0440735, 0.0367279, 0.0086866, -0.00269584
6219621, -0.0128548, 0.0697831, 0.0221658, -0.0143778
6219622, 0.0440735, -0.0293824, 0.0110829, 0.00509214
6219623, 0.0440735, -0.0293824, 0.0101843, 0.00748845
6219624, 0.0146912, 0.0202004, 0.0164746, -0.00269584
6219625, 0.0440735, 0.0018364, 0.0104838, 0.000299538
6219626, -0.0128548, 0.0697831, 0.023963, -0.0170737
6219627, 0.0440735, 0.0018364, 0.0149769, -0.00599076
6219628, 0.0440735, -0.0293824, 0.0143778, 0.00209677
6219629, 0.0734559, -0.0128548, 0.00658983, 0.000299538
6219630, -0.0128548, 0.0018364, 0.0257603, -0.0023963
6219631, 0.0440735, 0.0018364, 0.0152764, -0.00269584
6219632, -0.0422371, 0.0532555, 0.0368432, -0.0158755
6219633, 0.0734559, -0.0459099, 0.0143778, 0.00509214
6219634, 0.0146912, 0.0202004, 0.0263593, -0.00808752
6219635, -0.0422371, 0.0532555, 0.0428339, -0.0182718
6219636, 0.0440735, 0.0018364, 0.027857, -0.00958521
6219637, 0.0440735, 0.0018364, 0.027258, -0.00988475
6219638, 0.0440735, 0.0018364, 0.0266589, -0.00988475
6219639, 0.0734559, -0.0459099, 0.0191704, 0.0023963
6219640, 0.0440735, 0.0367279, 0.023364, -0.0149769
6219641, 0.0146912, 0.0202004, 0.0305529, -0.0137787
6219642, 0.0146912, 0.0202004, 0.0326496, -0.015576
6219643, 0.0440735, 0.0697831, 0.0269584, -0.0299538
6219644, 0.102838, -0.0642739, 0.011682, -0.00179723
6219645, 0.0146912, -0.0459099, 0.0284561, -0.000898614
6219646, 0.0440735, 0.0018364, 0.0230644, -0.00928568
6219647, 0.0734559, -0.0459099, 0.0152764, 0.00299538
6219648, 0.102838, -0.0293824, 0.00479261, 0.0023963
6219649, -0.0128548, 0.0367279, 0.0287556, -0.011682
6219650, 0.0440735, -0.0293824, 0.0185714, 0.00179723
6219651, 0.0146912, 0.0202004, 0.0257603, -0.00838706
6219652, 0.0734559, -0.0459099, 0.0128801, 0.00688937
6219653, -0.0128548, 0.0367279, 0.031751, -0.0101843
6219654, 0.0734559, -0.0128548, 0.0140783, -0.000599076
6219655, 0.0734559, -0.0128548, 0.0110829, 0.000299538
6219656, 0.0440735, -0.0293824, 0.015576, 0.00569122
6219657, 0.0440735, -0.0293824, 0.0167741, 0.00808752
6219658, 0.0734559, -0.0128548, 0.00928568, 0.00658983
6219659, -0.0422371, 0.121202, 0.0362441, -0.0266589
6219660, 0.0734559, -0.0459099, 0.0140783, 0.00569122
6219661, 0.0440735, -0.0642739, 0.0191704, 0.0143778
6219662, 0.0440735, 0.0018364, 0.0191704, 0.00269584
6219663, 0.0440735, 0.0018364, 0.0191704, 0.0023963
6219664, 0.0146912, 0.0532555, 0.0263593, -0.0107834
6219665, 0.0440735, 0.0018364, 0.0215667, -0.00209677
6219666, 0.0440735, 0.0018364, 0.0215667, -0.0023963
6219667, 0.0734559, -0.0128548, 0.0140783, 0.00149769
6219668, 0.0146912, -0.0128548, 0.0263593, 0.00269584
6219669, 0.0146912, 0.0202004, 0.0287556, -0.00479261
6219670, 0.102838, -0.0293824, 0.00898614, 0.00599076
6219671, 0.0146912, -0.0128548, 0.0263593, 0.00449307
6219672, -0.0128548, 0.0367279, 0.0359446, -0.00718891
6219673, 0.0734559, 0.0532555, 0.0188709, -0.0146774
6219674, 0.0146912, 0.0202004, 0.0311519, -0.0104838
6219675, 0.102838, 0.0018364, 0.0113824, -0.00778799
6219676, 0.0440735, -0.0293824, 0.0215667, 0
6219677, 0.102838, -0.0293824, 0.0062903, 0.00269584
6219678, 0.0734559, -0.0128548, 0.0086866, 0.000898614
6219679, -0.0128548, 0.0367279, 0.0284561, -0.0104838
6219680, 0.0440735, 0.0018364, 0.0188709, -0.00509214
6219681, 0.0734559, -0.0808015, 0.0110829, 0.0158755
6219682, 0.0146912, 0.0202004, 0.0236635, -0.00269584
6219683, 0.0734559, 0.0202004, 0.0110829, -0.00449307
6219684, -0.0128548, 0.0697831, 0.0305529, -0.0188709
6219685, 0.0440735, 0.0018364, 0.0209677, -0.00748845
6219686, 0.0440735, 0.0367279, 0.0209677, -0.0164746
6219687, 0.0440735, -0.0642739, 0.0230644, 0.00599076
