I_Q,I_D,V_Q,V_D,is_startup
0.194658,-0.113857,1.45905,-0.149769,0
0.264441,-0.102838,1.43898,-0.14258,0
0.246077,-0.0220368,1.43569,-0.154562,0
0.27546,0.0238732,1.42161,-0.164446,0
0.235059,0.097329,1.42281,-0.185414,0
0.150585,0.0495827,1.43868,-0.18152,0
0.0642739,0.106511,1.46234,-0.200091,0
0.165276,-0.0367279,1.44557,-0.172833,0
0.0918199,-0.113857,1.46444,-0.149769,0
0.124875,-0.128548,1.46294,-0.13629,0
0.218531,-0.152421,1.44228,-0.119216,0
0.117529,-0.11202,1.47103,-0.11682,0
0.216695,-0.0863107,1.45246,-0.113525,0
0.187312,0.0532555,1.45845,-0.141981,0
0.190985,0.00550919,1.45815,-0.134493,0
0.236895,0.0752923,1.44707,-0.152465,0
0.172621,0.0771287,1.45995,-0.159354,0
0.161603,0.0367279,1.46474,-0.15546,0
0.22404,0.0606011,1.45186,-0.165045,0
0.161603,-0.0771287,1.46534,-0.135092,0
0.159767,-0.0918199,1.46863,-0.124608,0
0.297496,0.0110184,1.43658,-0.143179,0
0.325042,0.0587647,1.42101,-0.156359,0
0.279132,0.174458,1.42191,-0.190806,0
0.176294,0.170785,1.44108,-0.204884,0
0.110184,0.139566,1.45995,-0.211174,0
0.123039,0.0881471,1.46354,-0.209976,0
0.161603,0.0128548,1.45995,-0.198294,0
0.15793,-0.117529,1.46384,-0.166244,0
0.113857,-0.0826379,1.47852,-0.165045,0
0.161603,-0.0257096,1.47343,-0.172534,0
0.247914,-0.0348915,1.45426,-0.168041,0
0.190985,0.0587647,1.46474,-0.189008,0
0.20384,0.168949,1.46175,-0.222257,0
0.190985,0.156094,1.46444,-0.233041,0
0.0954926,0.132221,1.4893,-0.240529,0
0.211186,0.0716195,1.46833,-0.236036,0
0.170785,-0.0238732,1.47732,-0.217764,0
0.108347,-0.161603,1.49559,-0.180621,0
0.18364,-0.165276,1.48391,-0.165944,0
0.205676,-0.11202,1.47912,-0.165345,0
0.36177,-0.0808015,1.43389,-0.163847,0
0.251586,-0.0146912,1.44647,-0.173732,0
0.156094,0.0495827,1.46444,-0.189008,0
0.238732,0.0734559,1.44527,-0.199193,0
0.165276,0.018364,1.45905,-0.191405,0
0.0918199,-0.018364,1.47882,-0.183617,0
0.115693,-0.0954926,1.48002,-0.16235,0
0.102838,-0.0550919,1.4884,-0.164446,0
0.0826379,-0.115693,1.47762,-0.154562,0
0.0881471,-0.139566,1.48211,-0.138387,0
0.176294,0.0,1.46534,-0.16205,0
0.20384,0.0,1.45605,-0.16205,0
0.123039,-0.0716195,1.47223,-0.144078,0
0.227713,0.189149,1.44827,-0.204584,0
0.135893,0.0459099,1.46534,-0.184216,0
0.106511,-0.0238732,1.47433,-0.170138,0
0.174458,-0.0128548,1.46055,-0.170737,0
0.135893,-0.0863107,1.46863,-0.150967,0
0.190985,-0.119366,1.45605,-0.135391,0
0.170785,-0.11202,1.45785,-0.127004,0
0.297496,-0.102838,1.424,-0.119815,0
0.27546,0.0146912,1.41741,-0.141082,0
0.202004,0.135893,1.4255,-0.173432,0
0.242404,0.0477463,1.41082,-0.16235,0
0.0697831,0.104675,1.44707,-0.180921,0
0.0477463,-0.00550919,1.45995,-0.161451,0
0.135893,-0.0863107,1.44886,-0.140483,0
0.0440735,-0.0844743,1.47433,-0.133594,0
0.179967,-0.168949,1.44976,-0.104838,0
0.132221,-0.172621,1.46025,-0.0895618,0
0.154257,-0.0899835,1.45725,-0.0958521,0
0.247914,0.0128548,1.43389,-0.114723,0
0.240568,0.0734559,1.4285,-0.131198,0
0.214858,0.0404007,1.4282,-0.128801,0
0.165276,0.101002,1.43628,-0.147972,0
0.200167,0.0844743,1.4273,-0.152465,0
0.192822,0.0477463,1.4258,-0.150069,0
0.161603,0.00550919,1.43119,-0.143479,0
0.0881471,-0.117529,1.44976,-0.112626,0
0.207513,-0.00550919,1.4255,-0.130898,0
0.207513,0.0165276,1.42161,-0.13629,0
0.348915,0.0936562,1.38177,-0.157257,0
0.216695,0.148748,1.39944,-0.179423,0
0.134057,0.189149,1.41592,-0.202188,0
0.102838,0.145075,1.4264,-0.20728,0
0.0863107,0.154257,1.43539,-0.221658,0
0.0771287,-0.0128548,1.44437,-0.192303,0
0.110184,-0.0881471,1.44317,-0.171935,0
0.167112,-0.123039,1.43269,-0.15576,0
0.146912,-0.117529,1.43748,-0.146474,0
0.167112,0.101002,1.43359,-0.192303,0
0.187312,0.0697831,1.4279,-0.192902,0
0.141403,0.135893,1.43748,-0.215967,0
0.168949,0.108347,1.43209,-0.22016,0
0.101002,0.104675,1.44886,-0.228547,0
0.102838,0.0257096,1.45366,-0.217165,0
0.143239,-0.0752923,1.45066,-0.193801,0
0.216695,-0.13773,1.43419,-0.171336,0
0.190985,-0.156094,1.43688,-0.154861,0
0.211186,-0.101002,1.42999,-0.15576,0
0.279132,-0.0459099,1.40933,-0.161151,0
0.128548,0.0550919,1.43868,-0.183018,0
0.216695,0.0367279,1.41951,-0.183018,0
0.211186,0.0606011,1.41711,-0.192303,0
0.0422371,0.0110184,1.45695,-0.184815,0
0.126711,-0.0128548,1.44617,-0.179723,0
0.0991654,-0.0624375,1.45695,-0.165944,0
0.018364,-0.130384,1.48361,-0.143179,0
0.135893,-0.0624375,1.46654,-0.149469,0
0.141403,-0.0477463,1.46804,-0.147672,0
0.233222,-0.0477463,1.44707,-0.143778,0
0.246077,0.165276,1.43868,-0.194101,0
0.132221,0.0642739,1.46115,-0.182419,0
0.124875,0.0789651,1.46654,-0.191704,0
0.130384,0.0624375,1.46893,-0.194101,0
0.159767,-0.0404007,1.46504,-0.173432,0
0.121202,0.0293824,1.47582,-0.187511,0
0.168949,-0.0936562,1.46774,-0.158456,0
0.22955,-0.119366,1.45246,-0.144377,0
0.24975,0.0404007,1.44228,-0.174631,0
0.247914,-0.0018364,1.43598,-0.167442,0
0.20384,0.104675,1.44078,-0.1944,0
0.126711,0.145075,1.45755,-0.21387,0
0.168949,0.0,1.45066,-0.189008,0
0.0477463,-0.00550919,1.48151,-0.187511,0
0.0881471,-0.115693,1.48151,-0.159055,0
0.121202,-0.130384,1.48032,-0.145276,0
0.124875,-0.150585,1.48361,-0.129101,0
0.145075,-0.102838,1.48241,-0.128502,0
0.271787,-0.0918199,1.45216,-0.122511,0
0.222204,-0.0330551,1.45605,-0.1297,0
0.26995,0.0661103,1.43958,-0.152165,0
0.238732,0.0697831,1.43928,-0.158755,0
0.0312187,0.0367279,1.48661,-0.156359,0
0.233222,0.0899835,1.44677,-0.173133,0
0.176294,0.0220368,1.45575,-0.163248,0
0.124875,-0.0863107,1.46863,-0.137488,0
0.190985,-0.0863107,1.45575,-0.129999,0
0.172621,-0.0440735,1.45845,-0.133594,0
0.264441,-0.0477463,1.43479,-0.128801,0
0.262605,0.0477463,1.4273,-0.149469,0
0.179967,0.165276,1.44078,-0.183317,0
0.161603,0.18364,1.44467,-0.202188,0
0.132221,0.141403,1.45276,-0.206981,0
0.11202,0.0385643,1.46145,-0.192603,0
0.145075,-0.00550919,1.45785,-0.184815,0
0.123039,-0.0532555,1.46594,-0.171935,0
0.145075,-0.0954926,1.46414,-0.156658,0
0.15793,-0.0459099,1.46324,-0.161151,0
0.220368,-0.0312187,1.44827,-0.161151,0
0.156094,0.0899835,1.46055,-0.189608,0
0.0991654,0.18364,1.47612,-0.221059,0
0.198331,0.104675,1.45695,-0.216566,0
0.179967,0.0679467,1.45935,-0.215967,0
0.152421,0.0,1.46564,-0.204285,0
0.110184,-0.0752923,1.47792,-0.185414,0
0.141403,-0.0899835,1.47283,-0.17493,0
0.207513,-0.0844743,1.45755,-0.16864,0
0.297496,-0.123039,1.43059,-0.151866,0
0.279132,-0.00550919,1.424,-0.171336,0
0.27546,0.0569283,1.41502,-0.186912,0
0.176294,0.0844743,1.43029,-0.198893,0
0.143239,0.0771287,1.43778,-0.203985,0
0.143239,0.00367279,1.43928,-0.192004,0
0.0422371,-0.0422371,1.46654,-0.180322,0
0.0863107,-0.0918199,1.46534,-0.164147,0
0.110184,-0.13773,1.46594,-0.144677,0
0.132221,-0.0918199,1.46444,-0.144377,0
0.167112,-0.097329,1.45815,-0.135391,0
0.202004,0.0404007,1.44886,-0.16205,0
0.165276,0.0752923,1.45456,-0.174631,0
0.115693,0.134057,1.46714,-0.196197,0
0.211186,0.097329,1.44647,-0.197995,0
0.124875,0.00550919,1.46414,-0.183018,0
0.108347,-0.00918198,1.47193,-0.179423,0
0.194658,-0.102838,1.45426,-0.154861,0
0.13773,-0.0991654,1.46594,-0.147073,0
0.179967,-0.0716195,1.45725,-0.145875,0
0.303006,-0.0587647,1.4243,-0.14288,0
0.27546,0.0238732,1.41921,-0.159055,0
0.202004,0.108347,1.4285,-0.182718,0
0.132221,0.113857,1.44257,-0.193202,0
0.0899835,0.0440735,1.45575,-0.185114,0
0.0477463,-0.00367279,1.47283,-0.176428,0
0.0716195,-0.0844743,1.47642,-0.15546,0
0.0899835,-0.134057,1.47942,-0.135691,0
0.104675,-0.124875,1.48631,-0.127004,0
0.205676,-0.108347,1.46714,-0.120414,0
0.159767,-0.0165276,1.47672,-0.134493,0
0.24975,-0.00918198,1.45545,-0.135092,0
0.216695,0.027546,1.45785,-0.143479,0
0.246077,0.0422371,1.44737,-0.149769,0
0.205676,0.0734559,1.45186,-0.161151,0
0.179967,0.0661103,1.45635,-0.165644,0
0.22955,0.0,1.44347,-0.154262,0
0.0716195,-0.154257,1.47972,-0.115023,0
0.176294,-0.148748,1.46234,-0.103341,0
0.303006,0.0440735,1.43029,-0.140184,0
0.293824,-0.027546,1.42221,-0.125506,0
0.200167,0.0826379,1.43628,-0.150967,0
0.255259,0.235059,1.42041,-0.197096,0
0.145075,0.128548,1.44198,-0.190207,0
0.150585,0.172621,1.44377,-0.212372,0
0.128548,0.0110184,1.45186,-0.185714,0
0.11202,-0.00550919,1.46055,-0.182119,0
0.123039,-0.0514191,1.46354,-0.170138,0
0.113857,-0.102838,1.47073,-0.152465,0
0.181803,-0.097329,1.45875,-0.145276,0
0.192822,0.0569283,1.45575,-0.176428,0
0.154257,0.0918199,1.46474,-0.190207,0
0.168949,0.130384,1.46324,-0.207879,0
0.108347,0.187312,1.47942,-0.23334,0
0.110184,0.0771287,1.48511,-0.221059,0
0.187312,0.0018364,1.47133,-0.208778,0
0.132221,-0.102838,1.48511,-0.18182,0
0.156094,-0.143239,1.48271,-0.162949,0
0.227713,-0.13773,1.46384,-0.152165,0
0.303006,-0.0844743,1.43958,-0.153962,0
0.279132,-0.0018364,1.43419,-0.167741,0
0.178131,0.101002,1.45066,-0.194101,0
0.231386,0.101002,1.43628,-0.202787,0
0.209349,0.0679467,1.43658,-0.202787,0
0.124875,-0.0220368,1.45486,-0.185714,0
0.128548,-0.0679467,1.45725,-0.171935,0
0.110184,-0.115693,1.46564,-0.153962,0
0.0881471,-0.11202,1.47612,-0.145276,0
0.176294,-0.0110184,1.46055,-0.161151,0
