TIMESTAMPS, I_Q_MEAS, I_D_MEAS, V_Q, V_D
742015, 6.52839, 0.0495827, 2.09647, -0.150668
742016, 6.4531, 0.00550919, 2.11234, -0.143778
742017, 6.42739, -0.0844743, 2.12163, -0.121013
742018, 6.52839, 0.0716195, 2.10066, -0.153663
742019, 6.52839, 0.0789651, 2.09706, -0.16175
742020, 6.51003, 0.0220368, 2.09856, -0.153962
742021, 6.51554, -0.0606011, 2.09497, -0.134792
742022, 6.43473, -0.0146912, 2.11324, -0.141382
742023, 6.51921, 0.0771287, 2.09587, -0.163548
742024, 6.42739, -0.0330551, 2.11653, -0.141981
742025, 6.41086, -0.0899835, 2.12552, -0.124608
742026, 6.4935, 0, 2.11084, -0.139884
742027, 6.4935, 0.00734559, 2.11024, -0.141981
742028, 6.52656, 0.0257096, 2.10156, -0.147073
742029, 6.55043, 0.00918198, 2.09197, -0.145276
742030, 6.47697, -0.0348915, 2.10515, -0.134792
742031, 6.46044, 0.0293824, 2.10995, -0.147972
742032, 6.54308, -0.0018364, 2.09107, -0.14258
742033, 6.46779, -0.0459099, 2.10575, -0.130898
742034, 6.50085, -0.0293824, 2.09856, -0.131497
742035, 6.38699, -0.115693, 2.12672, -0.106935
742036, 6.51737, 0.0514191, 2.10186, -0.139884
742037, 6.51737, 0.0587647, 2.09916, -0.146175
742038, 6.43657, -0.018364, 2.11713, -0.131198
742039, 6.50085, 0.00734559, 2.10485, -0.13629
742040, 6.5743, 0.0679467, 2.08478, -0.152465
742041, 6.46779, 0.0128548, 2.10455, -0.144078
742042, 6.4935, -0.0018364, 2.09946, -0.141382
742043, 6.48432, -0.027546, 2.10126, -0.134792
742044, 6.51003, -0.0440735, 2.09497, -0.128202
742045, 6.50085, 0.0532555, 2.09497, -0.149469
742046, 6.44575, -0.0477463, 2.10785, -0.127903
742047, 6.47697, -0.0312187, 2.10336, -0.128202
742048, 6.56512, 0.0954926, 2.08179, -0.157856
742049, 6.39801, -0.102838, 2.11773, -0.115322
742050, 6.51186, 0.0018364, 2.09617, -0.133594
742051, 6.43841, -0.0440735, 2.11264, -0.121612
742052, 6.46412, -0.0606011, 2.11024, -0.113824
742053, 6.57614, 0.0440735, 2.08329, -0.135391
742054, 6.42188, 0.0348915, 2.11504, -0.136589
742055, 6.46412, -0.0367279, 2.10995, -0.121612
742056, 6.51921, -0.0422371, 2.09766, -0.11682
742057, 6.47146, 0.0110184, 2.10695, -0.127004
742058, 6.47697, 0.0514191, 2.10695, -0.138387
742059, 6.5541, -0.00918198, 2.08808, -0.127004
742060, 6.45677, -0.0330551, 2.10695, -0.120414
742061, 6.44943, -0.0606011, 2.11114, -0.11023
742062, 6.55961, 0.0459099, 2.08658, -0.132396
742063, 6.44943, -0.0440735, 2.10815, -0.113225
742064, 6.49534, 0.0404007, 2.09946, -0.130898
742065, 6.48248, -0.018364, 2.10216, -0.119516
742066, 6.44208, -0.0550919, 2.11294, -0.108732
742067, 6.47514, -0.0367279, 2.10815, -0.108732
742068, 6.5137, 0.0128548, 2.09916, -0.118317
742069, 6.44208, -0.0330551, 2.11534, -0.107534
742070, 6.51921, 0.0624375, 2.09916, -0.129101
742071, 6.48248, 0.0257096, 2.10575, -0.124907
742072, 6.50085, -0.0220368, 2.10126, -0.115023
742073, 6.46228, -0.0587647, 2.10995, -0.10364
742074, 6.44943, -0.117529, 2.11504, -0.0838706
742075, 6.53206, 0.0110184, 2.09706, -0.106636
742076, 6.5137, 0.0734559, 2.09826, -0.12341
742077, 6.42188, -0.0734559, 2.11923, -0.0922577
742078, 6.49534, -0.0110184, 2.10575, -0.101843
742079, 6.44943, -0.0808015, 2.11683, -0.0832715
742080, 6.53206, 0.0477463, 2.09886, -0.109331
742081, 6.48615, -0.0220368, 2.10695, -0.0952531
742082, 6.3925, -0.0477463, 2.13061, -0.086866
742083, 6.48615, -0.00734559, 2.11474, -0.0931563
742084, 6.59634, 0.101002, 2.08658, -0.120115
742085, 6.42372, -0.0146912, 2.12133, -0.0991471
742086, 6.5137, -0.00550919, 2.10365, -0.100345
742087, 6.44208, -0.0550919, 2.11953, -0.0871655
742088, 6.51921, 0.0422371, 2.10365, -0.107534
742089, 6.54492, 0.027546, 2.09407, -0.107235
742090, 6.40719, -0.0771287, 2.12432, -0.082972
742091, 6.46963, -0.0477463, 2.11504, -0.0835711
742092, 6.51921, 0.0716195, 2.10395, -0.11023
742093, 6.44208, -0.0110184, 2.12103, -0.0952531
742094, 6.53941, 0.0312187, 2.09946, -0.104838
742095, 6.53941, 0.0385643, 2.09497, -0.109331
742096, 6.43841, -0.0220368, 2.11653, -0.0973498
742097, 6.48983, -0.0569283, 2.10725, -0.0865665
742098, 6.46412, -0.0293824, 2.11354, -0.0889628
742099, 6.48432, -0.0771287, 2.11054, -0.0742854
742100, 6.5339, 0.0440735, 2.09766, -0.098548
742101, 6.4531, -0.0734559, 2.11414, -0.0721886
742102, 6.46412, 0, 2.11444, -0.0844697
742103, 6.49166, -0.0128548, 2.10905, -0.0814743
742104, 6.51737, -0.027546, 2.10216, -0.0766817
742105, 6.4531, -0.0440735, 2.11594, -0.0697923
742106, 6.45861, -0.00367279, 2.11713, -0.0763822
742107, 6.48432, -0.0165276, 2.11324, -0.0730873
742108, 6.4531, -0.0220368, 2.12103, -0.0700919
742109, 6.49166, 0.0312187, 2.11414, -0.0817739
742110, 6.47514, -0.0606011, 2.11803, -0.0611057
742111, 6.47881, -0.0202004, 2.11803, -0.0661979
742112, 6.47514, -0.0459099, 2.11953, -0.0578108
742113, 6.44943, -0.018364, 2.12702, -0.0611057
742114, 6.47881, 0.0018364, 2.12283, -0.0649997
742115, 6.50635, -0.0128548, 2.11624, -0.0611057
742116, 6.48432, 0.0495827, 2.12013, -0.0760826
742117, 6.53757, 0.0165276, 2.10665, -0.0718891
742118, 6.50085, -0.0220368, 2.11174, -0.0632025
742119, 6.47514, 0.00550919, 2.11713, -0.0685942
742120, 6.47514, 0.0128548, 2.11803, -0.0709905
742121, 6.46044, -0.0808015, 2.12253, -0.0482256
742122, 6.55961, -0.0018364, 2.09946, -0.0611057
742123, 6.40168, -0.0569283, 2.13361, -0.0470275
742124, 6.50635, 0.0550919, 2.11414, -0.0709905
742125, 6.5339, 0.0422371, 2.10515, -0.0724882
742126, 6.39801, -0.0697831, 2.136, -0.047327
742127, 6.52839, 0.0238732, 2.10995, -0.0652993
742128, 6.5339, 0.0642739, 2.10515, -0.0775803
742129, 6.4531, -0.0881471, 2.12163, -0.0440321
742130, 6.4531, -0.0808015, 2.12432, -0.0386404
742131, 6.48799, -0.027546, 2.11833, -0.0452302
742132, 6.52656, 0.0606011, 2.10845, -0.0652993
742133, 6.46044, 0.00918198, 2.12193, -0.0575113
742134, 6.44392, -0.117529, 2.12852, -0.0257603
742135, 6.48248, -0.0312187, 2.12223, -0.0380413
742136, 6.46963, 0.0991654, 2.12552, -0.0685942
742137, 6.44759, -0.0624375, 2.13241, -0.035645
742138, 6.52288, 0.0716195, 2.11683, -0.0644007
742139, 6.48432, 0, 2.12342, -0.0521196
742140, 6.47514, -0.0606011, 2.12612, -0.0368432
742141, 6.54308, 0.00734559, 2.10935, -0.0491242
742142, 6.48248, 0.0220368, 2.12013, -0.0533178
747208, 6.47146, -0.0697831, 2.2714, -0.176727
747209, 6.47697, -0.018364, 2.2714, -0.183916
747210, 6.47697, 0.0018364, 2.27229, -0.18781
747211, 6.4733, -0.0128548, 2.27379, -0.183916
747212, 6.46779, -0.027546, 2.27649, -0.179124
747213, 6.4935, -0.0293824, 2.2711, -0.176428
747214, 6.4935, -0.00918198, 2.2705, -0.178824
747215, 6.41453, 0.0734559, 2.29027, -0.199193
747216, 6.51003, -0.0587647, 2.272, -0.171935
747217, 6.4733, -0.0863107, 2.27948, -0.159654
747218, 6.45677, 0.0202004, 2.28458, -0.179723
747219, 6.4531, 0.00734559, 2.28787, -0.178225
747220, 6.50635, -0.0165276, 2.27739, -0.172534
747221, 6.47514, -0.00918198, 2.28368, -0.172833
747222, 6.49717, -0.0440735, 2.27888, -0.163248
747223, 6.42004, 0.0697831, 2.29746, -0.188709
747224, 6.44759, 0.0679467, 2.29596, -0.194101
747225, 6.51186, -0.106511, 2.28308, -0.15546
747226, 6.4935, 0, 2.28547, -0.173432
747227, 6.4935, 0.018364, 2.28488, -0.178225
747228, 6.46228, 0.0257096, 2.29236, -0.18152
747229, 6.43473, 0.0642739, 2.30135, -0.193801
747230, 6.47881, -0.0587647, 2.29446, -0.167741
747231, 6.48248, -0.00550919, 2.29416, -0.176128
747232, 6.47514, -0.0550919, 2.29626, -0.163248
747233, 6.47881, 0, 2.29656, -0.172534
747234, 6.48248, 0.0514191, 2.29626, -0.185714
747235, 6.47881, 0.0385643, 2.29746, -0.186612
747236, 6.50452, 0.00367279, 2.29117, -0.18122
747237, 6.46963, -0.0238732, 2.29865, -0.174631
747238, 6.44024, -0.0202004, 2.30764, -0.173432
747239, 6.50085, 0.0293824, 2.29596, -0.184216
747240, 6.46779, -0.0018364, 2.30315, -0.178824
747241, 6.49534, 0, 2.29776, -0.179124
747242, 6.52656, 0.0330551, 2.28907, -0.187511
747243, 6.4329, -0.0257096, 2.30944, -0.175529
747244, 6.46044, -0.0257096, 2.30704, -0.173133
747245, 6.52105, 0.0238732, 2.29386, -0.183617
747246, 6.46412, 0.0808015, 2.30524, -0.200091
747247, 6.48983, 0.0128548, 2.30045, -0.189907
747248, 6.5137, -0.0532555, 2.29416, -0.174032
747249, 6.48615, -0.0165276, 2.29895, -0.178824
