I_Q,I_D,V_Q,V_D,is_startup
0.304842,0.154257,1.4926,-0.227349,0
0.271787,0.0716195,1.49709,-0.219262,0
0.279132,0.0716195,1.48721,-0.225253,0
0.262605,0.0110184,1.48751,-0.216266,0
0.20384,-0.0312187,1.49979,-0.206382,0
0.22404,-0.0642739,1.49709,-0.194999,0
0.227713,-0.0734559,1.49679,-0.187511,0
0.20384,-0.101002,1.50308,-0.174032,0
0.31586,0.0697831,1.47672,-0.209077,0
0.240568,0.123039,1.4887,-0.228547,0
0.20384,0.0348915,1.49739,-0.216566,0
0.18364,0.0881471,1.50488,-0.23334,0
0.174458,-0.0110184,1.51147,-0.215068,0
0.190985,-0.108347,1.51177,-0.189608,0
0.22955,-0.200167,1.50578,-0.156958,0
0.255259,-0.141403,1.49919,-0.154861,0
0.271787,-0.0789651,1.4929,-0.158755,0
0.304842,0.0348915,1.48092,-0.180921,0
0.240568,0.0587647,1.4911,-0.190207,0
0.168949,0.102838,1.50877,-0.206382,0
0.0899835,0.0422371,1.53423,-0.199792,0
0.214858,-0.0734559,1.51416,-0.173732,0
0.0532555,-0.115693,1.557,-0.156658,0
0.176294,-0.152421,1.54082,-0.137488,0
0.181803,-0.167112,1.54412,-0.120714,0
0.209349,-0.0808015,1.54112,-0.128502,0
0.216695,-0.0587647,1.54112,-0.127304,0
0.216695,0.0330551,1.54232,-0.145575,0
0.233222,0.110184,1.53933,-0.168041,0
0.310351,0.139566,1.51956,-0.185114,0
0.216695,0.124875,1.53693,-0.193202,0
0.179967,0.0606011,1.54741,-0.187511,0
0.190985,0.0514191,1.54472,-0.190207,0
0.102838,-0.0606011,1.56928,-0.165944,0
0.264441,-0.0367279,1.53753,-0.167142,0
0.308515,-0.117529,1.52195,-0.143179,0
0.291987,-0.0330551,1.51836,-0.154861,0
0.286478,0.134057,1.51327,-0.1947,0
0.192822,0.0991654,1.53094,-0.197096,0
0.189149,0.0863107,1.53363,-0.202488,0
0.161603,-0.00918198,1.54322,-0.185114,0
0.176294,-0.0808015,1.54382,-0.166244,0
0.198331,-0.0330551,1.54142,-0.171635,0
0.233222,-0.0954926,1.53393,-0.152764,0
0.209349,-0.0789651,1.53873,-0.14887,0
0.257096,0.0238732,1.52674,-0.16834,0
0.279132,-0.0348915,1.51746,-0.15546,0
0.242404,0.11202,1.52165,-0.189907,0
0.22404,0.168949,1.52375,-0.21417,0
0.143239,0.146912,1.43149,-0.238432,0
0.110184,0.0734559,1.44048,-0.232142,0
0.187312,0.0661103,1.4243,-0.236635,0
0.0293824,-0.097329,1.46145,-0.200391,0
0.097329,-0.104675,1.45456,-0.190506,0
0.168949,-0.0661103,1.44048,-0.191405,0
0.145075,0.00367279,1.44527,-0.203686,0
0.13773,0.0532555,1.44767,-0.216566,0
