I_Q,I_D,V_Q,V_D,is_startup
0.161603,0.146912,1.43509,-0.15576,0
0.268114,0.167112,1.40483,-0.173432,0
0.134057,0.0881471,1.4273,-0.167741,0
0.159767,0.102838,1.42041,-0.178824,0
0.0734559,0.0220368,1.43988,-0.166843,0
0.0844743,-0.027546,1.44168,-0.156359,0
0.170785,-0.0514191,1.4231,-0.147672,0
0.178131,0.0,1.41771,-0.156359,0
0.176294,0.018364,1.41382,-0.161151,0
0.163439,0.104675,1.41322,-0.184815,0
0.0954926,0.108347,1.4276,-0.1947,0
0.0495827,0.0330551,1.44707,-0.184515,0
0.0220368,-0.0477463,1.46204,-0.166843,0
0.0991654,-0.101002,1.45336,-0.14917,0
0.163439,-0.110184,1.44078,-0.138387,0
0.108347,-0.110184,1.45336,-0.128801,0
0.130384,-0.0312187,1.45126,-0.139585,0
0.192822,0.0128548,1.43658,-0.148271,0
0.190985,0.0330551,1.43299,-0.154262,0
0.148748,0.0991654,1.43988,-0.174331,0
0.0954926,0.156094,1.45366,-0.197096,0
0.15793,0.123039,1.44198,-0.201889,0
0.0918199,0.11202,1.45815,-0.209677,0
0.0661103,0.0330551,1.46923,-0.198893,0
0.159767,-0.121202,1.45216,-0.162649,0
0.0495827,-0.108347,1.47942,-0.15546,0
0.26995,-0.0789651,1.43149,-0.153663,0
0.24975,0.0348915,1.4258,-0.175829,0
0.268114,0.148748,1.41262,-0.208179,0
0.225877,0.154257,1.41322,-0.221958,0
0.102838,0.11202,1.43778,-0.224354,0
0.097329,0.0330551,1.44287,-0.21387,0
0.126711,0.0440735,1.43958,-0.219561,0
0.0459099,-0.0385643,1.46204,-0.202188,0
0.106511,-0.0514191,1.45486,-0.195598,0
0.102838,-0.0734559,1.45965,-0.185714,0
0.165276,-0.101002,1.44707,-0.172234,0
0.145075,-0.0312187,1.45096,-0.18152,0
0.11202,0.0312187,1.45935,-0.1947,0
0.115693,0.0110184,1.46145,-0.192303,0
0.124875,0.0808015,1.46175,-0.210875,0
0.0954926,0.0661103,1.47313,-0.21417,0
0.146912,-0.187312,1.46504,-0.155161,0
0.13773,-0.0844743,1.46774,-0.165345,0
0.222204,-0.231386,1.44767,-0.120714,0
0.22955,-0.119366,1.44018,-0.1297,0
0.236895,-0.161603,1.43179,-0.108732,0
0.277296,-0.0165276,1.41442,-0.131797,0
0.150585,0.0642739,1.43628,-0.151267,0
0.146912,-0.163439,1.46444,-0.1297,0
0.143239,-0.0899835,1.46534,-0.134493,0
0.207513,-0.115693,1.44916,-0.120414,0
0.247914,-0.0404007,1.43359,-0.1297,0
0.246077,0.018364,1.4255,-0.141082,0
0.106511,0.119366,1.45276,-0.16834,0
0.0697831,0.102838,1.46564,-0.174631,0
0.101002,0.018364,1.46444,-0.16175,0
0.0844743,-0.119366,1.47223,-0.128202,0
0.0624375,-0.11202,1.48331,-0.119815,0
0.130384,-0.121202,1.47313,-0.108133,0
0.135893,-0.141403,1.47313,-0.0922577,0
